"","S1pr1","S1pr4","Ccr7","Cxcr4","Cd2","Cd22","Itgal","Itgb2","Il7r","Il2rg","Spn","Cd3d","Cd3g","Itga4","Itgb7","Rpsa","Rack1","Slc1a5","Cd47","Ptk2b","Calm1","Rasa3","Tnfrsf13c","Sorl1","Selplg","Sell","Ptprc","Ptpn6","P2ry10","Klrd1","Il18r1","Glg1","Cd74","Anxa6","Atp5b"
"Ghrl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154809555140145,0,0,0,0,0,0
"Ceacam1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.436140145393916,0,0,0,0,0,0,0
"Kitl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0286522636258257,0,0,0,0,0,0,0
"Cd2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110630458510842,0,0,0,0,0,0,0,0
"Sema4d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.487573387937797,0,0,0,0,0,0,0,0
"Apoe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.699239598034586,0,0,0,0,0,0,0,0,0,0,0
"Lrpap1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182382624597654,0,0,0,0,0,0,0,0,0,0,0
"Clstn1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252443677350958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thbs1",0,0,0,0,0,0,0,0,0,0,0,0,0,0.227632009200605,0,0,0,0,0.0340051521904172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lgals3",0,0,0,0,0,0,0,0,0,0,0.214569089624895,0,0,0,0,0,0,0.160983780739952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cdh1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0331347905407501,0,0.22526283440201,0.23301829452121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Itgb1",0,0,0,0,0,0,0,0,0,0,0,0,0,0.420510826812613,0,0,0.277758086884465,0.181837144648906,0.37047288854909,0.350545818033698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mapt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154872339316825,0.0193483307384874,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vegfa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.382819557936493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wnt5a",0,0,0,0,0,0,0,0,0,0,0,0.13424149757784,0.108436758426259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tnfsf13b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.984894738681909,0,0,0,0,0,0,0,0,0,0,0,0
"Fgf2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.306495006314527,0,0,0
"Il18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83913351811471,0,0,0,0
