"Atf4" "Cdkn1a" "Clic1" "Cmip" "Ddit4" "Fam129b" "Fkbp5" "Ier3" "Ldha" "Lmna" "Midn" "Ncl" "Per1" "Rps2" "Serpine1" "Stat3" "Tubb5" "Actb" "Bcl2l1" "Cfl1" "Ctnnb1" "Eef1a1" "Mcl1" "Nos3" "Socs3" "Fli1" "Ndufs2" "Rpl26" "Rplp2" "Rps11" "S100a10" "Ier5" "Synpo" "Dusp6" "Plat" "Plaur" "Sparc" "Ablim1" "Fas" "Lpp" "Ntn1" "Gadd45g" "Sparcl1" "Cd34" "Cd38" "Timp3" "Dll1" "Sema7a" "Pkm" "Hif1a" "Ntrk2" "Col4a1" "Aldoa" "Tnfrsf1a" "Cxcl12" "Mlec" "Vwf" "Xbp1" "Anxa2" "Upp1" "Abcg2" "Adam15" "Adamts1" "Emp1"
"Sema7a" 0 0.00115252403741663 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Trf" 0.00110697483741916 0.00189333676174759 0.00141466846141701 0.00127598694127062 0.00144940946874807 0.0012441649387228 0.001278907113207 0.00153028712903923 0.00104451534945397 0.00150936697037243 0.00149914190781072 0.000983136787375107 0.00140700443376467 0.000952184386883791 0.00155239816224433 0.00129845344593016 0.00128055089710798 0.00140718378024421 0.00148182989530103 0.00112192443057571 0.0011145452978771 0.00113651950972246 0.00123662720435778 0.00134917630442088 0.00118732573087166 0.0011496611342795 0.00108871252893379 0 0.000986629395280174 0.000987904872440657 0.0011896415328981 0.0012265141725706 0.00124912553627246 0.00119734107639188 0 0 0 0.00108839568585696 0.000980009746113315 0.0010511687556457 0.00105937835544601 0.00110775910678111 0 0 0 0 0 0 0.00101393142521181 0.00379232108141822 0 0 0.00121473854490868 0.00115099727155137 0 0 0 0 0.00113206805440037 0 0 0 0 0.00105355869695867
"Fgf2" 0.00112772721434618 0.00301269652847111 0.00157609138082823 0.00146940655695965 0.00171402362206595 0.00129258483736188 0.00132397506182081 0.00175304959895765 0.00110235189829532 0.00169109559965225 0.00150924849878246 0.00101415718909593 0.00164398867955811 0.000989281511075052 0.00561307382358825 0.00155513619687575 0.00145246228974306 0.0014694956705675 0.00268257746042941 0.00119962055658419 0.00130585989494037 0.00113297713197124 0.00146154995099624 0.00288342824117119 0.00148323621566164 0.00127412011136464 0.00113681144613668 0 0.00102156153288849 0.000941326945928673 0.00131268707801347 0.00134645097729705 0.0014643995320808 0.00132063105351558 0.00230788709736049 0.00236128514454744 0 0.00120121931830251 0.00125429501678053 0.00131078819307063 0.00104074384429448 0.00123140884550477 0 0 0 0.000968667823336678 0.00102567678503212 0 0.00107908739915419 0.00495312976158389 0.00439570412645583 0 0.00123526067489422 0.0012808240111231 0.00241942277429492 0 0.00254171414286582 0 0.00238775461227508 0.00211232064551137 0 0.000955626659171701 0 0.00105707560603152
"Reln" 0 0.00162542581271636 0.00101315581337596 0 0.00114557382920775 0.000941257978790709 0.00093269605083082 0.00112598867068756 0 0.00113357712659527 0.00102859717109997 0 0.0010803006336428 0 0.00109160974110238 0.00109879194078461 0.00103759617350254 0.00101953058282166 0.00125473874020808 0 0.000953091619258206 0 0.000976981765738837 0.00106407894575868 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Copa" 0 0.00119846050664446 0 0 0 0 0 0.000949178423003988 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Anxa1" 0 0.00108754437855886 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pros1" 0.00122701366968612 0.00296467644517818 0.00166519308200162 0.00137241251209022 0.00178736475212614 0.00131922532580451 0.00132761305473719 0.00173011415414281 0.00106271103996772 0.001703242632478 0.0016095344232634 0.00105716032613874 0.00167228618986096 0.0010283720574803 0.00163270343520858 0.00166488873026935 0.00154819401092723 0.00169455534887847 0.00180991592613028 0.00136146790600435 0.00128289551794834 0.00116637742836649 0.00166494980013655 0.0016321374596306 0.00151509269512285 0.00166897067991997 0.00134981319577652 0.00106903672382397 0.0011934025871411 0.00113145386035075 0.00146486921033178 0.00149164521883155 0.00140606894323363 0.0013398236554109 0 0 0 0.00133131837335994 0.00126230340407617 0.0013725679282421 0.00105782849151738 0.00137789976442722 0 0 0 0.00113316249821651 0.00113153964172335 0.0010203600073794 0.00100481273282395 0.00113613707199696 0 0 0.00121703993002482 0.00134496383462436 0.000932856881978186 0 0 0.000989791238445062 0.00130113046119239 0.000936241429950939 0 0.0010798074215375 0 0.00104605228780314
"Apoe" 0.00408947682338347 0.00160734617280627 0.00105998747758004 0.00105360130046482 0.0013732684912629 0.00102066788598479 0.000980358034763041 0.00128461570807211 0 0.00122962815617496 0.00120554967215321 0 0.00116435146761913 0 0.00141232557870475 0.00110353037453474 0.00107323206698143 0.00113253390509091 0.00119964428691536 0 0 0 0.00102974058705839 0.00460862995865406 0.000992303902626737 0.000952295404184218 0 0 0 0 0.00099300898836846 0.000956358977007678 0.00103850281956699 0 0.00428153783687207 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000934422988653502 0 0 0.00099044990897134 0.000939786042415506 0.00439515923364999 0.00414243808691199 0.00505118516854308 0.00396342881260557 0 0 0 0 0 0
"Adam15" 0.00108729935152866 0.00167095316090417 0.00122838449995943 0.000975085571449971 0.00135729153859825 0 0.00111062935953491 0.00119163198728137 0 0.00119876791404485 0.00115743124045293 0 0.00130070484040746 0.000966674255344726 0.00111429419902043 0.00126587404464313 0.000999036914298621 0.00110761468427532 0.0012116133030848 0 0.00107381916407676 0 0.0010520040216566 0.00106533127248667 0.00108724279763782 0 0 0 0 0 0 0.000967122212541831 0.000979960897219735 0.00099327789258673 0 0 0 0 0 0.000965618042794772 0 0 0 0 0 0 0 0 0 0 0 0 0.000939817220694682 0 0 0 0 0 0 0 0 0 0 0
"Lgals3" 0 0.00152125277648955 0.00101371019557758 0.000971926038974133 0.0012137764609276 0.00106300445138318 0 0.00116760726142911 0 0.00118340757477034 0.00108128030933513 0 0.00110129178594362 0 0.00117724145813248 0.00113017913840644 0.00100602624988035 0.00104067261185247 0.00107684042868941 0 0 0 0.00100437519649517 0.000975710229476413 0.00207635953436987 0 0 0 0 0 0 0 0.000954830392065143 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00095873686814431 0.0041169125117841 0 0 0 0 0 0 0 0 0 0
