"Clic1" "Ddit4" "Eif5a" "Epha2" "Fam129b" "Gabarap" "Git1" "Ier2" "Ier3" "Irf2bpl" "Ldha" "Lmna" "Midn" "Rps2" "Serpine1" "Stat3" "Tubb5" "Zfp36l1" "Actb" "Aldoa" "Edn1" "Flot1" "Icam1" "Lama5" "Nos3" "Pdgfb" "Slc3a2" "Socs3" "Synpo" "Tnfrsf1a" "Cd34" "Cd38" "Ier5" "Plat" "Snn" "Timp3" "Vegfc" "Akt1" "Klf10" "Srsf1" "Vasp" "Ctnnb1" "Eef1a1" "Pim3" "S100a10" "Tgfbr2" "Arpc2" "Ccnd3" "Dusp6" "Plaur" "Sparc" "Actn1" "Ablim1" "Lpp" "Ndst1" "Ntn1" "Tagln2" "Gadd45g" "Hif1a" "Ntrk2" "Emp1" "Flnb" "Pcbp1" "Dll1" "Jag2" "Sema7a" "Sparcl1" "Ndufs2" "Rpl26" "Rps11" "Pkm" "Col4a2" "Anxa2" "Pfkfb3" "Hnrnpl"
"Dll4" 0.00155279467161122 0.00211709920737251 0.00132385233959176 0.0018570410621075 0.00174999296331799 0.00169192243600079 0.00225711832578287 0.00190297528671722 0.00195067239704965 0.0020614649120324 0.00125021253953696 0.00202504729814474 0.00219664570172501 0.00141480378805595 0.00192998991652903 0.00161369190326361 0.00218455968345461 0.00183641939506267 0.00185625641413516 0.00139071133775004 0.00141740702456382 0.00151874966681638 0.00144134686616021 0.00165436143900435 0.00172034950391455 0.00137475117934168 0.00162131069386104 0.00185753483398235 0.00163158379889414 0.00143078965072025 0 0 0.00165200837089409 0 0.000982917791692213 0.00107074247322638 0 0.00134492114205195 0.00160678197827474 0.00124893752103401 0.00169125364199352 0.00159648146047636 0.00125897370426649 0.00129801888007981 0.00163408769568194 0.00151750778809441 0 0.00109339414783386 0.00130931478724863 0 0 0.0011654751566427 0.00117020313408906 0.00114911013107297 0.00150038733199041 0.00129195362119148 0.00154348887308327 0.00158356148281033 0.00121433108199863 0 0.00112845541413895 0.00165590287978707 0.00149200920147672 0.00239550721260229 0.00196885881649216 0.00181279464419215 0 0.00130737172876029 0 0.00164758202887427 0.0014091315517251 0.00102875998261959 0.00137800726843753 0.00110986333716045 0.0012664423656352
"Aimp1" 0.00101309634879989 0.00106709121418156 0 0.00111924175182629 0 0 0 0 0.00107699228901053 0.00122555626844092 0 0.00112974921564656 0.00104831205826506 0 0.00111150102224077 0.00104320586775203 0.000994972561572203 0.00101027565040035 0.000979952541562362 0 0 0 0.00184033222145903 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"C3" 0 0.0011054895450197 0 0.00102640505689363 0 0 0 0 0.00110182053095711 0.00112463887273977 0 0.00105378824076884 0.00100434958354092 0 0.00111300782215802 0.00098390352754974 0 0 0 0 0 0 0.00104719832334356 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hspg2" 0.00116728230749624 0.00137031756694388 0 0.00123489168672293 0.00100148430753062 0 0 0.00115704031238879 0.00124322014947712 0.00134923734407715 0 0.00117739123508836 0.00115134689877359 0 0.00118680581375888 0.00110660201188118 0.00101616444103493 0.00113739799203289 0.00116983347447202 0 0.00104881632296822 0.00109577682059016 0.00103096039081273 0.00111768089454016 0.00119741344223596 0 0 0.00109900392966455 0.00100913110098426 0 0 0 0 0 0 0 0 0.00105629432898793 0 0 0 0.00103594536069504 0 0 0 0 0 0.00102342177501746 0.0011053770338204 0 0 0.00106136280391356 0 0 0 0 0 0.00104605892674857 0 0 0.00102034567401766 0.000983312634463214 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pgf" 0.00135654474903529 0.00186095098900815 0.00127514512055219 0.00154917481853526 0.00132586828551885 0.00126092055407575 0.00121239030945342 0.00141456059194675 0.0017075441764861 0.00186479455706296 0.00126471674064846 0.00160038242317859 0.00155309428482641 0.00105646783876815 0.00298476130021424 0.00165746310983866 0.00147997949280216 0.00163963120280891 0.00158456810076445 0.00134512398909773 0.00279435200730056 0.00140476456738035 0.00179753890769374 0.00128375732887628 0.00153878461392988 0.00144188630865936 0.00120836607605814 0.00143833709680886 0.00149911701584414 0.0012991136998359 0 0 0.00126269796731184 0 0 0.000991078300404195 0 0.0013997122208219 0.00119589848368426 0.00117939418379211 0.00131265453326236 0.00138052612996723 0.00113070294999345 0.00103254163403132 0.00137014869170567 0.00130077363997776 0 0.00136034321606466 0.00130474945614967 0.0010417981659387 0 0 0.00109740059519571 0.00122051999817778 0.00120926304340273 0.00107953455465231 0.00112047586762639 0.00124232936810067 0.00268630549914874 0 0 0.00113423842811798 0.00121675256280623 0.00112018628553626 0 0 0 0.00110421808848047 0 0.00102374187795553 0.0011349566432881 0 0.0011951632580276 0.00124498625629205 0.00130707301160164
"Bdnf" 0.00142364959265521 0.00166264212186416 0.00122492354180813 0.00173527647161518 0.0013005799507451 0.00112227985666291 0.00137345419813994 0.00154462627294532 0.00166672939054489 0.00183054136183559 0 0.00164804253843356 0.00150871673043438 0 0.00279349973283571 0.00144007863171766 0.00139900486658574 0.00153516703238097 0.001433808953727 0.00115469653591547 0.00148671579662895 0.0014414076832837 0.00136090264917081 0.00129018725259228 0.00153496142671056 0.00129705162848095 0.00117301261167958 0.00141329022257912 0.00151052837664753 0.00125011083073089 0 0 0.00123473730448715 0.00595060151094854 0 0 0 0.00123195632586652 0.00108601043254777 0.00102102405706732 0.00131397098431182 0.00124231197925723 0.0010992625829827 0.00105613127405085 0.00128923132089209 0.00131108902484401 0 0.00128455972010539 0.00118318051693701 0 0 0 0.00121968313745791 0.00116645188614463 0.00122498262913035 0.00104260428324312 0.00127092337343157 0.00114669727855052 0.00222604616587564 0.00598031173618679 0.00108305474756924 0.00110245535165393 0.00105803184717005 0 0 0 0 0.00114495778523021 0 0 0.00108106110568923 0 0.00117531036815031 0.00100314037919 0.00115655845406051
"Rps19" 0.000985744741914743 0.00100632289346879 0 0.00110862868192535 0 0 0 0 0.00105870505522464 0.00115193568580238 0 0.00109043188819073 0.00100705190625787 0 0.00100410144491025 0 0.00098840584894302 0 0.00100367974280875 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Yars" 0.00104175730872633 0.00123224826936406 0 0.00140205527682894 0 0 0 0.00114624926431142 0.00144648496867395 0.00138785287170157 0 0.00118747027906698 0.00112969151731806 0 0.00130132172395418 0.00114468171548667 0.00112218224299495 0.0012296809766234 0.00103185817592897 0 0.00118065809749761 0.0012113256328791 0.00105607319778282 0.000991283596401442 0.00110741517821459 0 0 0.00103032214014789 0.00119188367094706 0 0 0 0.00101200316502565 0 0 0 0 0 0 0 0 0.00106679201590619 0 0 0.0011168099708566 0.0010141089585502 0 0 0 0 0 0 0.00104434672057803 0.00102566104196392 0.0012806832304884 0.00124746467164829 0.00101458346670644 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00098000849604127 0 0
"Lamb1" 0.00119537386418107 0.00135234171579583 0 0.0012674145821684 0.000996888030073611 0 0 0.00119811565814098 0.00133311729502355 0.00140059161651349 0 0.0011782374016629 0.0012751967525103 0 0.00117619661952761 0.00108738126196498 0.00110893909376765 0.00118349531537559 0.00107683527885814 0 0.001055396575715 0.00122282933119129 0 0.00108616592869403 0.00126651058233633 0 0 0.00105229548019358 0 0 0 0 0.000990516144396443 0 0 0 0 0.00101817070047919 0 0 0.000999986162413329 0.00100817184762769 0 0 0.00102568267362912 0 0 0.000986651121550898 0.00100778688716927 0 0 0.00104668645397798 0 0 0 0 0 0.000981979872837374 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hebp1" 0 0 0 0 0 0 0 0 0 0.000986222906561159 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
