"Aqp1" "Bhlhe40" "Cdkn1a" "Clic1" "Cmip" "Ddit4" "Ets1" "Fkbp5" "Flot1" "Git1" "Hes1" "Hif1a" "Ier3" "Ier5" "Midn" "Nos3" "Nr2f2" "Per1" "Synpo" "Tsc22d3" "Ackr3" "Adamts1" "Cd34" "Clu" "Ldha" "Plpp3" "S1pr1" "Sparc" "Ndst1" "Sgk1" "Socs3" "Tle1" "Plat" "Akap13" "Nrp2" "Pcdh7" "Prkch" "Rin2" "Sub1" "Tmcc3" "Pim3" "Ppp1r9b" "Fli1" "Sema7a" "Fas" "Cd38" "Lpl" "Selp" "B4galt1" "Inhbb" "Sin3a" "Actn1" "Ltbr" "Gadd45g" "Picalm" "Tnfrsf1a" "Ndrg1"
"Itgb1" 0 0.00113934330810579 0.0023583641063619 0.00106593535012395 0.000963298663136677 0.00116214155369887 0.00100893212490719 0 0 0 0.00120377757256709 0 0.00111289387909132 0 0.00107018082969332 0.000984441775831357 0.000996925963335797 0.00112333865586986 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Efnb1" 0 0.000982105672626734 0.00136241977901401 0 0 0.000973934989669129 0 0 0 0 0.00100748952794879 0 0.000995863644069516 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"C3" 0 0.00105562083355485 0.00139342762829878 0 0 0.0011054895450197 0 0 0 0 0.0010716106268116 0 0.00110182053095711 0 0.00100434958354092 0 0 0.000964916365935231 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Selplg" 0 0.00102770745793143 0.00133041601505317 0 0 0.00111377657575033 0 0 0 0 0.00114948758136168 0 0.0011329053881389 0 0.000994413698665198 0 0.000965373967394006 0.000984278593976377 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00261856202650119 0 0 0 0 0 0 0 0 0
"Hc" 0 0 0.00121904808611797 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00355269481186808 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cxcl16" 0 0 0.00103272200773857 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hebp1" 0 0 0.00109830591430202 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Adam17" 0 0.00154248234840864 0.00206911530949821 0.00134863235874304 0.00139645853347252 0.00176024111956494 0.00141059835953586 0.0012549805402332 0.00137746827114527 0.00116685819936108 0.00197603053817831 0.00119943326858578 0.00172829346361237 0.0014235664566575 0.00156960969913611 0.00143508973467786 0.00143678123399036 0.00154184974192217 0.00139699201939423 0.00113895303798818 0 0 0.0025782194792716 0 0.000963793914237198 0 0 0 0.00109929193334453 0.00127847986689608 0.00143038606989501 0.0010648504173981 0.00232859358236786 0 0.00101751850235473 0.00101219154679569 0 0.00117826806411299 0.00106438783803752 0 0.00102248491807381 0.00120135094850298 0.00123350944635184 0 0.00255338428853935 0.00246667142085579 0.00231280472344531 0 0.00110047330431455 0 0.00112930362455429 0.000994043927144218 0.00102562691992407 0.00109938512602467 0.00105119246413388 0.00124626000143875 0.000989408599424365
"Yars" 0 0.00129226383481009 0.00169190123587818 0.00104175730872633 0.0011501250835336 0.00123224826936406 0.00127213054727823 0 0.0012113256328791 0 0.00120218420912888 0 0.00144648496867395 0.00101200316502565 0.00112969151731806 0.00110741517821459 0.0011131919363162 0.00107735707467483 0.00119188367094706 0 0 0 0 0 0 0 0 0 0.0012806832304884 0.000979345316516357 0.00103032214014789 0.0010227272736894 0 0.000980947743712144 0 0 0 0 0 0 0 0 0.00111906751573294 0 0.00104174017392796 0 0 0 0 0 0 0 0 0 0 0 0
"Itgam" 0 0.00131627315158071 0.00166340261824615 0.00108973802830415 0.00105878633613633 0.0012890493648742 0.00121908627266665 0.00101583288835441 0.00103800763564107 0.000972914932752028 0.00133406046076178 0 0.00128710215959032 0.00105046403627376 0.00118783602362838 0.00118937329703565 0.00111922900711559 0.00110355040588419 0.00121011541602748 0 0 0 0 0 0 0 0 0 0.00106504455545974 0.00104345344697328 0.00112798956222543 0.000996259692562257 0 0 0 0 0 0 0 0 0 0 0.0010536168172409 0 0.000989583014928849 0 0 0 0.000971709453367647 0 0 0 0 0.00100430731014693 0 0.00101876574012982 0
"Dll4" 0 0.00222892152937354 0.00263454049215627 0.00155279467161122 0.00159516969907714 0.00211709920737251 0.00190893177873747 0.00164172896359844 0.00151874966681638 0.00225711832578287 0.00490198322408111 0.00121433108199863 0.00195067239704965 0.00165200837089409 0.00219664570172501 0.00172034950391455 0.00165201347439638 0.0020568422273561 0.00163158379889414 0.0013500241197559 0.00103669669863438 0.000973663024543574 0 0.00112019320910129 0.00125021253953696 0 0 0 0.00150038733199041 0.00137865364988914 0.00185753483398235 0.00136563201743659 0 0.0010703670352026 0.00149093473611077 0.00125198924676116 0.00123480971247503 0.00119802077199884 0.00145847144800466 0.00100449219150069 0.00129801888007981 0.00141786458081748 0.00132529872120021 0.00181279464419215 0.00158330804946428 0 0.000995873439953996 0 0.00140351752298516 0.00115112504515861 0.00131271900408933 0.0011654751566427 0.00112912455799718 0.00158356148281033 0.00109688223330265 0.00143078965072025 0.00130057826351805
"Sell" 0 0.00119440037170831 0.00161010851206998 0.000997939319432526 0 0.00129086311065181 0.00100572840627314 0 0 0 0.00121185110947819 0 0.00115262108038711 0 0.00113700623945311 0.00118233064638443 0.00100138707686394 0.0011046106927732 0.000966943207851169 0 0 0 0 0 0 0 0.002126534664824 0 0 0 0.00111022370943663 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bdnf" 0 0.00167058645358028 0.00285191567093599 0.00142364959265521 0.00140705512490899 0.00166264212186416 0.00142444232954987 0.00118493145179269 0.0014414076832837 0.00137345419813994 0.00288580128206272 0.00222604616587564 0.00166672939054489 0.00123473730448715 0.00150871673043438 0.00153496142671056 0.0013861094942267 0.00159385523669768 0.00151052837664753 0.00105750397009784 0 0 0 0.000972358729565995 0.000976345963107027 0 0 0 0.00122498262913035 0.00121069995783702 0.00141329022257912 0.00123728661511593 0.00595060151094854 0.00106451591250876 0 0 0 0 0 0 0.00105613127405085 0.00124331411989401 0.00121592672435616 0 0.00116528373886026 0 0 0 0.00109761097054825 0 0.00110433369073725 0 0 0.00114669727855052 0.000983793037486993 0.00125011083073089 0.00106819576351861
"Wnt4" 0 0.00167163685746515 0.00189606743532997 0.00156596317268207 0.00129635056552869 0.00188546961557161 0.00121124954647435 0.00125179426759569 0.00142311560227045 0.00123619033053231 0.001599186015879 0.00113164822840234 0.00174788098222967 0.0014130623664571 0.00162960393277592 0.0011621824486376 0.00142070811162576 0.00153698009498689 0.00123238668692183 0.00100480133085289 0 0 0 0 0 0 0 0 0.0010612759995903 0.00124313378142317 0.00134921969987296 0.0012254682996339 0 0 0 0.00100773232914067 0 0.00108197912648105 0.00117807257353401 0 0.00144257471481377 0.00136776037016744 0.00101334501437464 0 0.00100081000467852 0 0 0 0.0011867885516981 0 0.00118845590162108 0 0.00113036906008647 0.00113623881393065 0.000983548259227355 0.00129339955177817 0.00124943899148826
"Npnt" 0.00133109671288373 0.00180532145696707 0.00157063884088475 0.00120210365908928 0.00107506601036718 0.0012023621690513 0.00119427288924444 0 0.00113797405350217 0 0.00130124539211989 0 0.00185399342469904 0.000964755994883464 0.00108621176914568 0 0.00120826760384444 0.00115249816139564 0 0 0 0 0.00120493828922997 0 0.00145827001953106 0 0 0 0 0 0.000973968006841039 0.00117874434155294 0 0.00152868802376784 0.00209512405061531 0.00204070969102749 0.00159914432444009 0.00199787863390504 0.00183485609713725 0.00196925137393619 0 0.00104103442920775 0.00103916404647839 0.00111046965798049 0 0.00120060268047613 0 0 0 0 0 0 0 0.00097104327685437 0 0 0
"Fgf1" 0 0.00129132259165542 0.00172438615322352 0.00121390140459223 0.00112970096933849 0.00142549440057687 0.00262398359102957 0.00104485865072889 0.00113540887855102 0.000984899017947654 0.00139769701828665 0.000973471576076741 0.00146725544984714 0.0010702346143253 0.00121737350115624 0.00120262870973659 0.00110704257359789 0.00123008136092038 0.00118225078281073 0 0 0 0 0 0 0 0 0.00224052357432998 0.000988229532349225 0.0010405712050034 0.001193556247153 0.000971079497317881 0.00218565454332801 0 0 0 0 0 0 0 0 0.000992073716409266 0.00103759860634921 0 0.000998834801891353 0 0 0 0 0 0 0 0 0 0 0.00101269287208169 0
"Vegfd" 0 0.00133701104251214 0.00176118675042989 0.00111060183328328 0.0010704323367544 0.00138481859500287 0.00116417010518822 0.00107361322638668 0.00114761218649177 0 0.00130745267400296 0.00111276762829078 0.00158322425384147 0 0.00134039054286113 0.0011504533170673 0.00125628412773668 0.00113509010576592 0.00111905846123063 0 0 0 0 0 0.000995386771002785 0 0 0 0.00111259830566416 0.00109584410505052 0.0012461150561939 0.00112423386452162 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00106807773421093 0 0 0 0 0 0 0.000990308032944089 0
"Vegfa" 0 0.00162788520857703 0.00201992273566579 0.00130843253079308 0.00137065221554597 0.00165546803371112 0.00281134107177426 0.00119254421227772 0.00135138172487628 0.00110164586241068 0.00270302800470108 0.00387769051653293 0.00160320559239241 0.00113306838607829 0.00143737786805142 0.00284044703400125 0.0014012070949917 0.00149400172174422 0.00143050603226441 0.0039990731412746 0.00223136204419753 0.00212347510472588 0.00258382754283819 0.00217643341410883 0.0024203298334835 0.00475691902178917 0.00595043313487516 0.00237301976242974 0.00113935963216323 0.00123496073459855 0.00135991631917548 0.00107233838697079 0 0.00101157074145241 0 0 0 0.000986697408074471 0 0 0.00107551613493304 0.00114882509612072 0.00120923866060102 0 0.00117739631953542 0 0 0 0.00110300963988641 0 0.00103772436705844 0 0.000983897729818288 0.0010924350923482 0.00096890478966756 0.0012150415176645 0.00109182607878646
"Trf" 0.00226900441572564 0.00143417866455302 0.00189333676174759 0.00141466846141701 0.00127598694127062 0.00144940946874807 0.00129622743445688 0.001278907113207 0.00128357967373958 0.00121555376957741 0.00154588480536206 0.00379232108141822 0.00153028712903923 0.0012265141725706 0.00149914190781072 0.00134917630442088 0.00144116416053957 0.00140700443376467 0.00124912553627246 0.00389664162149841 0 0 0 0 0.00104451534945397 0 0 0 0.00110565162450132 0.00118720208064152 0.00118732573087166 0.00119352433196864 0 0.0010361642199373 0 0 0 0.00100698157891894 0 0 0 0.00119513530356894 0.0011496611342795 0 0.000980009746113315 0 0 0 0.00109988848880838 0 0.00109428348215619 0 0.000963960204873915 0.00110775910678111 0.00109118911953192 0.00115099727155137 0.000993194010240361
