"Anxa2" "Bax" "Bcl2l1" "Bhlhe40" "Ccnd1" "Cd55" "Cdkn1a" "Clu" "Cox5a" "Epha2" "Gadd45b" "Gja1" "Gpi1" "Hes1" "Hif1a" "Icam1" "Ldha" "Lmna" "Mcl1" "Msn" "Nme1" "Psmc6" "Ptgs2" "Sod2" "Sparc" "Tnfrsf12a" "Trib1" "Vegfa" "Actb" "Ccnd3" "Clic1" "Gapdh" "Gdf15" "Irf9" "Krt8" "Nfe2l2" "Socs3" "Ybx1" "Gramd2" "S100a10" "Calr" "Cd14" "Cryab" "Hspb1" "Krt18" "Mdm2" "Serpine2" "Tgfbr2" "Vdac1" "Aldoa" "Cd164" "Ceacam1" "Ptgs1" "Rac1" "Gadd45a" "Isyna1" "Slc3a2" "Lama5" "Lcn2" "Btg2" "Eif5a" "Ifih1" "Rhoa" "Fth1" "Hist1h2bc" "Lasp1" "Pcbp1" "Tmem37" "Znfx1" "Phb2" "Prdx5" "Tmbim1" "Calm1"
"Nectin1" 0 0 0.00122810378241218 0.0013116767812144 0.00156986577337499 0 0.00150300544457211 0 0 0.00120013234042198 0.00122338698503827 0 0 0.0013869697190072 0 0.00121411407376731 0 0 0 0 0 0 0 0 0 0 0 0.00148187893367509 0 0 0 0 0.00117753798703898 0 0 0.00114342818061623 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Psap" 0.00160484246368281 0.00131982772042723 0.00177879114037786 0.00183553674330029 0.00178445688683279 0 0.00206312454713585 0 0 0.00169274695256752 0.00172617917868787 0 0 0.00167522471055365 0 0.0012559456491228 0.00142997327468457 0.00166640072891609 0.00137659307451555 0 0.00132614595960236 0 0 0 0 0.00119931965775281 0.00154249015180985 0.00149019061887095 0.00160764635346211 0.00130458557568538 0.00139050877182636 0.00132126451092472 0.00135065841535941 0 0.00147302889928005 0.00169901900805086 0 0 0 0.00140257584043649 0 0 0 0 0 0.00142212141976128 0 0.00134763292404023 0 0 0 0 0 0 0.00162862869543822 0 0.00126856427846881 0.00139036985953703 0 0.00138032795207278 0 0 0 0.00146324069797319 0.00159328016156 0.00162185349159245 0.00145473369077283 0.00151761368228291 0.00164579042984242 0.00127801994568951 0.00130834473115636 0.00140141001691532 0.00126438204574945
"Itgam" 0 0 0.00137713515200171 0.00131627315158071 0.00155234244201311 0 0.00166340261824615 0 0 0.00127118773598424 0.00142862833365383 0 0 0.00133406046076178 0 0.00124723211845029 0 0.00125403050002514 0 0 0 0 0.00384848807455692 0 0 0 0.00129601665118742 0.00146694737172499 0.00115234982413562 0 0 0 0 0 0.00114668509097908 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Vegfc" 0 0 0.00159676431311203 0.00128437372672471 0.00172697721905583 0 0.00175765021772766 0 0 0.00148951299253066 0.00161415845904594 0 0 0.00145138560666509 0.00141610094117883 0.00122606414886062 0 0.00138651172409576 0.00124175228768125 0.00220931165320014 0 0 0.00375718990525428 0 0 0 0.00130755120474954 0.00168723077522515 0.00138739237908813 0.00129825614010543 0.00118427352499106 0.00119106203952406 0.00133376758872353 0 0.00129533641966233 0.00136454442320304 0.00135497115349177 0 0 0.00122723251155306 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00127902104644851 0 0 0 0 0.00204747889804712 0 0 0 0 0 0 0 0 0 0
"Ptprc" 0 0 0.00166450719114496 0.00142954831813092 0.00163595397663347 0 0.00171937967299817 0 0 0.0013986835794082 0.00153818652184744 0 0 0.00139233764616624 0 0.00133963422988561 0 0.00142553787606054 0.00131797015319735 0 0 0 0.00114453748006689 0 0 0 0.00139592197746255 0.00139120875755327 0.00133314863635044 0.00138998895899727 0.00133052415678482 0 0.00119522466231687 0.00125457246721014 0 0.00122520738822653 0.001605852961689 0 0 0 0 0 0 0 0 0 0 0.00119630973840555 0 0 0 0 0 0 0 0 0 0 0 0 0.00116060435600907 0.0022782943652454 0 0 0 0 0 0 0 0 0 0 0
"Gmfb" 0 0.00124997681365567 0.00172149290967417 0.00155615812843139 0.00203720956877876 0 0.00209926887534938 0 0 0.00149109169595583 0.00164837402393786 0 0 0.00166390430084439 0.001152522595317 0.00150078933272534 0 0.00157370325653899 0.00130870317544449 0 0 0 0.00152196273729454 0.00114366129344655 0 0.00117495971312081 0.00159100233307114 0.00168010448813103 0.00146436565661762 0.00117052048807508 0.00142324624452076 0.0014149408589975 0.00132494226168567 0 0.00136471790140663 0.00139666558128999 0.00131696037980448 0 0 0.00127567154441732 0 0 0 0.00115034892481608 0 0.00130925407845439 0 0.00123054678591872 0 0.00114994905029895 0 0 0 0 0.00127055834780135 0 0.00116535071754077 0.00122988117256969 0 0.00119883610984212 0 0 0 0 0.00126330688839476 0 0 0 0 0 0 0 0
"Fgf18" 0 0 0.00140298012164859 0.00119962626876461 0.00165707195244785 0 0.00159098731198391 0 0 0.001183489158355 0.00118793999804453 0 0 0.00123341347444568 0 0.00126192246432492 0 0.0011555619648916 0 0 0 0 0 0 0 0 0 0.00205714835056457 0 0.00122637235477498 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lgals3" 0 0 0 0.00116308123280775 0.00134862195131715 0 0.00152125277648955 0 0 0.0011609513420231 0.00235597249778768 0 0 0.00120281762825719 0 0 0 0.00118340757477034 0 0 0 0 0 0 0 0 0 0.00124898861495364 0 0 0 0 0 0 0 0 0.00207635953436987 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00402165860077069 0 0.00392451796822546 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mmp9" 0 0.00364748249297431 0.00400475789821093 0.0014344049434757 0.00168013374448286 0 0.00177374486570155 0 0 0.00147147323090061 0.00142764362254368 0 0 0.00144792472151187 0 0.00117875673257323 0 0.00148103936851367 0.0042324033320783 0 0 0 0.00114913193427624 0 0 0 0.00137758463810955 0.0023646425721241 0.00136532258067635 0 0.00143850333762942 0.00117644706106746 0.00119473887550048 0 0.0012980459797124 0.00136481263892046 0.00119176949545885 0 0 0.00118372286416479 0 0 0 0 0 0 0 0.00120187977068955 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pgf" 0.0011951632580276 0.00145697604379791 0.00178065892880976 0.00180621436127998 0.00206311573471318 0 0.00218818771600824 0 0 0.00154917481853526 0.00188013051897822 0 0 0.00180066436749861 0.00268630549914874 0.00179753890769374 0.00126471674064846 0.00160038242317859 0.00147920924131826 0 0 0 0.00156630476608494 0.0012695184622155 0 0.00121742381247097 0.0016884356686671 0.00296626976596113 0.00158456810076445 0.00136034321606466 0.00135654474903529 0.00169384392973226 0.00156494520761696 0.00116756157886911 0.00131848282176706 0.00158241931179821 0.00143833709680886 0 0 0.00137014869170567 0 0 0 0 0 0.00138323208470499 0 0.00130077363997776 0 0.00134512398909773 0 0 0 0 0.00134968407287862 0 0.00120836607605814 0.00128375732887628 0 0.0012542123295169 0.00127514512055219 0 0 0.00121452343647606 0.00120781173199864 0.00118960562859271 0.00121675256280623 0 0 0 0 0 0
"Fgf1" 0 0.00361100199031988 0.00143074188544829 0.00129132259165542 0.00165517880547517 0 0.00172438615322352 0 0 0.00141576775432903 0.00137612788392824 0 0 0.00139769701828665 0 0.00127275023603779 0 0.00127898498401072 0.00119553385183569 0 0 0 0.00116635636772496 0 0.00224052357432998 0 0.00127690208138573 0.00143211986828032 0.00126282497199686 0 0.00121390140459223 0 0.00115395293348711 0 0 0.00124437164709126 0.001193556247153 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Dusp18" 0 0.00161785663482474 0.0017100271428841 0.0013721262502427 0.0021341607950359 0 0.00206366380754605 0 0 0.00145763195560894 0.00159229363563867 0.00157112179899676 0 0.00147217986832457 0.00122080792418593 0.00157795755967461 0 0.00135759360487114 0.00122632287138172 0 0 0 0.00151080236707278 0 0 0 0.00142496559285463 0.00151018010453767 0.00130772291678558 0 0.00128394906732881 0 0.00135502260109946 0.00121012693794365 0 0.00121496089788365 0.0013380680088355 0 0 0 0 0 0 0.00126800625760793 0 0 0 0.00115540147152484 0 0.00117987341067274 0 0 0 0 0.0018897277839458 0.00137556297092936 0.00118927731982052 0.00118194472165944 0 0 0 0 0 0 0 0.00118345150373021 0 0 0.00115394010785703 0 0 0 0
"Fgf2" 0.00238775461227508 0.00378760245227831 0.00268257746042941 0.00170652545263114 0.00486015034403085 0 0.00301269652847111 0 0 0.00158488236944593 0.00173736354169787 0 0 0.00276757308436314 0.00495312976158389 0.00248838117738215 0 0.00169109559965225 0.00146154995099624 0 0 0 0.00249620367885072 0 0 0.00123904410968292 0.00165001325136423 0.0046608282131596 0.0014694956705675 0.00425854402963477 0.00157609138082823 0.00271055838891752 0.00148271423781565 0 0.00134881895289704 0.0015440941709031 0.00148323621566164 0 0 0.00131268707801347 0 0 0 0.00117031177800091 0 0.00125081449987009 0 0.00145358461488991 0 0.00123526067489422 0 0 0.00485148578121264 0.00196396774465771 0.00124942830240968 0 0.00118022834151838 0.00115776363504512 0 0.00121399052777393 0.00124953089403008 0 0 0.00123130163907247 0.00115558100275969 0.00118342449698877 0 0 0 0 0.00114559180987005 0 0
"Cxcl12" 0 0 0.00126837164302806 0.00131870328332502 0.00156572415511307 0 0.00367438744373611 0 0 0.00119565846547445 0.00129663054851378 0 0 0.0012087312925059 0 0.00122619544728706 0 0.00120144145401988 0 0 0 0 0 0 0 0 0.00124290281847455 0.00430544677916095 0 0 0 0 0 0 0 0 0.00132478426710201 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00195817923627071 0.00200304387493873 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hbegf" 0 0.00369077923673185 0.00418890746463193 0.00144743989565004 0.00177694186991293 0 0.00189441420720381 0 0 0.00132573586962643 0.00136802792326024 0 0 0.00134720009877872 0 0.00139941167804101 0 0.00133157129618624 0.00123561062762319 0 0 0 0.00118818608734032 0 0 0 0.00128697811236744 0.0014459434880895 0.00120974304173577 0.00123041746398501 0.00117347248888774 0.00123157553889115 0.00118412184369281 0 0 0.00124097357459499 0.00124169901990256 0 0 0 0 0 0 0 0 0.00116144189648196 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tgfb1" 0.00136584088336789 0.00501298582846888 0.00176299322375367 0.00203060457954879 0.0049155449618628 0.00117188444641375 0.00548303347996596 0.00239610071735005 0 0.00189555020617561 0.00315856619923651 0.00259638499600507 0 0.00308223232651456 0.00512547950130937 0.00403017469022695 0.00116525920248271 0.00180035545017696 0.00456380015609211 0 0.00433370091195563 0 0.00411210128204119 0.00392899524263237 0.002517570023229 0.00264835032139451 0.00192981854355597 0.00485364706094005 0.00296597953804268 0.00146818803267612 0.00164313488636811 0.00153336342413857 0.00165357370370893 0.00123834167437694 0.00157339741274326 0.00166090373356128 0.00567161006627657 0 0 0.00146975144794285 0.00451960883601798 0.00460091968010032 0.00461832386426685 0.0058713530651132 0.0044065352416625 0.0045332986722952 0.00452512600179892 0.00629791933528927 0.00430710728360495 0.00131030416960445 0 0 0.00254018982370775 0 0.0014517867539257 0.00244096580435543 0.00141667766262817 0.00286538023665182 0 0.00150301424931374 0.00134515637244138 0.0023373522653487 0 0.001313046198603 0.00135897311552173 0.00141422925106265 0.00127768819822119 0 0.00122302934414415 0 0.00125644357451268 0.00116732630200109 0.00122107137240598
"Il18" 0.00145534708779247 0.00171557057283393 0.00264908034970957 0.0023532972615771 0.00247496982989966 0.0012823165909014 0.00261924139629381 0 0 0.00196574575923994 0.0064440537273039 0.0014948635472648 0 0.00212848515386467 0.00190599656623202 0.00638287737709559 0.00116185335801958 0.00202076381596437 0.00221063594764083 0.00154015234289571 0.00115804792486674 0 0.00205494984959583 0.00173767123407798 0 0.00239321808936035 0.0020055839375478 0.00511931767404228 0.00200876295210093 0.0021308062365585 0.00192702648279839 0.00183786614945843 0.00182170084355637 0.00215836061704913 0.00147565927870689 0.0017346066833064 0.00401991171789496 0 0.00211954555013714 0.0020561721860896 0.00164008326570185 0.00130884407747389 0 0.00172612391842166 0.00125438382822179 0.00155690520299089 0 0.00188978127137118 0 0.00160283894048459 0 0 0.00124111484681235 0 0.00162494371730393 0.00132617401026968 0.00148288762214931 0.00137914318637491 0.00115619182562872 0.001618709886232 0.00171779273201322 0.00135803579766545 0 0.00197306727479522 0.00134388629163792 0.00153491714438142 0.00145480560595882 0 0.0014032762468137 0 0.00140810934824085 0.00131492003095403 0.00125808150754819
"Pdgfb" 0 0.00377692683710619 0.00173584731928376 0.00162040003487655 0.00397971566562292 0 0.00419351935735484 0 0 0.00149809507474456 0.00161798752627548 0 0 0.00153712934332029 0.00382549008940774 0.00156042085065272 0 0.00153110703459295 0.00131028157414491 0 0 0 0.0040388466041139 0.00384315562232967 0 0 0.00157487736412739 0.00169163076759744 0.00134724812981761 0.00435528125167755 0.00127832106437133 0.00126895285760113 0.00130870711296967 0.00134093976176412 0.00130758285203048 0.00136794546233614 0.00154618258854575 0.00226788633488266 0.0011984520885392 0.00122996419558952 0 0 0 0 0 0.0011476893123666 0 0.00123286242738454 0 0 0 0 0 0 0 0 0.0011483186033682 0.00118737509160926 0 0.00116836738289526 0.00118454732662035 0 0 0 0 0.00116975328185497 0 0 0 0 0 0 0
"Vegfa" 0.00240318969403861 0.00378673150218 0.00153306670251271 0.00162788520857703 0.00264269157748718 0.00231275044839368 0.00201992273566579 0.00217643341410883 0.00202321285548803 0.0030021255700173 0.00164521067322292 0.0023594748343614 0.00231859823238851 0.00270302800470108 0.00387769051653293 0.002338318134906 0.0024203298334835 0.00151237439748309 0.00249151263747815 0.00222737839392906 0.00409972140266582 0.00220086392390706 0.00401646842956533 0.00380124637861206 0.00237301976242974 0.0023354608153539 0.00154240272111087 0.00178682373246822 0.00136483375622213 0.00120044997756414 0.00130843253079308 0.00134260268084396 0.00133737955718459 0 0.00128030598250634 0.00139603133657515 0.00135991631917548 0 0 0.0011987761797914 0 0 0 0 0 0.00122923846880237 0 0.00122117606220801 0 0.00122503156799166 0 0 0 0 0 0 0 0.00116391919297703 0 0.00119991813265487 0.00115978063966424 0 0 0.00115793639763791 0 0.00115722874407488 0 0 0 0 0 0 0
