"","Itpr1","Pcdh7","Ddr2","Lrp10","Anxa6","Cul5","Rrbp1","Amfr","Atp5b","Nrp1","Glg1","Sdc4","Bmpr1a","Ednrb","Tnfrsf12a","Scarb2","S1pr3","Ptprs","Pkd1","Osmr","Nptn","Gria1","Ghr","Gabra3","F3","Calm1","Clstn1","Itga8","Itga1","Itgb1","Mylk","Axl","Rpsa"
"Spp1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.311062360652638,0,0.0923475211196466,0,0,0
"Thbs1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215658962029843,0,0,0
"Reln",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.321614149900774,0,0,0
"Mmp9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.401681940026392,0,0,0
"Ltb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103295647788543,0,0,0
"Lamc2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124822975832743,0,0,0
"Jam2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177918065691644,0,0,0
"Col18a1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0885726481273005,0,0,0
"Adam15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0960889624155033,0,0,0
"Angpt2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223456102641836,0,0,0
"Fbn1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.400739617905946,0,0,0.193718678148794,0,0,0
"Lgals3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.547610032751441,0,0,0,0,0,0,0,0,0.389762463748047,0,0,0
"Vegfc",0,0,0,0,0,0,0,0,0,0.446293343780428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sema3f",0,0,0,0,0,0,0,0,0,0.148817687430665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sema3c",0,0,0,0,0,0,0,0,0,0.640756172872826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sema3a",0,0,0,0,0,0,0,0,0,0.560665593706596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pgf",0,0,0,0,0,0,0,0,0,0.481748384810589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pdgfb",0,0,0,0,0,0,0,0,0,0.693680940404948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
