"Actb" "Cdkn1a" "Ddit4" "Ier3" "Mcl1" "Myh9" "Selp" "Synpo" "Fkbp5" "Ncor2" "Pim3" "Fas" "Gadd45g" "Picalm" "S1pr1" "Capn2" "Cltc" "Sbno2" "Smg7" "Hif1a" "Tagln2" "Atp1a1" "Ch25h" "Grrp1" "Gpr182" "Tspan2" "Lrrfip1" "Ldha" "Flnb" "Inafm2" "Jmjd1c" "Susd6" "Tcim" "Col4a1" "Inhbb" "Adamts9"
"C3" 0 0.00139342762829878 0.0011054895450197 0.00110182053095711 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Vegfd" 0.00122379582036767 0.00176118675042989 0.00138481859500287 0.00158322425384147 0.00113808303274888 0.00114737489574876 0 0.00111905846123063 0.00107361322638668 0.00096281244271474 0 0 0 0 0 0.00104186691358256 0 0 0 0.00111276762829078 0.00101548255936024 0 0 0 0 0 0 0.000995386771002785 0.00100249522891038 0 0.000998840953300253 0 0 0 0 0
"Itga9" 0.00107845839557812 0.00153211443884538 0.00116997823154714 0.00111990274159448 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hc" 0.00197842523846087 0.00121904808611797 0.000961175085631553 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Itgb7" 0.00100823625689274 0.00149768513569796 0.00118416498729352 0.00111638879194851 0.000964597945132943 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00105339940127159 0 0 0 0 0 0 0 0 0
"Pkd1" 0.00129830543141427 0.00377401514156348 0.0013731736139846 0.00140221731548483 0.00112222999116323 0.00119268319896436 0 0.00116417610084485 0.00110482642931167 0.000986942736176696 0 0.00101576856028194 0.00102117902815068 0 0 0.00107228653999311 0 0 0 0.000991289617058619 0.00101282838625741 0 0 0 0 0 0.000981003563416673 0 0.00109783458168652 0 0.000957612888242878 0 0 0 0 0
"Penk" 0 0.00110561323730995 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cxcl2" 0 0.00132452488563961 0.00104252021259637 0.00105675375354495 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Dsg2" 0 0.0010775286945399 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Efnb2" 0 0.00119974845135982 0 0.000957075983192659 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
