"Acta2" "Basp1" "Ccnd1" "Cdkn1a" "Col1a1" "Col1a2" "Col3a1" "Col4a1" "Col5a1" "Des" "Eln" "Fbn1" "Fkbp1a" "Fn1" "Grem1" "Hif1a" "Igf1" "Lox" "Loxl2" "Mdm2" "Mmp2" "Nme1" "Pdgfa" "Pdgfrb" "Postn" "Serpine1" "Serpine2" "Snai1" "Sod2" "Tagln" "Thbs1" "Thbs2" "Timp1" "Tpm4" "Adamts4" "Anxa2" "Ccnd2" "Cd44" "Ecscr" "Fmod" "Gapdh" "Id3" "P4hb" "Ptn" "Runx1" "Spp1" "Tnc" "Actb" "Fam129b" "Ier5" "Nrcam" "Pfn1" "Sept9" "Tubb5" "Vasp" "Isyna1" "Myh9" "Tgfb2" "Enc1" "Lama5" "Ncam1" "Fst" "Hbegf" "Sparc" "Odc1" "Ranbp1" "Tm4sf1" "Pkm" "Col8a1" "Il13ra1" "Il1r1" "Inhba" "Mmp14" "Gnas" "Eno1" "Tagln2" "Angptl4" "Ctsk" "Ldha" "Tnfrsf12a" "Tpm1" "Adamts12" "Calm1" "Sfrp1" "Dclk1" "Ier5l" "Ppp1r14b" "Prdx5"
"Gmfb" 0 0 0.00203720956877876 0.00209926887534938 0.00114054163702413 0 0 0 0 0 0 0 0 0.00130616209103307 0 0.001152522595317 0 0 0 0.00130925407845439 0 0 0 0 0 0.00166968055547085 0 0.00107538218942486 0.00114366129344655 0 0.0011375497307543 0 0 0.00104422452527073 0 0.00112038644403343 0.0013897080667851 0.00114788365570801 0 0 0.0014149408589975 0.00149349716164946 0 0 0.00140041659020334 0 0 0.00146436565661762 0.0012590183157614 0.00128902758899243 0 0.00132626750936323 0.00145263552012441 0.00142819368202294 0.00134438463674558 0 0.00129952860585796 0.00107279953316035 0.00117271966596214 0.00122988117256969 0 0.0010369790584715 0 0 0.00124245551372558 0.00124056005856439 0.00119971916877171 0.00104933331459789 0 0 0 0 0 0.00122241312625556 0.00118274633882868 0.0011755126647806 0.00107793570719328 0 0 0.00117495971312081 0.00121468668190827 0 0 0 0 0.00102793187639643 0.00104153322255121 0.00112470559438963
"Itga4" 0 0 0.00117521952264516 0.0013082501693038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Arf1" 0 0 0.00106004851856561 0.00121303997570744 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Rps19" 0 0 0.00126701179914019 0.00135389490823109 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00107412121932173 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Vtn" 0 0 0.00158623196583323 0.0017769906296124 0.00101776131910191 0 0 0 0 0 0 0 0 0.00109963710734361 0 0.00114420476477154 0 0 0 0.00108139550357923 0.00213544206843871 0 0 0 0 0.00143023449826011 0 0 0 0 0 0 0 0 0 0.00103595923883082 0.00123010153750834 0 0 0 0.00126522681743315 0.00134949648192441 0 0 0.00127458862926799 0 0 0.00123665863031292 0.00123366922500115 0.0011503884746171 0 0.00125092172814967 0.00135350613046126 0.00118535265845761 0.00117591269864652 0 0.00112680764185737 0 0.00101501863705696 0.00120604704129986 0 0 0 0 0.00119385493614758 0.00105762948934047 0.00114116393944232 0 0 0 0 0 0 0.00106324563405029 0.00105168075393205 0.00112238548630877 0 0.00222306126611308 0 0.00102801903407625 0 0 0 0 0 0 0 0
"Timp1" 0 0 0.0015123310283143 0.00176512062962605 0.00103132068675187 0 0 0 0 0 0.00234889399957674 0.00219551364437295 0 0.00113296424283607 0 0 0 0 0 0.00108254863815627 0 0 0 0 0 0.00141850176658058 0 0 0 0 0.00106549809592081 0 0 0 0 0.00102118899659618 0.00123085114254304 0.00212927986684748 0 0 0.00111531478825188 0.00150295758249535 0.00192681678723294 0 0.00116265672285394 0 0 0.0012025586558728 0.00101532934910987 0.0010804268741039 0 0.00118860312839794 0.00121392884924285 0.00115012204897536 0.00106485344402186 0 0.00116541313176359 0 0.00109185472556001 0.00108804645183508 0 0 0 0 0.00108735627556723 0.00107514851845182 0.00103366888725601 0 0 0 0 0 0 0 0 0 0.00117778484898954 0 0 0 0 0 0 0 0 0 0 0
"Yars" 0 0 0.00139265318762368 0.00169190123587818 0 0 0 0 0 0 0 0 0 0.00117306738261956 0 0 0 0 0 0.00118003192422298 0 0 0 0 0 0.00130132172395418 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00125950121872176 0 0 0.00116021126250794 0 0 0.00103185817592897 0 0 0 0 0.00111767945265177 0.00112218224299495 0 0 0 0 0.00104238369616901 0 0 0.0011733813897788 0 0 0 0 0 0 0 0 0 0 0 0 0.00104220337226807 0.00101458346670644 0 0 0 0 0 0 0 0 0 0 0 0
"Copa" 0 0 0.00113718058342662 0.00119846050664446 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Il1b" 0.00111144969690318 0 0.00296737219284813 0.00457889077460727 0.00432704969277202 0.00102599638462219 0.00516287095521492 0 0 0 0.00695102019209374 0 0 0.00471508674511481 0.00519723694642411 0.00518861535750679 0.00254724050239757 0 0 0.00148421655032417 0.00533183165843309 0.00122259439481428 0.00441637455365975 0.00119534012454829 0 0.00582539956101891 0 0.00119024426440054 0.00519312841301362 0 0.00145961489039303 0.00103413994864676 0.00519880978995069 0.00145221716898225 0.0062124402077904 0.00261117992049089 0.00169003370985696 0.00263537070462579 0 0.00289194386681772 0.00162769845514528 0.00481314634896284 0 0 0.00171200553725626 0 0.00251226830862568 0.00174793447157904 0.00151908690638467 0.00146733127762813 0 0.00161909072056996 0.001727476436862 0.00158594809031943 0.00156550817193479 0.00248824112780248 0.00163078371143697 0.00124837658132785 0.0012349335627712 0.00136605249310601 0.00122128181692812 0.00265653439259913 0 0.00250634830949764 0.00154017991191509 0.00152966298144826 0.00132277137278516 0.00122595836165268 0.00551197772515991 0.00476765015397886 0.00694940989099363 0.00511984124811278 0.00488326992590717 0.00125859410083264 0.00149459820693863 0.00135759262380025 0.00144785826508979 0 0.00125830803449759 0.00254872960636661 0.00131942486981391 0 0.00252160299925607 0.0012130914051612 0.0011790506827128 0.00122673455526166 0.0012394065431789 0.00134619401138505
"Gpi1" 0 0 0 0.0017677010676815 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
