"","Itgav","Itgb1","Itga8","Itga9","Osmr","Rpsa","Itga1","Dag1","Itga7","Scara3","Colec12","Nptn","Antxr1","Scarb2","Itpr1","Pcdh7","Sec63","Bmpr1a","Ddr2","Ryk","Ednra","Ednrb","Tnfrsf1a","Mylk","Pde1a","Anxa6","Igf1r","Pkd1","Slc1a5","Jam3","Cd47","Cd151","Fat1","Tgfbr2","Tgfbr3","Sdc2","Sdc4","Glg1","Fgfr1","Nrp1","Ptprs","Ptpra","Rack1","F3","Vldlr","Lrp1","Ncam1","S1pr3","Rrbp1","Il6st","Gria1","Gabra3","Derl1","Calm1","Clstn1","Atp5b","Notch3","Axl","Pdgfrb"
"Ccl5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.488348219681343,0,0,0,0,0,0,0,0,0,0,0.136290500562026,0,0,0,0,0,0,0,0,0,0,0
"Rspo3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198201315873779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pecam1",0.146999682235942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178098082222914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tgfb3",0.261823137210641,0.206282774030582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.556736512164169,0.0488740954378469,0,0.303450384357818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Calr",0.122748629768268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18456192444073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.510877418586597,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nid1",0.122748629768268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206669734907324,0,0
"Vwf",0.261531623989958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fbn1",0.250118959648434,0.193718678148794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.400739617905946,0,0,0,0
"Adam9",0.0270267039283965,0.0960889624155033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Col18a1",0.250218026267722,0.0885726481273005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fn1",0.114300526821933,0.433977464142074,0.175693105238792,0,0,0.161194146517752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022254232864487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tgfb1",0.398951336367493,0.206282774030582,0.311062360652638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.501397932791088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.766590481304378,0.0488740954378469,0.41419151066023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Col1a1",0.240972063677946,0.501195220221716,0,0.174851930282656,0,0,0.146469335307509,0,0,0,0,0,0,0,0,0,0,0,0.0373982870766781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spp1",0.14132723075033,0.0923475211196466,0.311062360652638,0.133476007591878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tnc",0.241769923321387,0.240961163066389,0.300559972456547,0.403611024860497,0,0,0,0,0.281468390796823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
