"Col4a1" "Eln" "Fabp4" "Fn1" "Hif1a" "Loxl2" "Nme1" "Socs3" "Thbs1" "Vim" "Actb" "Bhlhe40" "Cebpb" "Clic1" "Id3" "Pfn1" "Tnc" "Tubb5" "Vasp" "Adamts5" "Tnfrsf1a" "Angptl4" "Gabarap" "Selp" "Mmp14" "Sema7a" "Pkm" "Txn1" "Fosl2" "Col18a1" "Calm1" "Pip5k1c" "Col4a2"
"Pgf" 0 0 0 0.00162008829024104 0.00268630549914874 0 0.00102314103277396 0.00143833709680886 0.00118249421152667 0.00129305591381798 0.00158456810076445 0.00180621436127998 0.00161046278169084 0.00135654474903529 0.00157292839406298 0.00126203699620948 0 0.00147997949280216 0.00131265453326236 0 0.0012991136998359 0.00131367798619356 0.00126092055407575 0 0 0 0.0011349566432881 0.00102552973797454 0.00130886877177111 0.0012653313147253 0.00105200644092734 0 0
"Hspg2" 0 0 0 0 0 0 0 0.00109900392966455 0 0.00106998959192149 0.00116983347447202 0.00137597068690354 0.00116865440719796 0.00116728230749624 0.0014333956263109 0 0 0.00101616444103493 0 0 0 0.00100351058776851 0 0 0 0 0 0 0.00101989007680251 0.000982167834995706 0.000999324980931607 0.000989846536635367 0
"Itgam" 0 0 0 0.001128916647372 0 0 0 0.00112798956222543 0 0.00107999660187595 0.00115234982413562 0.00131627315158071 0.00129516823131914 0.00108973802830415 0.00126056556953271 0.00105569737502626 0 0.00104286075015005 0.00103944425349614 0 0.00101876574012982 0 0 0 0 0 0 0 0.00108445326370327 0 0 0 0
"Yars" 0 0 0 0.00117306738261956 0 0 0 0.00103032214014789 0 0 0.00103185817592897 0.00129226383481009 0.00120217123136523 0.00104175730872633 0.00125950121872176 0 0 0.00112218224299495 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Nampt" 0.00105734552741308 0.00103976023014584 0.00492993552203335 0.0015836944212677 0.0014639722037824 0 0.00123102366497073 0.00156557235367655 0.00129879520101748 0.00147060409463266 0.00177084597269327 0.00225259259796935 0.00197957165197222 0.00184236362877953 0.00190128256070449 0.00167048448810788 0.00101776178672184 0.00168264419669985 0.0016277442214018 0 0.00154419926392776 0.00150861589091478 0.00149365394792334 0 0.00106664581592447 0.00106294579001612 0.00124237714304512 0.00107037439370747 0.00148759982833115 0.00136886036534574 0.00123221247804616 0.00112498516005035 0.00119273038010564
"Trf" 0 0 0 0.00123741515913932 0.00379232108141822 0 0 0.00118732573087166 0.00104181742847432 0.00117393762449016 0.00140718378024421 0.00143417866455302 0.0014451960321992 0.00141466846141701 0.00144668307757815 0.00133676657631843 0 0.00128055089710798 0.00125281425836679 0 0.00115099727155137 0.00106748245115085 0.00107151934886857 0 0 0 0.00101393142521181 0 0.00108698678779975 0.00116196328188222 0.000983555939371825 0 0
"C3" 0 0 0 0 0 0 0 0 0 0 0 0.00105562083355485 0.00105734371399206 0 0.000980073393679836 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Grem1" 0 0.00111117550230422 0 0.00107665739697066 0.00115717804265734 0 0 0.00110713033732007 0.00110714254073178 0.00102667214213015 0.00115716355890302 0.00137959711863568 0.00140280276733827 0.00125767498701645 0.0012732351639124 0.0012201237774388 0.00436743662988051 0.00115446484457715 0.0010073506322073 0 0 0 0.00107463866746449 0 0.00104374813566113 0 0 0 0 0.00103306095582951 0 0 0
"Hc" 0 0 0 0 0 0 0 0 0 0 0.00197842523846087 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Rps19" 0 0 0 0 0 0 0 0 0 0 0.00100367974280875 0.00102367989052771 0.00105812113185286 0.000985744741914743 0.00107412121932173 0 0 0.00098840584894302 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Icam1" 0 0 0 0.00115808378879791 0 0 0 0.00120807737808542 0 0.00105634377404445 0.00118513435505379 0.00129345089814636 0.00128282742068574 0.00114249551354306 0.00131474601200784 0.00121038777288525 0 0.00110481861262787 0.00100842390152386 0 0.000994214559060387 0 0 0 0 0 0 0 0.00100596576848155 0 0 0 0
"Mapt" 0 0 0 0.001047798201413 0 0 0 0.00110358380494079 0 0.00102588018919457 0.00123212111036657 0.00141205415671205 0.00130979639713352 0.00114066273851525 0.00135845950018374 0.00115317136762415 0 0.00111676570869437 0.00105489492447506 0 0 0 0.00105792454289749 0 0 0 0 0.00431627938629702 0 0.00101997722685597 0 0 0
"Dll4" 0.00105158767963183 0.00120201100803563 0 0.00269630698677478 0.00121433108199863 0 0.00136851061897578 0.00185753483398235 0.00159146843268634 0.0017665762779185 0.00185625641413516 0.00222892152937354 0.00191258598856659 0.00155279467161122 0.00186698453958195 0.00137749901709754 0.00126860578117885 0.00218455968345461 0.00169125364199352 0 0.00143078965072025 0.0012026207484359 0.00169192243600079 0 0 0.00181279464419215 0.0014091315517251 0.000988758341041561 0.00163915009379672 0.0013602375603735 0.0014195428258565 0.00120209671024152 0.00102875998261959
