"Bax" "Bgn" "Cd44" "Cdkn1a" "Col1a1" "Csf1" "Cxcl12" "Gsta3" "Id3" "Igf1" "Junb" "Mmp2" "P4hb" "Pgf" "Runx1" "Sdc4" "Thbs1" "Timp1" "Tnc" "Col3a1" "Fn1" "Gbp2" "Ptges" "Socs3" "Sod2" "Tgfbr2" "Vcan" "Acta2" "Des" "Hic1" "Hspb1" "Ifit3" "Serpine2" "Snai1" "Actb" "Tubb5" "Ier5" "Psen1" "Isyna1" "Cp" "Fth1" "Irf7" "Tnfrsf1a" "Xaf1" "Lpp" "Nnmt" "B2m" "Cyp7b1" "Hmgcs1" "Xbp1" "Rcan1" "Cfb" "Col18a1" "Ldha" "Eif2ak2" "Actn1"
"Osm" 0.00134010258998936 0 0.00152552003411855 0.00248001209218667 0.00128129722667954 0.00143918787553686 0.00260714131790059 0 0.0021060381469725 0.00148601624640097 0.00210570755294114 0 0.00215800536608544 0.00157239568820611 0.0017661727020526 0.00163406003522205 0.00131440585765175 0.00575092635394113 0 0 0.00165470380371374 0 0 0.0024828024604493 0.00132795448472908 0.00169914095772447 0.0013667860854295 0.00122982650500384 0 0.00137113812334469 0.0016753413168012 0.00141450046515593 0 0 0.00184088558226187 0.00173566486730005 0.00150935377422343 0 0.00132371613016984 0 0.00163701637857118 0 0.00165616205731821 0 0.00174944552477205 0.00181552032155274 0.00127930139021912 0 0 0 0.00133822839747805 0.00131990274921515 0.00137966965858044 0.00125518200606826 0 0.00128800336702379
"Pdgfb" 0.00377692683710619 0 0 0.00419351935735484 0.00417536407881862 0 0 0 0.00159394092011876 0 0.00160960924334738 0 0 0 0.00147464683283873 0.00124334405084519 0 0 0 0 0.00132765694970675 0 0 0.00154618258854575 0.00384315562232967 0.00123286242738454 0 0.00401243838224681 0 0.00124634981417735 0 0 0 0 0.00134724812981761 0.00135624863183566 0 0 0 0 0 0 0.0012389531185969 0 0.00125676415763141 0 0 0 0 0 0 0 0 0 0 0
"Lgals3" 0 0 0 0.00152125277648955 0 0 0 0 0 0 0.00122068873169205 0 0 0 0 0 0 0 0 0 0 0 0 0.00207635953436987 0 0 0 0.00369334273006367 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0041169125117841 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tnf" 0.00469445581613238 0 0.00223853480646934 0.00481058644128366 0 0.00591703211339007 0.00449666189245693 0 0.00148800100120581 0.00219659046696997 0.00260850249215809 0.00511567546055251 0.00195380226741641 0.00259583394809883 0.00146123249448805 0.00244417141868464 0 0.00490065863606195 0.00228520513302321 0 0.00431342211285326 0.00633011600771697 0.00504854447835654 0.00540665823199831 0.00489577427546552 0 0 0.00393951887294982 0 0 0 0 0.00218137343704655 0 0.00138049361423276 0.00129797982557706 0 0 0 0.00681893178321207 0.00565825825840402 0.00564060864787526 0.00577536301303989 0.00555238596437144 0 0 0.00228237884853954 0 0 0 0 0.00303350193534199 0 0 0 0
"Plat" 0 0 0 0.00199289280426787 0 0 0 0 0.00148462046055328 0 0.00160720783970492 0.00402226159441221 0 0 0.00130674012362785 0 0 0.00376305192776554 0 0 0.00135938890027968 0 0 0.00137479101661546 0.00220045032754589 0.00128599833952941 0 0 0 0 0 0 0 0 0.00133851398311272 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Vwf" 0 0 0 0.001610812123258 0.00384617150905376 0 0 0 0.00125103675654099 0 0.0012019580532432 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00376622506227698 0 0 0 0 0 0 0 0 0 0 0.00204088956950176 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tgfb3" 0 0 0.00131286794977783 0.00225560517487711 0.00123585671162163 0 0 0 0.00202957344950618 0 0.00172515349341698 0 0.00205980992087896 0 0.00166748513061938 0 0 0 0.00642598074252033 0 0.00446920500700439 0 0 0.00123735984768195 0 0.00163194190017641 0 0.00407582238883859 0 0 0 0 0 0 0.00171215492557961 0.00136146995552084 0.00135347340220635 0.00239924589246389 0 0 0 0 0.00122059698008197 0 0 0 0 0 0 0 0 0 0.00129165322023693 0 0 0
"Mmp9" 0.00364748249297431 0 0 0.00177374486570155 0 0 0 0 0.00136684470328049 0 0.00153535523983338 0.00418784664305765 0 0 0.00122463898826833 0 0 0.00379242755032811 0 0 0.00121538013297602 0 0 0 0 0.00120187977068955 0 0.00387865172969125 0 0 0 0 0 0 0.00136532258067635 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tgfb1" 0.00501298582846888 0.00255800440815857 0.00256008438291661 0.00548303347996596 0.00551568106052913 0.00260596329421763 0 0 0.00311605929807148 0.00566017293649168 0.00573523263611306 0.00539083089228823 0 0.00275514492195642 0.00173961119513968 0.00128919601651315 0.00592596870735485 0.00514659632818426 0.00263948532009254 0.00527727585757168 0.00583983968729012 0 0 0.00567161006627657 0.00392899524263237 0.00629791933528927 0.00135723104890683 0.00418218125163802 0.00667980754670224 0.00510380819255249 0.0058713530651132 0.00466566099947073 0.00452512600179892 0.0046202192485117 0.00296597953804268 0.00163917850063023 0.00145440274252408 0.00236969775959155 0.00244096580435543 0 0.001313046198603 0 0.00140055611775063 0 0.0014044791997589 0.00123766146857669 0 0 0 0 0.00120977130048633 0 0.00138206816395869 0 0 0
"Il1b" 0.00511122867865246 0.00556725311719056 0.00263537070462579 0.00457889077460727 0.00432704969277202 0.00632249819196331 0.00473051781521624 0 0.00481314634896284 0.00254724050239757 0.00463219356255691 0.00533183165843309 0 0.0029056677648134 0.00171200553725626 0.00476448440552877 0.00145961489039303 0.00519880978995069 0.00251226830862568 0.00516287095521492 0.00471508674511481 0.00487909206664164 0.00530224243696831 0.00585863121138335 0.00519312841301362 0.00482781127689751 0.00484051678696276 0 0 0.00144922776664167 0.00138530686369735 0.00120954074822048 0 0 0.00174793447157904 0.00158594809031943 0.00146733127762813 0.00249282221677752 0.00248824112780248 0.00276077476749366 0.00142926429055526 0 0.0028408585681371 0 0.00152518495117881 0.00127868489612387 0.00136111692370163 0 0 0 0.00128859572181452 0 0.00140493659882632 0.00125830803449759 0 0
"Fgf2" 0.00378760245227831 0.00244344294139355 0.00538651594954828 0.00301269652847111 0.00228653722799215 0.00251245742144926 0.00241942277429492 0.00660406872708066 0.00175528603823209 0.00236694655946615 0.00276959852510983 0.00523830534998965 0.00201522497073303 0.00268705956377018 0.00263200187505393 0.00256339895730747 0.00246573601933631 0.00209778431201249 0.00245508572184439 0 0.0014337325430763 0 0 0.00148323621566164 0 0.00145358461488991 0.00120510441479467 0 0 0 0 0 0 0 0.0014694956705675 0.00145246228974306 0.00134645097729705 0 0 0 0.00123130163907247 0 0.0012808240111231 0 0.00131078819307063 0.00121845439951725 0 0 0 0 0 0 0 0 0 0
