"","Cd247","Il2rb","Cd3d","Cd3g","Cd2","Cd22","Itgal","Itgb2","Il7r","Il2rg","Spn","Cxcr4","Sorl1","Selplg","Sell","Ptprc","Ptpn6","P2ry10","Il18r1","Glg1","Cd74","Anxa6","Atp5b","Calm1","Ptk2b","Itgb7","Rpsa","Rack1","Slc1a5","Cd47","Itga4"
"Arf1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200830142310437
"Hmgb1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129681652820949
"C3",0,0,0,0,0,0,0,0.291603182610225,0,0,0,0.173296783445663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jam3",0,0,0,0,0,0,0,0.24722707202027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ptprc",0,0,0,0,0.93936458418087,0.904122102524393,0.114931384637088,0,0,0,0,0.0157576913285497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Itgb2",0,0,0,0,0,0,0.48930312584536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Icam1",0,0,0,0,0,0,0.0654290373219354,0.0611300864894527,0,0.413630673218242,0.863148515952939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"F11r",0,0,0,0,0,0,0.037492178078916,0.284501553961801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Icam2",0,0,0,0,0,0,0.332445880271921,0.0611300864894527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Il7",0,0,0,0,0,0,0,0,0.851629765133683,0.858785907984067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trf",0,0,0,0,0,0,0,0,0.113332514465692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Calr",0,0,0,0,0,0,0,0,0.113332514465692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crlf2",0,0,0,0,0,0,0,0,0.0280654993873773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
