"Bgn" "Ccnd1" "Fmod" "Hes1" "Ier3" "Msln" "Trf" "Timp1" "Irf1" "Lmna" "Src" "Tnfrsf1a" "Timp3" "C3" "Cfb" "Sulf2" "Lbp" "Col4a1" "Krt18" "Fads1" "Ppp3ca" "Sfrp2" "Fth1"
"Bdnf" 0 0.00268462321469645 0 0.00288580128206272 0.00166672939054489 0 0 0 0.00143751140254026 0.00164804253843356 0.00113240090451887 0.00125011083073089 0 0.00116101408713649 0 0.0012175991526402 0 0 0 0 0 0 0.00116942306038556
"Efnb2" 0 0.00114419677583603 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sell" 0 0.00142369089900088 0 0.00121185110947819 0.00115262108038711 0.00205441061303855 0 0 0 0.00115269837940849 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tgfb1" 0.00255800440815857 0.0049155449618628 0.00295418857773751 0.00308223232651456 0.00188015714086075 0 0.00678442694765877 0.00514659632818426 0.00153627936919529 0.00180035545017696 0.00128265572185758 0.00140055611775063 0.00254983793205014 0.0013096329721325 0 0.00138479006136281 0 0.00485394028475774 0.0044065352416625 0 0 0 0.001313046198603
"Lamb2" 0 0.00155412326798744 0 0.00158230657904727 0.00130340368556918 0 0 0 0.00143293889050966 0.00137682414635469 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pcdh1" 0 0.00153756139085828 0 0.00143393650884753 0.00127197955683965 0 0 0 0 0.00134707534433992 0 0 0 0 0 0 0 0 0 0 0 0 0
"Col4a1" 0 0.00131106101658828 0 0.00132509850113375 0.00118216257804888 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tnc" 0 0.00147863837550371 0 0.0013244331421502 0.00119812636326757 0 0 0 0 0.00122385998378597 0 0 0.00222440586390975 0 0 0 0 0 0 0 0 0 0
"Wnt5a" 0 0.00246177264272535 0 0.00136176883215949 0.0012835506280478 0.00205975192028982 0 0 0.00117657465303629 0.00125039267616214 0 0 0 0 0 0 0 0 0 0 0 0 0
"Efnb1" 0 0.00129525828828361 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fgf1" 0 0.00165517880547517 0 0.00139769701828665 0.00146725544984714 0 0 0.00185060820883847 0.00124612058462458 0.00127898498401072 0 0 0 0 0 0 0 0 0 0 0 0 0
"Plat" 0 0.00187139313165828 0 0.00159933450691683 0.0013966920440855 0 0 0.00376305192776554 0.00147839762300836 0.00152412435804464 0 0 0 0 0 0 0 0 0 0 0 0 0.00114070386657751
"Serping1" 0 0.00143077702624639 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Adam17" 0 0.00196545252932372 0 0.00197603053817831 0.00172829346361237 0 0 0 0.00163720116196371 0.0015406909372773 0.00116870464698633 0.00124626000143875 0.00473414026985662 0 0 0 0 0 0 0 0 0 0.00115337820528522
"Mmp9" 0 0.00168013374448286 0 0.00144792472151187 0.00133525797695098 0 0 0.00379242755032811 0.00123842623100794 0.00148103936851367 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fn1" 0 0.00113878306186211 0 0 0 0 0 0.00355817317440741 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Inhba" 0 0.00172001366342803 0 0.00206026830738299 0.00184805020512057 0 0.00491110639565719 0 0.00155644402361741 0.00171840039250399 0.00118809697890332 0.00130508746000546 0 0 0 0.00147217054142971 0 0.0011315820055384 0 0 0 0 0
"Lgals3" 0 0.00134862195131715 0 0.00120281762825719 0.00116760726142911 0 0 0 0 0.00118340757477034 0 0.0041169125117841 0 0 0 0 0 0 0 0 0 0 0
"Pdgfb" 0 0.00397971566562292 0 0.00153712934332029 0.00160091792808307 0 0 0 0.00176891309470907 0.00153110703459295 0.00444250296915953 0.0012389531185969 0 0.00117220821649059 0 0 0 0 0 0 0 0 0
"Osm" 0 0.00446665458939584 0 0.00196797347857622 0.00201189048988944 0 0 0.00575092635394113 0.00266528359643123 0.00205116771657208 0.00129642827651148 0.00165616205731821 0.00132666957503525 0.00132294035370004 0.00131990274921515 0.00143204698398998 0.00160391294615701 0 0.00115847308373572 0 0 0 0.00163701637857118
"Fgf2" 0.00244344294139355 0.00486015034403085 0.00272894063036896 0.00276757308436314 0.00175304959895765 0.00453979066386279 0.00248539730008674 0.00209778431201249 0.00154306500852488 0.00169109559965225 0.00119594906822357 0.0012808240111231 0 0.0011310230883184 0 0 0 0 0 0 0 0 0.00123130163907247
