"","P2ry14","Adora1","S1pr3","Itga1","Dag1","Itga7","Ptch1","Cd151","Fat1","Cd47","Igf2r","Itga8","Itgb5","Itga9","Itgb1","Nrp1","Pdgfrb","Vtn","Tgfbr2","Tgfbr3","Sdc2","Sdc4","Bmpr1a","Acvr2a","Bmpr2","Scara3","Cadm1","Nptn","Ptpra","Rack1","Sdc3","Plxnb2","Ptprs","Cul5","Rrbp1","Anxa6","Igf1r","Ednra","F2r","Il6st","Osmr","Ghr","Lepr","Amfr","Atp5b","Pkd2","Calm1","Prnp","Mylk","Tnfrsf1a","Axl","Rpsa","Cd44","Tnfrsf19","Lrp1","Vldlr","Tnfrsf12a","Pkd1","Il1r1","Derl1","Clstn1","Adgrl3","Agtrap","Glg1","Gpc4","M6pr","Fzd1","Antxr1","Scarb2","Notch1","Notch2","Notch3","Ryk","Ddr2","Lrp6","Itpr1","Sec63","Pcdh7","Ptk7"
"Adam15",0,0,0,0,0,0,0,0,0,0,0,0,0,0.138883761267944,0.0960889624155033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Reln",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.321614149900774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.681775114723587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lamc2",0,0,0,0,0,0,0,0.408727326544067,0,0,0,0,0,0,0.124822975832743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fbn1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193718678148794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.400739617905946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Angpt2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223456102641836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jam2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177918065691644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Col1a1",0,0,0,0.146469335307509,0,0,0,0,0,0,0,0,0,0.174851930282656,0.501195220221716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40282899069551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0373982870766781,0,0,0,0,0
"Col4a1",0,0,0,0.151129337145447,0,0,0,0,0,0,0,0,0,0,0.124822975832743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sema7a",0,0,0,0.244765300528363,0,0,0,0,0,0,0,0,0,0,0.206282774030582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Agrn",0,0,0,0,0.388241151265362,0,0,0,0,0,0,0,0,0,0.206282774030582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.459981161825488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10960023775516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
