"Actb" "Ahnak" "Cebpb" "Cirbp" "Clic1" "Elf3" "Icam1" "Jund" "Myh9" "Ptgs2" "Ubc" "Vegfa" "Ager" "Cebpa" "Prmt1" "Sftpa1" "Bax" "Eml2" "Rac3" "Tapbp" "Areg" "Atf4" "Aqp5" "Ddr1" "Cavin1" "Cox7a2l" "Phf23" "Rab1b" "Tmem256" "Tmem259" "Cd9" "Csrp1" "Cldn7" "Gprc5a" "St3gal4" "Optn"
"Lamb2" 0.00122785065043676 0.00131457596162555 0.00118342523598463 0 0.00118675891452592 0.00119893977672504 0.00113807402022363 0 0.00112257739291612 0 0.00140355501352378 0.00140529831423787 0.00106093352487013 0.00114264711527419 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00108544227262172 0.00108280762486409 0 0 0.00108171904156697 0
"Pecam1" 0.00121796562353523 0.00136738750926704 0.00131751122802977 0.00117944410905885 0.00123388280103664 0.00120755513378492 0.00127681993639204 0 0.00122331004441365 0.00124295822930566 0.00143843750617272 0.00156776997326893 0 0.00108769964425216 0 0 0 0 0 0 0 0 0 0 0 0 0.00105234584157867 0 0 0 0 0 0 0 0 0
"Aimp1" 0 0.00106132617919555 0.00108431292935155 0 0 0 0.00184033222145903 0 0 0 0.00127460217063012 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Itgal" 0.00127765894622337 0.00137981814255523 0.0042576341131205 0.00120213244521367 0.00123249763383793 0.0011307922367284 0.00208304768899103 0.00118620660067922 0.00114853764024119 0.00112173393920932 0.00135607692563114 0.00150889614609971 0 0.00111644620880258 0.00104727320422561 0 0.00360875209846123 0 0 0 0 0 0 0 0.0167264044993116 0.00425576776499284 0.00429062941742559 0.00440276605504195 0.00429839541842237 0.00421075494159307 0 0 0 0 0 0
"Hmgb1" 0.00224754285905749 0.00229718206526458 0.00232412195753838 0.00209947957000782 0.00244227739533442 0.00192954454991842 0.00562016913687305 0.00215517700165225 0.00199640735340816 0.00189480551159653 0.00254914583597354 0.0022101560164988 0.00527474463608968 0.00173047657547978 0.00203602675058445 0 0.00186646190700926 0.00161591921778674 0.00168507409332107 0.00180095939500327 0.00108231725736186 0.00163102194593023 0 0.00170999693689343 0 0 0.00195001694524939 0.0012625823070289 0 0 0.00141747211541946 0.00182239591424452 0.00160772848507485 0.0013004534873095 0.0013830876879197 0.00152422110045897
"Bmp4" 0.00167989700560281 0.00173315920849301 0.00174087172220654 0.00168303517881449 0.0015725296573374 0.00156756768819684 0.00243894759633319 0.00153997994503132 0.00152267215616941 0.00131796249349135 0.0020652136076413 0.00472910161072179 0.00116320068753799 0.00144532889641732 0.00148982754261048 0 0.00234737228060848 0.00104642802838285 0 0.0010926510530369 0 0.00120594082149156 0 0.00127769289746387 0 0 0.00127750144817252 0 0 0 0.00132199584783824 0.00131787411241254 0.00129686555384219 0.00109518030758371 0.00113636928827436 0
"Hbegf" 0.00120974304173577 0.00127227455205067 0.00128053910428899 0.00109183267356084 0.00117347248888774 0.00118402082437806 0.00139941167804101 0.00115633675401586 0.00113111695695788 0.00118818608734032 0.00149707275928332 0.0014459434880895 0 0 0.00119689272974107 0 0.00369077923673185 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tnfsf14" 0.00161733454893456 0.00193255239876027 0.00145556456643301 0.00116756372380235 0.00147874356312693 0.0013158005480748 0.00149544231301743 0.00123859257413566 0.00124991636040348 0.00120008660691922 0.00181828442677926 0.0015476324593643 0.00129183504930855 0.00137497429621369 0.00122805637004182 0 0.00121283042740455 0.00128434088414997 0.00129221947086504 0.00136082427591152 0 0 0 0.00145607877510586 0 0 0 0 0 0 0 0.00124067871481625 0.00108901297837592 0 0 0.0010465699295707
"Wnt5a" 0.00112272444746442 0.00124531696914446 0.00121675287801561 0.00111263399098977 0.00107814062717716 0.00117302865271576 0 0 0.00104953267291779 0 0.001441652251869 0.00134806759353442 0 0.00105133205867478 0 0 0 0 0 0 0 0 0.00488738195361255 0 0 0 0 0 0 0 0 0 0 0 0 0
"Angpt2" 0.00149273164062777 0.00173147829178654 0.00182082402078934 0.00124316234049455 0.00131285206862673 0.00146455222931538 0.00142995270602061 0.00258576705549872 0.001453242382684 0.00134244320662754 0.00203638966091503 0.00200059620739053 0.00147481458910138 0.00120361829806445 0.00136676951365994 0 0.00141702622743424 0 0 0 0 0.00143675693658376 0 0.00109794102431359 0 0 0.00130309710055235 0 0 0 0.00126585388519423 0.00107619734858362 0.00109418888048279 0 0.00129112591741766 0
"Col18a1" 0 0.00115772775710992 0.00113032575278989 0 0.00106646000503155 0 0 0 0 0 0.00139609851422515 0.00331406073320932 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Spp1" 0.0014557991705183 0.00142865745316068 0.00147532636381718 0.00139453074220996 0.00129706631785776 0.00117075827913492 0.00227822254511026 0.00258795165478313 0.00117497150695883 0.0010916143876179 0.00172691978695937 0.00147826056897083 0.00106122873187081 0.00111194614004881 0.00118124028507941 0 0.00106784508842907 0 0 0 0.00478283586807755 0.00108205752253447 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Itgb2" 0.00110373204318215 0.00117271468946991 0.00122574096649539 0 0.00104441253231619 0.00104902266692262 0.00121034151745122 0 0 0.00109978207634795 0.00128002965240362 0.00133742872972063 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fgf1" 0.00126282497199686 0.00128970280557901 0.00131221561249758 0.00114506079402206 0.00121390140459223 0.00109486126500062 0.00127275023603779 0.0010702856183187 0.00110625333023813 0.00116635636772496 0.0014248951502895 0.00143211986828032 0 0 0 0 0.00361100199031988 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Itgb1" 0.00105680613317923 0.00110700085316185 0.00412477620277136 0 0.00106593535012395 0 0 0 0 0 0.00121013500268273 0.00123606154350047 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ltb" 0.0014927927701708 0.00187523386225688 0.00170731210451917 0.00130609391707466 0.00128508125663504 0.00126591150872649 0.00205205967334107 0.00122966743863967 0.00114753741559277 0.00136919055071565 0.00152250981226914 0.00170848383111267 0.00152149940211275 0.00155490321108062 0.00122600763859564 0.00107442411248762 0.00133229771754634 0.00148425064774981 0.00175353039027622 0.00169080175735594 0 0 0 0.00142655852488572 0 0 0 0 0 0 0 0.0011153790402647 0 0 0 0.0010557235496673
"Mmp9" 0.00136532258067635 0.00131705432545645 0.00136394278263057 0.00136204455984733 0.00143850333762942 0.00120009186164615 0.00117875673257323 0.00126406267504702 0.00114688291389529 0.00114913193427624 0.00159847130534817 0.0023646425721241 0 0 0.00111227528479881 0 0.00364748249297431 0 0 0 0 0 0 0.00107053524274879 0 0 0 0 0 0 0 0.00106733952689913 0.00110530360599447 0 0 0
"Anxa1" 0 0 0 0 0 0 0 0 0 0.00344271618198081 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Nampt" 0.00177084597269327 0.00186880674866776 0.00197957165197222 0.0018442687602589 0.00184236362877953 0.00163200426860531 0.0050239544149108 0.00171029730743726 0.00162613480887036 0.00405718018956112 0.00233661921460341 0.00275732355901715 0.00481267219492233 0.00170491746984157 0.00161530057397867 0.0057976155606149 0.00135395357445214 0.00119149319579052 0.00119230188850724 0.00125262374661627 0 0.00142355678233565 0 0.00132438919639599 0 0 0.0014312328138864 0 0 0 0.00132832786226396 0.00142712691531546 0.00136018107595673 0.00123022472146257 0.0011863246176808 0.00121862384935194
"Itgam" 0.00115234982413562 0.00129404308203525 0.00129516823131914 0.00110182227636077 0.00108973802830415 0.00114542280446737 0.00124723211845029 0.00104442875129448 0.00107240406286459 0.00384848807455692 0.00136526632307033 0.00146694737172499 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
