"Actb" "Ahnak" "Cd34" "Cd38" "Ddit4" "Edn1" "Fas" "Ier3" "Ier5" "Irf2bp2" "Lmna" "Nos3" "Plat" "Serpine1" "Synpo" "Timp3" "Dusp6" "Mcl1" "Myh9" "Plaur" "Sparc" "Hif1a" "Ntrk2" "Col4a1" "Ctnnb1" "Itgb1" "Ldha" "Eef1a1" "Fkbp5" "Sgms1" "Rpl27" "Tpm4" "Cxcl12" "Mlec" "Xbp1" "Rps2" "Anxa2" "Tfpi" "Upp1" "Pim3" "Pfkfb3" "Gadd45g" "Csrp1" "Emp1" "Flnb" "Lrrfip1"
"Itgam" 0.00115234982413562 0.00129404308203525 0 0 0.0012890493648742 0.00122713555180145 0.000989583014928849 0.00128710215959032 0.00105046403627376 0.00121167021587188 0.00125403050002514 0.00118937329703565 0 0.00129361657925824 0.00121011541602748 0 0.000982909355110675 0.00112066620251466 0.00107240406286459 0 0 0 0 0 0.00108992945949677 0 0 0 0.00101583288835441 0 0 0 0 0 0 0 0.000927434730309721 0 0 0 0 0.00100430731014693 0.000921379752208675 0 0.000918601508877493 0.000967966404909967
"Pik3cb" 0.000993210203427552 0.00108150933288305 0 0 0.00120123085530808 0.00103856207864609 0.000955825734911131 0.00123277734646345 0 0.00108875393788412 0.00115102888941901 0.00101859871529942 0 0.00112918520924919 0.00113108757845792 0 0 0.00100068250889322 0.000951957468322351 0 0 0.00200046767083967 0 0 0.00203484773456577 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pgf" 0.00158456810076445 0.00152197987412888 0 0 0.00186095098900815 0.00279435200730056 0.0013008563014057 0.0017075441764861 0.00126269796731184 0.00160377300904797 0.00160038242317859 0.00153878461392988 0 0.00298476130021424 0.00149911701584414 0.000991078300404195 0.00130474945614967 0.00147920924131826 0.00137792234125744 0.0010417981659387 0 0.00268630549914874 0 0 0.00138052612996723 0.00105294427152311 0.00126471674064846 0.00113070294999345 0.00132447180236221 0.00112784425010378 0 0.00108865766122381 0.00101380545747377 0.000930052945520202 0 0.00105646783876815 0.0011951632580276 0 0 0.00103254163403132 0.00124498625629205 0.00124232936810067 0.00122606416804652 0.00093567896346797 0.00113423842811798 0.00105471083954186
"Rps19" 0.00100367974280875 0.0010961330719689 0 0 0.00100632289346879 0.000933879320365654 0 0.00105870505522464 0.000954105839617446 0.0010525016442492 0.00109043188819073 0.000930692404201321 0 0.00100410144491025 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Itga4" 0 0.000949602047503502 0 0 0.00094454277221798 0 0 0.000987407534430331 0 0.000957094884510634 0.000955221832747007 0 0 0.000972367212919405 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Vegfd" 0.00122379582036767 0.00127203413370182 0 0 0.00138481859500287 0.00126391768374658 0.000918357115306453 0.00158322425384147 0 0.00129969216844614 0.0013085977446279 0.0011504533170673 0 0.00150030888017588 0.00111905846123063 0 0.00102418823131028 0.00113808303274888 0.00114737489574876 0 0 0.00111276762829078 0 0 0.00107668184623521 0 0.000995386771002785 0 0.00107361322638668 0.000933320021916047 0 0.000919561109345403 0 0 0.000926466526095987 0 0.00102925656855587 0 0 0 0.00107907125527418 0 0.000952808522716811 0.000930501293492915 0.00100249522891038 0
"Mmp9" 0.00136532258067635 0.00131705432545645 0 0 0.00141412881462259 0.00137884510683266 0.00100328568024478 0.00133525797695098 0.00114880748160296 0.00135202476627754 0.00148103936851367 0.00137994014285267 0 0.00143870335246138 0.00120711844938187 0 0.00116527818703566 0.0042324033320783 0.00114688291389529 0.000921672989818821 0 0.000964672704351194 0 0 0.00108908693542171 0.000975900209324856 0.000936981535455474 0.000999016570090752 0.00109612075075737 0.000966628789244896 0 0.00113076949037393 0 0 0 0 0.00103880819385333 0 0 0 0 0.0010230241727797 0.00106733952689913 0 0.000929099412493982 0.00101513742020319
"Nucb2" 0 0.000952995672503028 0 0 0.00101433932675748 0 0 0.000966760211901614 0 0.00101703312347979 0.00110598015197019 0 0 0.00124366515703362 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Vcam1" 0 0 0 0 0 0 0 0.000961610728116267 0 0 0.000922307739444714 0 0 0.000916894722695064 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Efnb1" 0 0.000948076642048313 0 0 0.000973934989669129 0 0 0.000995863644069516 0 0.000976747156731 0.00098216374848115 0 0 0.000983740965053856 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
