"Acta2" "Cnn1" "Col1a1" "Col1a2" "Col3a1" "Eln" "Fbn1" "Fn1" "Hspb1" "Loxl1" "Ptpn1" "Serpine1" "Serpine2" "Tagln" "Thbs1" "Timp1" "Vim" "Actb" "Adamts2" "Ccnd2" "Fam129b" "Id3" "Pfn1" "Sept9" "Stat3" "Tnc" "Tubb5" "Adamts1" "Adamts4" "Bgn" "C1ra" "Col8a1" "Mmp14" "Sdc4" "Fgf18" "P4hb" "Tgfb2" "Adamts9" "Il6st" "Tubb3" "Eif4ebp1" "Eef1a1" "Cavin3" "Col18a1" "Rgs2" "Rcan1" "Tnfrsf12a" "Tagln2" "Tgfb3"
"Mmp9" 0.00387865172969125 0 0 0 0 0 0 0.00121538013297602 0 0 0 0.00143870335246138 0 0 0 0.00379242755032811 0 0.00136532258067635 0 0.00116104928125516 0.00120095347038088 0.00136684470328049 0.00123962414145568 0.00131775964713932 0.00125381424028079 0 0.00119742703413151 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fgf2" 0 0 0.00228653722799215 0.00225688661748847 0 0 0 0.0014337325430763 0.00117031177800091 0 0.00119157330221776 0.00561307382358825 0 0 0.00246573601933631 0.00209778431201249 0.00121929254447143 0.0014694956705675 0 0.00261560597912654 0.00129258483736188 0.00175528603823209 0.00128777347451712 0.00148156016694361 0.00155513619687575 0.00245508572184439 0.00145246228974306 0 0.00238793670167162 0.00244344294139355 0 0 0 0.00256339895730747 0 0.00201522497073303 0 0 0 0.00421537475789787 0 0 0 0.00117025777011331 0 0 0.00123904410968292 0.00124360771361438 0
"Osm" 0.00122982650500384 0 0.00128129722667954 0 0 0.0012065758378941 0 0.00165470380371374 0.0016753413168012 0 0.00170217312276465 0.00188403613626777 0 0 0.00131440585765175 0.00575092635394113 0.00275861619400152 0.00184088558226187 0 0.00177674800528969 0.00154010059055947 0.0021060381469725 0.00134769918760264 0.0018026525636716 0.00220862111318908 0 0.00173566486730005 0 0.00645637997940221 0 0 0 0 0.00163406003522205 0 0.00215800536608544 0.00124134556450199 0.0028912166649987 0.00266824514701185 0 0 0.00124197782331518 0 0.00137966965858044 0 0.00133822839747805 0.00118250389572063 0.0014918933348859 0.00132548277051298
"Edn1" 0 0 0.00406632226576029 0.00430284300218838 0.00507425261027675 0 0 0.00127971483878582 0 0 0 0.00154295705737696 0 0 0 0.00195713366293793 0.00214614830596564 0.00119186886368411 0 0.00118816643119783 0 0.00140391789878661 0.00120159539202971 0.00119475334146133 0.00128419389958732 0 0.00125963308360365 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Vwf" 0.00376622506227698 0 0.00384617150905376 0 0 0 0 0 0 0 0 0.00128357640960157 0 0 0 0 0 0 0 0.00118071999362242 0 0.00125103675654099 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00421558763554107 0 0 0 0 0 0 0 0 0 0 0 0
"Tgfb2" 0.00426472021027771 0 0.00576007370235692 0.00577280511684245 0 0.00116495667700662 0.00500298343691173 0.0048917055913293 0.00141106259560602 0 0.00469626684766751 0.00604055454509207 0 0 0.00135638336781128 0.0021985662674196 0.00167075884910359 0.00183006461202542 0 0.00170565816448646 0.00152045450412193 0.00229373581544947 0.00160496966216414 0.0017420769136518 0.00189450938318816 0.00273951091521325 0.00159702134242239 0 0 0.00251060727027853 0 0 0 0.00134645886362412 0 0.00210587522167556 0.00481347776799212 0 0 0 0 0.00152379385965225 0 0.00129190673912139 0 0.00153200399014485 0.00129475943414214 0.0014083566203029 0.00117853227201675
"Tgfb3" 0.00407582238883859 0 0.00123585671162163 0 0 0 0 0.00446920500700439 0.00116525261872864 0 0 0.00474246844207253 0 0 0 0 0.00132242544024724 0.00171215492557961 0 0.00125994327621658 0.0012831778123221 0.00202957344950618 0.0013860823839256 0.00143225240943012 0.00129444341593659 0.00642598074252033 0.00136146995552084 0 0 0 0 0 0 0 0.00231236724848962 0.00205980992087896 0.0013767278673098 0 0 0 0 0.00126014374907011 0 0.00129165322023693 0 0.00115794050756343 0.00118897882277208 0.00128860596609987 0
"Il1b" 0 0 0.00432704969277202 0 0.00516287095521492 0.00695102019209374 0 0.00471508674511481 0.00138530686369735 0 0.00147280954722449 0.00582539956101891 0 0 0.00145961489039303 0.00519880978995069 0.00140556229643095 0.00174793447157904 0 0.00169003370985696 0.00151908690638467 0.00481314634896284 0.00161909072056996 0.001727476436862 0.00456753520907281 0.00251226830862568 0.00158594809031943 0.00610819585501071 0.0062124402077904 0.00556725311719056 0.00482734984999481 0.00551197772515991 0.00488326992590717 0.00476448440552877 0 0 0.00124837658132785 0 0 0 0 0.00130349768813734 0 0.00140493659882632 0 0.00128859572181452 0.00254872960636661 0.00135759262380025 0
"Spp1" 0 0 0 0.00421524682203956 0.00495879526473618 0.0049989028848838 0 0.00125375186388455 0 0 0 0.00152723633884689 0 0 0.00424683178350971 0.00377514477134519 0.00118931505083177 0.0014557991705183 0.00507234073704876 0.00132470875953889 0.00120316975019438 0.0014267373474043 0.00123120779421862 0.00133409872616051 0.0013077419881286 0.00447159030759513 0.00133668505344441 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tgfb1" 0.00418218125163802 0.00634917191248868 0.00551568106052913 0.00782831487095467 0.00527727585757168 0.00698701226936435 0.00494533872999235 0.00583983968729012 0.0058713530651132 0.00488498989928621 0.00473014803619885 0.00587025025317145 0.00452512600179892 0.00666074381041192 0.00592596870735485 0.00514659632818426 0.00539500587814721 0.00296597953804268 0 0.00157270359399169 0.00149136829657546 0.00311605929807148 0.00149627334430383 0.00168793008127137 0.00273917272899772 0.00263948532009254 0.00163917850063023 0 0.00246276587944742 0.00255800440815857 0 0.00280551947762687 0 0.00128919601651315 0.00253427280514292 0 0.00128689244248201 0 0 0 0 0.00137513480490137 0 0.00138206816395869 0 0.00120977130048633 0.00264835032139451 0.0014048054064054 0.00247205537796065
