"Actb" "Bhlhe40" "Ddit4" "Dll1" "Hes1" "Ier3" "Junb" "Midn" "Pxn" "Sema7a" "Socs3" "Tubb5" "Bax" "Fkbp5" "Flot1" "Ier5" "Pfn1" "Ptgs2" "Sh2b3" "Stat3" "Synpo" "Tnfrsf1a" "Aldoa" "Fam129b" "Nos3" "Slc3a2" "Tle1" "Ccnd3" "Cdk4" "Cxcl12" "Ecscr" "Hif1a" "P4hb" "Plat" "Skp1a" "Sox17" "Tfpi" "Upp1" "Ctnnb1" "Ndst1" "Tgfbr2" "Vasp" "Akt1" "Sparc" "Aqp1" "Atf4" "Selp" "Xbp1" "Nras" "Smad1" "Ntn1" "Gadd45g" "Tagln2" "Cd38" "Col4a1" "Lpl" "Ptpn1" "Rpl27" "Adamts9" "Il6st" "Nrp2" "Sbno2" "Actn1" "Emp1" "Flnb" "Ldha" "Col18a1" "Ltbr" "Dpagt1" "Rps2" "Cd34"
"Rps19" 0 0.00102367989052771 0 0 0.00105526250923514 0.00105870505522464 0.00111238596241063 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Yars" 0.00103185817592897 0.00129226383481009 0.00123224826936406 0 0.00120218420912888 0.00144648496867395 0.0013383410557954 0.00112969151731806 0 0 0.00103032214014789 0.00112218224299495 0 0 0.0012113256328791 0 0 0 0 0.00114468171548667 0.00119188367094706 0 0 0 0.00110741517821459 0 0.0010227272736894 0 0 0 0 0 0 0 0 0 0 0 0.00106679201590619 0.0012806832304884 0 0 0 0 0 0 0 0 0 0 0.00124746467164829 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hspg2" 0.00116983347447202 0.00137597068690354 0.00137031756694388 0 0.00141318941798489 0.00124322014947712 0.00130467250691669 0.00115134689877359 0 0 0.00109900392966455 0.00101616444103493 0 0 0.00109577682059016 0 0 0 0 0.00110660201188118 0 0 0 0 0.00119741344223596 0 0 0.00102342177501746 0 0 0 0 0 0 0 0 0 0 0.00103594536069504 0 0 0 0.00105629432898793 0 0 0 0 0 0 0 0 0.00104605892674857 0 0 0 0 0 0 0 0 0 0 0.00106136280391356 0.00102034567401766 0 0 0 0 0 0 0
"Clec11a" 0.00123706477991163 0.00145567344382439 0.00123722695327729 0.00109017333797084 0.00139842731354481 0.00147781930784152 0.00150285143252546 0.00127944071765974 0 0 0.00116241027846522 0.0011735654756474 0.00115953010252587 0.00126815608354181 0.00110584644851813 0.00118147037383315 0.00135300265567966 0.00106390985076524 0.00111026260881316 0.00130072089862096 0.00122429386716024 0.00103361343050889 0.00108830736977285 0.0011661939074185 0.0013190600622457 0.00108680472862628 0 0.00102292402876864 0 0 0 0.00106967431570786 0 0 0 0 0 0 0 0 0 0.00118072025871411 0.00111632280241587 0 0 0.00104740961860316 0 0 0.00107106302075938 0 0.00106504281632917 0 0.00105971126096457 0 0 0 0 0 0 0 0 0 0 0 0 0.00107805476991397 0.00108525914207053 0 0.00111567678722778 0.00105374748698206 0
"Lamb1" 0.00107683527885814 0.00135403749472132 0.00135234171579583 0 0.00147349271975164 0.00133311729502355 0.00140949569895718 0.0012751967525103 0 0 0.00105229548019358 0.00110893909376765 0 0 0.00122282933119129 0 0 0 0 0.00108738126196498 0 0 0 0 0.00126651058233633 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00101817070047919 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00104668645397798 0 0 0 0 0 0 0 0
"Osm" 0.00184088558226187 0.00209030531532557 0.00210403567606266 0.00120472399229983 0.00196797347857622 0.00201189048988944 0.00210570755294114 0.00193491658204752 0.00118101009621642 0.0011278786301756 0.0024828024604493 0.00173566486730005 0.00134010258998936 0.00158949086744805 0.00174368396642659 0.00150935377422343 0.00134769918760264 0.00155394841967774 0.00159245923262001 0.00220862111318908 0.00188455021034445 0.00165616205731821 0.00137435577545459 0.00154010059055947 0.00173012069303628 0.00134712200446782 0.00138196297852857 0.00183799139268792 0.00133300091404265 0.00260714131790059 0 0.00249617331596988 0.00215800536608544 0.00103712985795732 0 0.00113172817634584 0.00107555149999803 0.00118882968828721 0.00146147337231487 0.00136059202300628 0.00169914095772447 0.00158864625750564 0.00150340266100502 0 0 0.00125565190322232 0 0.00103573175867102 0.00158973044284694 0.00102987617472474 0.00103963589133669 0.00166412188727665 0.0014918933348859 0.00115707962576736 0 0.00126935607160057 0.00170217312276465 0 0.0028912166649987 0.00266824514701185 0.00280749374384305 0.00188687406724925 0.00128800336702379 0.00133310862764348 0.00144165065519177 0.00125518200606826 0.00137966965858044 0.00122976486806152 0.00119402374688806 0.00117426023563326 0
"Tgfb1" 0.00296597953804268 0.00203060457954879 0.00198653105146687 0.00264267550730659 0.00308223232651456 0.00188015714086075 0.00573523263611306 0.00171455726365883 0.00258916497068725 0.0024866622703711 0.00567161006627657 0.00163917850063023 0.00501298582846888 0.00144117895663344 0.00167447646451182 0.00145440274252408 0.00149627334430383 0.00411210128204119 0.00139285149308773 0.00273917272899772 0.00154625998242254 0.00140055611775063 0.00131030416960445 0.00149136829657546 0.00302541941447699 0.00141667766262817 0.00279977766415234 0.00146818803267612 0.00121297957310639 0.00104349412082118 0 0.00512547950130937 0 0.00451954467713289 0 0.00101937258706981 0 0 0.00543233575369194 0.00133198517731623 0.00629791933528927 0.00154803841155808 0.0013502997484279 0.002517570023229 0 0.00123618952352695 0 0 0.00120015225504754 0.00108762043330912 0.00130289588958696 0.0014453525000544 0.0014048054064054 0.00496507649457889 0.00485394028475774 0.0044763744617301 0.00473014803619885 0.00425171911840774 0 0 0.00120073449129398 0.00124976652639615 0.0011643799370814 0.00114955222618011 0.00132532191429512 0.00116525920248271 0.00138206816395869 0.00110398736468951 0.00116738529209308 0.00109265974293731 0
"Trf" 0.00140718378024421 0.00143417866455302 0.00144940946874807 0 0.00154588480536206 0.00153028712903923 0.00164772191505639 0.00149914190781072 0 0 0.00118732573087166 0.00128055089710798 0.00106476061437696 0.001278907113207 0.00128357967373958 0.0012265141725706 0.00133676657631843 0.00107176420450989 0.00111129456179745 0.00129845344593016 0.00124912553627246 0.00115099727155137 0.00121473854490868 0.0012441649387228 0.00134917630442088 0.00114616828612572 0.00119352433196864 0.00105640264423089 0 0 0 0.00379232108141822 0 0 0 0 0 0 0.0011145452978771 0.00110565162450132 0.00118263728973649 0.00125281425836679 0.00107271141990584 0 0.00226900441572564 0.00110697483741916 0 0 0.00105273187537729 0 0.00105937835544601 0.00110775910678111 0.00122380914411356 0 0 0 0.00101896671182261 0 0 0 0 0.00101885194466263 0 0.00105355869695867 0.0010470033567884 0.00104451534945397 0.00116196328188222 0 0.00113768487660435 0 0
"C3" 0 0.00105562083355485 0.0011054895450197 0 0.0010716106268116 0.00110182053095711 0.00110605580282985 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Col4a1" 0.00115017429167651 0.00128868388073533 0.00133940338705448 0 0.00132509850113375 0.00118216257804888 0.00124070784102932 0.00119372109567234 0 0 0.00108389834115251 0 0 0 0.00103213978218691 0 0 0 0 0.00105933909167131 0 0 0 0.00106661637212179 0.00110281422829412 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00121700748661509 0 0.00103175024417512 0 0 0 0 0 0 0 0.00115823623014007 0.00108993255240146 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
