"Aqp4" "Cxadr" "Elf3" "Epha2" "Gja1" "Icam1" "Id1" "Jund" "Per1" "Synpo" "Chil1" "Gadd45g" "Muc1" "Trf" "Cirbp" "F3" "Gsto1" "Hist1h1c" "Lcn2" "Xbp1" "Ager" "Basp1" "Ltf" "Aqp5" "Epas1" "Areg" "Akr1b8" "Ltbr" "Epn3" "Clu" "Scnn1a" "Cd9" "Mal" "Sdc1"
"Hc" 0 0 0 0 0 0 0.00101486936019396 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Nampt" 0 0.0011059236928215 0.00163200426860531 0.0018212422778858 0.00111466920965082 0.0050239544149108 0.00222337488374795 0.00171029730743726 0.00217292285892825 0.0015049320843165 0 0.00144919302512924 0.00145086027009936 0.00108140095470838 0.0018442687602589 0.00134564785268919 0 0.00130551384031736 0 0.00111628139442671 0.00481267219492233 0 0 0 0.00150886229998943 0 0 0.00126526609872223 0.00102315507940029 0.00104790302638813 0.00140272243082756 0.00132832786226396 0 0.00129142495889751
"Vegfa" 0 0 0.00138132568656035 0.0030021255700173 0.0023594748343614 0.002338318134906 0.00286632355230323 0.00129390843058613 0.00149400172174422 0.00143050603226441 0.00234148531507331 0.0010924350923482 0.0012844761199113 0 0.00127897933285294 0.00105949205436051 0 0 0 0 0.00101465010334585 0 0 0 0.00114747958398122 0 0 0 0 0.00217643341410883 0.00104630003464478 0.00105221352592258 0 0.00102002113897023
"Itga4" 0 0 0 0 0 0 0.0011691336408337 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Efnb2" 0 0 0 0 0 0 0.00111592933860491 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Plxnb2" 0 0 0 0 0 0 0.00112903748503506 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Efnb1" 0 0 0 0.00105852607093831 0 0 0.00116971115018271 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Celsr1" 0 0 0.00133503601700804 0.00124915640199434 0.00102006643405623 0 0.00148530451857655 0.00117253996052777 0.00117448914632622 0.0011468795928139 0 0 0.00107146852097436 0 0.00106557741776564 0 0 0 0 0.00107251718953877 0 0 0.00105409581907166 0 0.00107093668615042 0 0 0 0.00115025623862038 0 0.00103047524469163 0 0 0
"Cxcl12" 0 0 0.00114635026217369 0.00119565846547445 0 0.00122619544728706 0.00138431602972385 0 0.00113142892160148 0.00119450752342193 0 0 0.00119719415704238 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00237602971550721 0 0 0 0 0 0
"Nectin1" 0 0 0.00111941451231012 0.00120013234042198 0 0.00121411407376731 0.00146614142790636 0.00105200431513526 0.0010505397884019 0.00109106831262237 0 0 0.00105082312018358 0 0.00107480946121363 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Yars" 0 0 0.00109239677234885 0.00140205527682894 0.0010106610379527 0.00105607319778282 0.001503732375185 0 0.00107735707467483 0.00119188367094706 0 0 0 0 0.00102034444828772 0 0 0 0 0 0 0 0 0 0.00108340954179208 0 0 0 0 0 0 0 0 0
"Lgals3" 0 0 0.00100955901684983 0.0011609513420231 0 0 0.00136299958529955 0 0.00110129178594362 0 0 0 0 0 0 0 0 0 0.00392451796822546 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
