"Basp1" "Ccnd1" "Col1a1" "Col3a1" "Col4a1" "Col5a1" "Eln" "Fn1" "Grem1" "Igf1" "Lpl" "Mmp2" "Pdgfa" "Pdgfrb" "Postn" "Serpine1" "Serpine2" "Thbs1" "Thbs2" "Timp1" "Actb" "Cd44" "Ier3" "Nrcam" "Runx1" "Sept9" "Tnc" "Adamts4" "Bgn" "Fmod" "Sdc1" "Spp1" "Col8a1" "Ereg" "Inhba" "Myh9" "Sparc" "Enc1" "Lama5" "Chst11" "Fst" "Hbegf" "Pcdh7" "Sema3a" "Tpm1" "Adamts12" "Cyp26b1" "Dkk2" "Nwd2" "Tmem178" "Crlf1" "Cyp7b1" "S100a4" "Sfrp1" "Angptl4" "Chl1" "Rcan1"
"Tnc" 0 0.00147863837550371 0 0 0 0 0 0.00118045399455545 0 0 0 0.00209476498652453 0 0 0 0.00123119974798745 0 0 0 0 0 0 0.00119812636326757 0 0.00116094684729201 0 0 0.00215980689639087 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Itgb7" 0 0.00137562694571343 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sfrp2" 0 0.00208891783386218 0 0 0 0.00116082578186058 0 0.00148353628489058 0 0.00137537577703719 0 0.00125033476385552 0 0 0 0.00163573133508852 0 0 0 0 0.00145823140480373 0 0.00186160591153128 0 0.00169176044608365 0.00128257851090195 0.00120853363102754 0 0 0.00118870539870535 0.00156615232965021 0 0 0 0 0.00136871529297371 0 0.00135855541738664 0 0 0.0015555363456321 0.00118331243608323 0.00159755579995506 0.00170996697126283 0.00129352040835001 0 0 0 0 0 0.00143223710162526 0 0 0.00136840151192835 0 0 0
"Mmp9" 0 0.00168013374448286 0 0 0 0 0 0.00121538013297602 0 0 0 0.00418784664305765 0 0 0 0.00143870335246138 0 0 0 0.00379242755032811 0.00136532258067635 0 0.00133525797695098 0 0.00122463898826833 0.00131775964713932 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Edn1" 0 0.00166797816169625 0.00406632226576029 0.00507425261027675 0 0 0 0.00127971483878582 0 0 0 0 0 0 0 0.00154295705737696 0 0 0 0.00195713366293793 0.00119186886368411 0.0021558145226926 0.00144341020441212 0 0 0.00119475334146133 0 0 0 0 0 0 0 0.00214271184488378 0 0 0 0 0 0 0.00242602597592015 0.00214917490926885 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bmp4" 0 0.00282542400280105 0.00121880167980661 0 0 0 0 0.00163746098150271 0.00690799655342899 0 0.00116472789278228 0.00220162980644983 0 0 0 0.00195808310737064 0 0.00126015879274672 0 0 0.00167989700560281 0.00128934031669421 0.00185626855263888 0 0.00168063057167453 0.00165073318849144 0.00116055854158314 0 0 0 0.00122099266834853 0 0 0 0 0.00152267215616941 0 0.00134691948039916 0.0014082331578757 0.00296009674059209 0.00265253295966565 0 0.00122575088579345 0 0.00132923683457015 0 0 0 0 0 0 0 0 0.00125729377508016 0.00132389165359035 0 0
"Tgfb3" 0 0.00162587704303284 0.00123585671162163 0 0 0 0 0.00446920500700439 0 0 0 0 0 0 0 0.00474246844207253 0 0 0 0 0.00171215492557961 0.00131286794977783 0.00164521209644254 0 0.00166748513061938 0.00143225240943012 0.00642598074252033 0 0 0 0 0.00219667614821806 0 0 0 0.00145915110208982 0 0.00143547050355449 0.00138792019126399 0 0.00119830485356036 0 0 0 0.00117458558665939 0 0 0 0 0 0 0 0 0.00125646845831403 0 0 0.00115794050756343
"Fgf1" 0 0.00165517880547517 0 0 0 0 0 0 0 0 0 0 0.00203974471976682 0 0.00528132530414328 0.00240747099328217 0 0 0 0.00185060820883847 0.00126282497199686 0 0.00146725544984714 0 0.00115716925079297 0.00122988507862243 0 0 0 0 0 0.00405193709315663 0 0 0 0 0.00224052357432998 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Il1b" 0 0.00296737219284813 0.00432704969277202 0.00516287095521492 0 0 0.00695102019209374 0.00471508674511481 0.00519723694642411 0.00254724050239757 0.00124120563646759 0.00533183165843309 0.00441637455365975 0.00119534012454829 0 0.00582539956101891 0 0.00145961489039303 0 0.00519880978995069 0.00174793447157904 0.00263537070462579 0.00193742800508225 0 0.00171200553725626 0.001727476436862 0.00251226830862568 0.0062124402077904 0.00556725311719056 0.00289194386681772 0.00123527964298185 0 0.00551197772515991 0.00602393238253779 0.00511984124811278 0.00163078371143697 0.00250634830949764 0.0012349335627712 0.00136605249310601 0 0.00265653439259913 0 0.00118503728979018 0 0.00131942486981391 0 0 0 0 0 0 0 0 0.0012130914051612 0.00144785826508979 0 0.00128859572181452
"Fgf2" 0 0.00486015034403085 0.00228653722799215 0 0 0 0 0.0014337325430763 0 0.00236694655946615 0 0.00523830534998965 0 0.00264716044747125 0 0.00561307382358825 0 0.00246573601933631 0 0.00209778431201249 0.0014694956705675 0.00538651594954828 0.00175304959895765 0 0.00263200187505393 0.00148156016694361 0.00245508572184439 0.00238793670167162 0.00244344294139355 0.00272894063036896 0.00244069056694097 0.00213698915373628 0 0 0 0.00139511301299673 0 0 0.00115776363504512 0 0 0 0 0 0.00115986129379706 0 0 0 0 0 0 0 0 0 0.00116999279610799 0 0
"Spp1" 0 0.00158408372530799 0 0.00495879526473618 0 0 0.0049989028848838 0.00125375186388455 0 0 0 0 0 0 0 0.00152723633884689 0 0.00424683178350971 0 0.00377514477134519 0.0014557991705183 0.0022846384445117 0.00153292593991244 0.00464786109374564 0.00130539850736186 0.00133409872616051 0.00447159030759513 0 0 0 0 0 0 0 0 0.00117497150695883 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tgfb1" 0.0044648967027366 0.0049155449618628 0.00551568106052913 0.00527727585757168 0.00485394028475774 0.00518054605732199 0.00698701226936435 0.00583983968729012 0.00512348508486343 0.00566017293649168 0.0044763744617301 0.00539083089228823 0.00585914002902647 0.00697116831620746 0.00556543482970622 0.00587025025317145 0.00452512600179892 0.00592596870735485 0.00762564350377563 0.00514659632818426 0.00296597953804268 0.00256008438291661 0.00188015714086075 0 0.00173961119513968 0.00168793008127137 0.00263948532009254 0.00246276587944742 0.00255800440815857 0.00295418857773751 0.00259061551054549 0.00220228850676684 0.00280551947762687 0 0 0.00159500839792795 0.002517570023229 0.0013511796561731 0.00286538023665182 0 0.00268892497131888 0 0.0011584203367916 0.00268441222036767 0.00278480975554596 0 0.00247282170481276 0 0 0 0 0 0.00233966507029221 0.00121121991813088 0.00266262670309782 0 0.00120977130048633
