"","M6pr","Fzd2","Scarb2","Antxr1","Fzd7","Fzd1","Ryk","Itga8","Itgb5","Itgav","Itgb3","Cd151","Itga1","Itga7","Itga9","Itgb1","Scara3","Colec12","Nptn","Tbxa2r","Ednra","F2r","Tgfbr2","Tgfbr3","Glg1","Sdc3","Sdc2","Sdc4","Gpc6","Fgfr1","Nrp1","Il6st","Osmr","Ddr1","Pkd1","Atp5b","Pkd2","P2ry14","S1pr3","Ptpra","Ptprd","Ghr","Lepr","Cul5","Rrbp1","F3","Lrp1","Ldlr","Vldlr","Mylk","Pde1a","Amfr","Bmpr1a","Tnfrsf12a","Lgr6","Il1r1","Gria1","Gabra3","Clstn1","Erap1","Cd47","Prnp","Ncam1","Anxa6","Igf1r","Insr","Rpsa","Notch3","Pdgfrb","Vcam1","Itpr1","Ddr2","Pcdh7","Xpr1","Dlg1","Sec63","Ltbr","Tnfrsf1a","Neo1","Fat1","Calm1","Rasa3","Rack1","Dag1","Ptprs","Axl","Ptprz1"
"Agrn",0,0,0,0,0,0,0,0,0,0.250218026267722,0,0,0,0,0,0.206282774030582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10960023775516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.446585404733779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.388241151265362,0.459981161825488,0,0
"Hspg2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103295647788543,0,0,0,0,0,0,0,0,0,0,0,0,0,0.293061776955819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10960023775516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.322531549603126,0.232399123086234,0,0
"Col4a1",0,0,0,0,0,0,0,0,0,0,0,0,0.151129337145447,0,0,0.124822975832743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.295265780731331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sema7a",0,0,0,0,0,0,0,0,0,0,0,0,0.244765300528363,0,0,0.206282774030582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Reln",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.321614149900774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.681775114723587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Npnt",0,0,0,0,0,0,0,0.175693105238792,0,0,0,0,0,0,0,0.142809967830446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lamc2",0,0,0,0,0,0,0,0,0,0,0,0.408727326544067,0,0,0,0.124822975832743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Angpt2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223456102641836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jam2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177918065691644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vcam1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.497441251210475,0.471078651730058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0995665826262429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
