"Abca1" "Atf3" "C1qb" "C1qc" "C3ar1" "Cd86" "Cdkn1a" "Gadd45b" "Ier3" "Igf1" "Ly86" "Nek6" "Spp1" "Timp2" "Basp1" "Cd14" "Fkbp1a" "Fn1" "Itgax" "Itgb5" "Lpcat2" "Socs3" "Acp5" "Adam9" "Cd68" "Csf2ra" "Id2" "Msr1" "Tubb5" "B4galt1" "Ccr5" "Fam129b" "Gsn" "Lyz2" "Slc3a2" "Tbxas1" "Apoe" "Pmepa1" "Mmp14" "Ctsb" "Dnmt3a" "Gnas" "Rnf128" "Arg1" "Cd200r1" "Trem2" "Nrp2" "B2m" "Lat2" "Fth1" "Pip5k1c" "Il21r" "Lasp1" "Snx5" "Tgfbi"
"Angpt2" 0.00115645052141167 0.00126158799249013 0 0 0 0 0.00480643361495988 0.00165476050860902 0.00187209972299205 0.00275816006889406 0 0.00153150769027882 0 0 0 0 0 0.00132296024591051 0 0 0 0.00178349189911576 0 0 0 0 0.00155366222604731 0 0.00148615819329907 0.00117983952154002 0 0.00135536435650387 0.00155468924800222 0 0.00130462759412336 0 0 0.00112709493658926 0 0.00259491672564111 0.00144066980591108 0.00120518055072475 0 0 0 0 0 0 0 0.00133139496128946 0 0 0.00122327607115805 0 0.00119117910902203
"Col5a3" 0 0.00122548765971312 0 0 0 0 0.00177073134373318 0.0013370516161875 0.00119706312074658 0 0 0.00113795040469671 0 0 0 0 0 0.00115700867749609 0 0 0 0 0 0 0 0 0.00134769607918783 0 0 0 0 0 0.00119786374854643 0 0 0 0 0.0011587087191155 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lgals3" 0 0 0 0 0 0 0.00152125277648955 0.00235597249778768 0.00116760726142911 0 0 0 0 0 0 0 0 0 0 0 0 0.00207635953436987 0 0 0 0 0.00115800936063059 0 0 0 0 0 0 0 0.00402165860077069 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cxcl12" 0 0.00115474373516316 0 0 0 0 0.00367438744373611 0.00129663054851378 0.00137982727773468 0 0 0 0 0 0 0 0 0 0 0 0 0.00132478426710201 0 0 0 0 0 0 0 0 0 0 0.00436968484743069 0 0 0 0 0 0.00206926318512956 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tgfb3" 0 0.00150208674165617 0 0 0 0 0.00225560517487711 0.00176034775050419 0.00164521209644254 0 0.00119651681476674 0.00152638043216141 0.00219667614821806 0 0 0 0 0.00446920500700439 0 0 0 0.00123735984768195 0 0 0 0 0.00175023400618673 0 0.00136146995552084 0 0 0.0012831778123221 0.00167113764313001 0 0.00131962936212562 0 0 0.00144443019006582 0 0 0 0.00117878296305067 0 0 0 0 0 0 0 0 0 0.00118478236460234 0 0.0011248965266994 0.00129768395342453
"Fgf1" 0 0.00123010993724198 0 0 0 0 0.00172438615322352 0.00137612788392824 0.00146725544984714 0 0 0.00117304364984508 0.00405193709315663 0 0 0 0 0.0011457713304802 0 0 0 0.001193556247153 0 0 0 0 0.00127530882134781 0 0.00116920393796588 0 0 0.00112075831308228 0.00120151186737656 0 0 0 0.00209526142255898 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ccl3" 0 0.00155172363779315 0 0 0 0.00129864865293094 0.00192291733928511 0.00188815055794154 0.00162412699289002 0 0.00112159362110044 0.00178190351622777 0 0 0 0.00125878514017059 0 0.00134693450082057 0 0 0 0.00148227117978289 0 0 0 0 0.00120856498533054 0 0.00119919648041079 0.00142150208936213 0.00247230219087986 0.00151717621736575 0.00147309010958625 0.00140900465242734 0.0014373418705613 0.00264942682749288 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00123433313186808 0 0.00119542246332688 0.00118623360565103 0 0
"Csf1" 0 0.00141663551805533 0 0 0 0 0.00185297013945852 0.00165123073323341 0.00144038892532413 0.00230757315500023 0 0.00132894521494624 0 0 0 0.0043400854220546 0 0.00129742882723872 0 0 0 0.00135318498507661 0.00476711552751169 0.00206987233832151 0.00214939784101277 0.00229921525232859 0.0013886434390617 0.00299846426066718 0.0012645580677478 0 0 0.00119800010429064 0.00121991114060479 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tgfb1" 0.00240944311129614 0.00173682634583187 0 0 0 0.00479029368772346 0.00548303347996596 0.00315856619923651 0.00188015714086075 0.00566017293649168 0.00116238746588276 0.00161445740760965 0.00220228850676684 0.00229989090525026 0.0044648967027366 0.00460091968010032 0.00436841205840133 0.00583983968729012 0.00517498374436326 0.00454188789266344 0.00486630691774955 0.00567161006627657 0 0 0 0 0.00175756524965042 0.00319786447902971 0.00163917850063023 0.00135054142200582 0 0.00149136829657546 0.00163255409989271 0 0.00141667766262817 0.00128265712319287 0.0023615275634379 0.00139538051011674 0 0.00112468361843517 0.00256027946222481 0.00129140126221758 0 0.00263187633558216 0 0 0.00120073449129398 0 0 0.001313046198603 0 0.00127794308772683 0.00141422925106265 0.00129856983142335 0.00269973509569178
"Apoe" 0.00548961383709839 0.00114519812139028 0.00565009664284423 0.00517445847791113 0.00490866589710499 0.00444646867754721 0.00160734617280627 0.00132063824668414 0.00128461570807211 0.00398311039481062 0.004483359461739 0 0.00392423267835548 0.00420291883098396 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
