"Actb" "Anln" "Birc5" "Ccnb2" "Cenpe" "Cenpf" "Lmna" "Mcm7" "Mki67" "Prc1" "Racgap1" "Top2a" "Tpx2" "Tyms" "Fn1" "Pfn1" "Serpine1" "Tnc" "Tubb5" "Eln" "Vasp" "Gnas" "Ldha" "Nme1" "Rps2" "Fabp4" "Loxl2" "Vim" "Tm4sf1" "Gap43" "Sept10" "Tmem176b" "Cda" "Col4a2" "Col18a1" "Arpc2" "Eef1a1" "Srsf2" "Cdh5" "Txn1"
"Igf1" 0.00153799856436559 0 0.00748036678191833 0 0.0045075249761673 0 0.00155503869696097 0.00124746083262362 0.00440657855835713 0.00427446853013689 0 0 0 0 0.00145617974444521 0.00131934841312655 0.00461330400646004 0.000977466214819153 0.00141273719662633 0 0.00125469747305283 0.00116228085997985 0.00107459727549911 0.00108182488732461 0.000997403443057027 0 0.00525123409056269 0.00119294711815273 0.00119174666046206 0 0 0.00533784447808906 0 0.000989558015403507 0.00121313841863498 0 0.00441346747794287 0.000998047416567872 0 0.000972753523397737
"Yars" 0.00103185817592897 0 0 0 0 0 0.00118747027906698 0 0 0 0 0 0 0 0.00117306738261956 0 0.00130132172395418 0 0.00112218224299495 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Rps19" 0.00100367974280875 0 0 0 0 0 0.00109043188819073 0 0 0 0 0 0 0 0 0 0.00100410144491025 0 0.00098840584894302 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Aimp1" 0.000979952541562362 0 0 0 0 0 0.00112974921564656 0 0 0 0 0 0 0 0 0 0.00111150102224077 0 0.000994972561572203 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Slit2" 0.0016460158491638 0 0.0012131846357004 0 0 0 0.00157673521249684 0.00116372224881963 0 0 0.000989613945865547 0 0 0 0.00116480582635178 0.0015258116922713 0.00165966649690707 0 0.00137584865860485 0 0.00140659424353612 0.00118332638655727 0.00114444995465575 0.00150154843521387 0.00114864841216208 0 0 0.00106082984619768 0.0010411060243226 0 0 0 0 0.00105976724446584 0.00110655011265273 0 0.00118587312081492 0.00100974429491022 0.001204817192079 0
"Dll1" 0.00179543481333771 0.00118793343872671 0.00108555683693654 0 0 0 0.00197979146092562 0.00124746411194614 0 0 0 0.00111330804010392 0 0 0.00162161267721719 0.00130590349484466 0.0016836767215375 0.00114705043021766 0.00162313855129753 0.00100289041973947 0.00151129731560591 0.00159728530778475 0.00105984292157507 0.00113933411058159 0.00115097293757836 0 0 0.00146070062214552 0.00118575281207843 0.00107338958180742 0 0 0 0.00103264354280748 0.00118395736710442 0 0.00112849289832394 0.00107909559503252 0 0.00117233930324085
"Gmfb" 0.00146436565661762 0 0.00107497739917456 0 0 0 0.00157370325653899 0.00120626948509058 0 0 0 0 0 0 0.00130616209103307 0.00132626750936323 0.00166968055547085 0.000999534339465711 0.00142819368202294 0 0.00134438463674558 0.00122241312625556 0.000975465521161652 0.00100444221131406 0 0 0 0.00128875988543163 0.00119971916877171 0 0 0 0 0 0.00118815372716528 0 0.00109783391467758 0 0 0
"Grem1" 0.00115716355890302 0 0.00113021939200732 0 0 0 0.00134131772008792 0 0 0 0 0 0 0 0.00107665739697066 0.0012201237774388 0.00132459720552435 0.00436743662988051 0.00115446484457715 0.00111117550230422 0.0010073506322073 0.00104233964423967 0.000973999319485499 0 0.00102029793078208 0 0 0.00102667214213015 0.00107537688874246 0.00102551037770624 0 0 0 0 0.00103306095582951 0 0 0 0 0
"Sema3f" 0 0 0 0 0 0 0.00101466416856056 0 0 0 0 0 0 0 0 0 0.000978233645032431 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Rtn4" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00102847438417239 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00175774760434116 0 0 0 0
