"Ier3" "Junb" "Socs3" "Tle1" "Tnfrsf1a" "Maf" "Tspan3" "C3" "Cfb" "Sulf2" "Timp1" "Col1a1" "Col1a2" "Lox" "Ldha" "Hmgcs2" "Lgals1" "Fth1" "Tnfrsf12a" "Gjb5" "Plekhg3"
"Hgf" 0.00152173838182139 0.00267234133620998 0.00250252372810684 0.00105864079151109 0.00112516707921352 0.00118017435880941 0 0.0010619616902436 0 0.00106215896532725 0 0.00108112285435082 0.00421155205897465 0 0.0010717228319416 0 0.00212741736301797 0.00108689301118078 0.00108492938581448 0 0
"Vegfd" 0.00158322425384147 0.0013716705728421 0.0012461150561939 0.00112423386452162 0 0.00110726737888214 0 0.00111555429633279 0 0.00101405776493378 0 0 0 0 0 0 0 0 0.00101649874643038 0 0
"Spp1" 0.00153292593991244 0.00156926232615062 0.00112648257739227 0.00106390874379664 0.00113579762756704 0.00108697895439548 0 0.00104420664190464 0 0.00101600110757777 0.00377514477134519 0.00111379146622818 0.00421524682203956 0 0 0 0 0 0.00103031782855664 0 0.00109983509120385
"Timp1" 0.00132350471958295 0.00142050681389311 0.00116533277946888 0.0010181272934029 0.00101077392589637 0.00104346203674672 0 0 0 0 0 0.00103132068675187 0 0 0 0.00272830340947313 0 0.00104327500992538 0 0 0
"Manf" 0.00108260972569971 0.00126600857464039 0 0 0 0 0 0 0 0 0 0 0 0 0.00110041747062286 0 0 0 0 0 0
"Itgam" 0.00128710215959032 0.00137197435600231 0.00112798956222543 0 0.00101876574012982 0 0 0 0 0 0 0.00100558220336868 0 0 0 0 0 0 0 0 0
"Efnb1" 0 0.00104657810762986 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"C3" 0.00110182053095711 0.00110605580282985 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Vwf" 0.00120945062995606 0.0012019580532432 0.00107546893625698 0 0 0 0 0 0 0 0 0.00384617150905376 0 0 0 0 0 0 0 0 0
"Yars" 0.00144648496867395 0.0013383410557954 0.00103032214014789 0.0010227272736894 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tgfb1" 0.00188015714086075 0.00573523263611306 0.00567161006627657 0.00279977766415234 0.00140055611775063 0.00270010153798056 0 0.0013096329721325 0 0.00138479006136281 0.00514659632818426 0.00551568106052913 0.00782831487095467 0.00465483345413051 0.00116525920248271 0 0 0.001313046198603 0.00264835032139451 0.00104935002569878 0.00127964435406857
"Col4a1" 0.00118216257804888 0.00124070784102932 0.00108389834115251 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fn1" 0.00107644335611784 0.001130527698483 0 0 0 0 0 0 0 0 0.00355817317440741 0 0 0 0 0 0 0 0 0 0
"Grem1" 0.00123554124374932 0.00151684873313361 0.00110713033732007 0 0 0 0 0.00101871805396695 0 0.00112131511793249 0 0.00385613696912006 0 0 0 0 0 0 0.00102929047941682 0 0.00110243358318751
"Mmp9" 0.00133525797695098 0.00153535523983338 0.00119176949545885 0.0010061359212975 0.00107824706931961 0.00100269676988717 0 0.00105872192350149 0 0 0.00379242755032811 0.00111111005972621 0 0 0 0 0 0.00101936898664237 0.00113931068814894 0 0
"Serping1" 0.00108304563394432 0.00105189071443945 0 0 0 0 0 0.00100903321479348 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tfpi" 0.00139429377415847 0.00251556391303791 0.00141173910657566 0 0.00114099696107164 0.00117119086024109 0.00195311245494495 0 0 0 0.00103119778966337 0 0 0 0 0 0 0 0.00106865957997869 0 0
"Lgals3" 0.00116760726142911 0.00122068873169205 0.00207635953436987 0 0.0041169125117841 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
