"Col1a1" "Col4a1" "Eln" "Fbn1" "Fn1" "Itgb1" "Nme1" "Ptpn1" "Serpine2" "Socs3" "Actb" "Adamts2" "Ccnd2" "Tnc" "Ssbp4" "Lgals1" "Adamts4" "Bgn" "Sdc4" "Fkbp5" "Col18a1" "Wnt5a" "Mmp14" "Calm1" "Ncl"
"Fgf7" 0 0 0.00228038570568765 0 0.00105609512220478 0 0 0 0 0.00112568485193921 0.00109533849537324 0 0.0012159483525626 0 0 0 0 0 0.000962270108026185 0.00101659273803326 0 0.000991111823366614 0 0 0
"Col4a1" 0 0 0 0 0.00106112244878979 0 0 0 0 0.00108389834115251 0.00115017429167651 0 0.00100228139044072 0 0 0 0 0 0.000978527801336727 0 0 0.00108600845778855 0 0 0
"Col1a1" 0.00121792438641781 0 0.00106423227277598 0 0.00126103812414002 0.00114204937378028 0.000956240991610576 0.00102026750251162 0 0.00126670990784842 0.00150260770807709 0 0.00132058208626764 0.00106672277741401 0.00120938965230147 0 0 0 0.00156369744464397 0.00114071815932327 0.00131242326317063 0.00124503196585239 0 0.00124529279028093 0
"Adam9" 0 0 0 0 0 0 0 0 0 0 0.00104802276845768 0 0.00102257582441805 0 0 0 0 0 0 0 0 0 0 0 0
"Rps19" 0 0 0 0 0 0 0 0 0 0 0.00100367974280875 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fgf2" 0.00228653722799215 0 0 0 0.0014337325430763 0.00110613305658622 0.00100158127680193 0.00119157330221776 0 0.00148323621566164 0.0014694956705675 0 0.00261560597912654 0.00245508572184439 0.00118923648776653 0 0.00238793670167162 0.00244344294139355 0.00256339895730747 0.00132397506182081 0.00117025777011331 0.0013231883568271 0 0.00109276604038802 0.00101415718909593
"Dll4" 0.00151651609004675 0.00105158767963183 0.00120201100803563 0.000967532666085488 0.00269630698677478 0.00122949670665462 0.00136851061897578 0.001185202885672 0 0.00185753483398235 0.00185625641413516 0.00101916237890989 0.00153991429545007 0.00126860578117885 0.00147691135428896 0.00100004913495956 0.00109100719564123 0 0.00128214874985569 0.00164172896359844 0.0013602375603735 0.00155099947006798 0 0.0014195428258565 0.00124732263249002
"Timp1" 0.00103132068675187 0 0.00234889399957674 0.00219551364437295 0.00113296424283607 0 0 0 0 0.00116533277946888 0.0012025586558728 0 0.00123085114254304 0 0 0 0 0 0.000992970579191061 0.00105879971173012 0.000993348188805988 0.000940242961183814 0 0 0
"Tgfb3" 0.00123585671162163 0.00106760603302712 0.00107851761243098 0 0.00446920500700439 0.00111253882991598 0.00101439269387709 0.000952630019545051 0 0.00123735984768195 0.00171215492557961 0 0.00125994327621658 0.00642598074252033 0.000961635377823842 0 0 0 0.00102675192331498 0.00111162962357845 0.00129165322023693 0.00106973720481657 0 0.000949030138177374 0
"Hgf" 0.00108112285435082 0.00466413216211115 0 0 0.00133088127579871 0.00238400100279629 0.000985762724337727 0.00112170454431461 0 0.00250252372810684 0.00134835715116902 0 0.00139783762596345 0 0.00112546313346501 0.00212741736301797 0 0 0.00111002216639213 0.00120418944173977 0.00105058449015505 0.00112535949537798 0 0.000988717139207075 0.000967624168640631
"Tgfb2" 0.00576007370235692 0.00119178659875394 0.00116495667700662 0.00500298343691173 0.0048917055913293 0.00261203029811569 0.0010961864018516 0.00469626684766751 0 0.00158329931217404 0.00183006461202542 0.000967249470100783 0.00170565816448646 0.00273951091521325 0.00140197963751172 0 0.000987195688042187 0.00251060727027853 0.00134645886362412 0.001254124168963 0.00129190673912139 0.00152620327593227 0 0.0011306943910618 0.00104718535998983
"Pdgfb" 0.00417536407881862 0 0 0 0.00132765694970675 0.00099988218931576 0.000947951517647887 0.0011770573411103 0 0.00154618258854575 0.00134724812981761 0 0.00429672473558718 0.000946114509798046 0.00129761931749004 0 0 0 0.00124334405084519 0.00119584627273344 0.00109490141255649 0.00116520422477862 0 0.000976590736658269 0.000966141404724992
"Spp1" 0.00111379146622818 0 0.0049989028848838 0 0.00125375186388455 0 0.0010032274635009 0 0 0.00112648257739227 0.0014557991705183 0.00507234073704876 0.00132470875953889 0.00447159030759513 0.00096889493711283 0 0 0 0.00105767036245973 0.00109218444612814 0.00106892208637945 0.00100308298615172 0 0.000936659749939888 0.000961980471292517
"Tgfb1" 0.00551568106052913 0.00485394028475774 0.00698701226936435 0.00494533872999235 0.00583983968729012 0.00465805927993809 0.00433370091195563 0.00473014803619885 0.00452512600179892 0.00567161006627657 0.00296597953804268 0.000949918532034699 0.00157270359399169 0.00263948532009254 0.00133721104771876 0 0.00246276587944742 0.00255800440815857 0.00128919601651315 0.00144117895663344 0.00138206816395869 0.00271429613172701 0 0.00122107137240598 0.00112341413057039
