"Ahnak" "Anxa2" "Bax" "Bcl2l1" "Ccnd1" "Cd55" "Cdkn1a" "Clu" "Cox5a" "Ctnna1" "Epha2" "Gadd45b" "Gja1" "Hes1" "Hif1a" "Icam1" "Itgav" "Lmna" "Mcl1" "Msn" "Nme1" "Pdpn" "Psmc6" "Sparc" "Timp2" "Tnfrsf12a" "Trib1" "Ubc" "Vegfa" "Ager" "Calr" "Cdkn2b" "Col4a1" "Cryab" "Itgb1" "Itgb6" "Klf6" "Krt18" "Mdm2" "Pdgfa" "Tjp1" "Tpm4" "Vdac1" "Actb" "Capn2" "Clic1" "Gapdh" "Gsn" "Krt8" "Nfe2l2" "Pfn1" "S100a10" "Sema3b" "Ece1" "Myh9" "Ndst1" "Ceacam1" "Khdrbs1" "Lpp" "Timp3" "Aldoa" "Lama5" "Lcn2" "Slc3a2" "Abcc5" "Akr1b8" "Sqstm1" "Areg" "Eif5a" "Tgfb2" "Anxa7" "Pdia3" "Mif" "Atf4" "Crlf1" "F3" "Pa2g4" "Ptgr1" "Rac1" "Gramd2" "Il18r1" "Cd9" "Actr1a" "Rhoa" "Elob" "Cgn" "Crip2" "Fam174b" "Krt19" "Pard6b"
"Il18" 0.00218278867454435 0.00145534708779247 0.00171557057283393 0.00264908034970957 0.00247496982989966 0.0012823165909014 0.00261924139629381 0 0 0 0.00196574575923994 0.0064440537273039 0.0014948635472648 0.00212848515386467 0.00190599656623202 0.00638287737709559 0 0.00202076381596437 0.00221063594764083 0.00154015234289571 0.00115804792486674 0 0 0 0 0.00239321808936035 0.0020055839375478 0.00250880881513251 0.00511931767404228 0.00187508733897885 0.00164008326570185 0.00129994417832296 0 0 0.00127017936683893 0 0.00193962599180508 0.00125438382822179 0.00155690520299089 0.00113041159359262 0.00113434399351861 0.00155217953713415 0 0.00200876295210093 0.00149094967600823 0.00192702648279839 0.00183786614945843 0.00171858198830411 0.00147565927870689 0.0017346066833064 0.00187844877868848 0.0020561721860896 0.00145172969636755 0.00176301507532374 0.00204391554618003 0.0014214701560934 0 0.00129063570037142 0.0017618383003738 0.00119898184957414 0.00160283894048459 0.00137914318637491 0.00115619182562872 0.00148288762214931 0 0 0.0016867115330074 0 0.00171779273201322 0.00126324329453785 0 0 0.00138273405465922 0.00118590479592394 0 0.00168699296148946 0 0 0 0.00211954555013714 0.00362897345485876 0.00141815780642462 0 0 0 0 0.00130251122882121 0.00130433058748367 0.001331038243009 0.00157277175855419
"Hbegf" 0.00127227455205067 0 0.00369077923673185 0.00418890746463193 0.00177694186991293 0 0.00189441420720381 0 0 0 0.00132573586962643 0.00136802792326024 0 0.00134720009877872 0 0.00139941167804101 0 0.00133157129618624 0.00123561062762319 0 0 0 0 0 0 0 0.00128697811236744 0.00149707275928332 0.0014459434880895 0 0 0 0 0 0 0 0.00117404174833167 0 0.00116144189648196 0 0 0 0 0.00120974304173577 0 0.00117347248888774 0.00123157553889115 0.00118077092972535 0 0.00124097357459499 0 0 0 0 0.00113111695695788 0 0 0 0.0011627713052312 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Apoe" 0.00117514479892138 0 0 0.00119964428691536 0.00147857872071867 0 0.00160734617280627 0 0 0 0.00117551792616752 0.00132063824668414 0 0.00130569341953242 0 0.00362141283380819 0 0.00122962815617496 0 0 0 0 0 0 0.00420291883098396 0 0.00124332461196257 0.00140505674577875 0.0034770256159516 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00113253390509091 0 0 0 0 0 0.00415632604316999 0 0 0 0 0 0 0 0 0 0 0 0 0.00403771682999996 0 0 0 0 0 0 0 0 0 0 0.00408947682338347 0.00523227827316777 0.00451778443203498 0.00403234290300405 0.00450300236385309 0.00376902228924274 0 0 0 0 0 0 0 0 0 0 0
"Bmp4" 0.00173315920849301 0.0014074570290259 0.00234737228060848 0.00178526142813771 0.00282542400280105 0.00117133200681209 0.00314605775773029 0 0 0 0.00184688004584551 0.00186529003957793 0 0.0021004724935881 0.00140652004539028 0.00243894759633319 0 0.00177412858886404 0.00151668336528451 0 0.00118394744879641 0 0 0 0 0.00138586600501744 0.00179741678915902 0.0020652136076413 0.00472910161072179 0.00116320068753799 0.00116498147605836 0.0012620858228424 0 0 0.00118552071791863 0 0.00162751326261747 0.0012072291860015 0.00146112579798381 0 0 0.00133449626877576 0 0.00167989700560281 0.0013671271257611 0.0015725296573374 0.00151062941428825 0.00172189897468093 0.00159833342380597 0.00172982461287079 0.00143300676592414 0.00150016099256784 0.00152186586553008 0.00136968068366645 0.00152267215616941 0.00129193778353993 0 0 0.0013870859671245 0 0.00136989997605083 0.0014082331578757 0 0.00145646218814625 0 0 0.00139236578542934 0 0.00137353806930131 0.00129035136807453 0 0 0.00227305887703119 0.00120594082149156 0 0.00122691940798283 0 0 0 0 0 0.00132199584783824 0 0 0 0 0 0 0.00127412271473964 0.00134118657998104
"Ptn" 0.00127950875998847 0 0 0.00127376317117107 0.0015045898262719 0 0.00163487554056585 0 0 0 0.00136570707698298 0.00125023270583947 0 0.00139198755471021 0 0 0 0.00128392274285511 0.0012214944052371 0 0 0 0 0 0 0 0.00124453567887991 0.0014552067594616 0.00123747500056378 0 0 0 0 0 0 0 0 0 0.0011672022689153 0 0 0 0 0.00124352365710479 0 0.00119472658913639 0 0.0012332240002705 0.00119346017203676 0.00117759281204215 0 0 0 0 0.00113507809141425 0 0 0 0 0 0 0 0 0.00113482948727841 0 0 0 0 0 0 0.0042055671925311 0.00415674791277312 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Vwf" 0.00119117084597668 0 0 0.00124821336689882 0.00232862154106789 0 0.001610812123258 0 0 0 0.00119685550464721 0.00125203759588526 0 0.00125285774288591 0 0.00212062193515749 0 0.00118598312903859 0 0 0 0 0 0 0 0 0 0.00129879595563868 0.00134189452033706 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00421558763554107 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Selplg" 0 0 0 0 0.00134087819926218 0 0.00133041601505317 0 0 0 0.00119232713735019 0 0 0.00114948758136168 0 0.00115588863880911 0 0 0 0 0 0 0 0 0.00219002214911273 0 0 0.00114310328830128 0.0012110959742142 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Spp1" 0.00142865745316068 0 0 0.00152975499583158 0.00158408372530799 0 0.00187530116358333 0 0 0 0.00148326489364376 0.00160524095493544 0 0.00150610082904379 0 0.00227822254511026 0 0.00144213193410018 0.00124234795235528 0 0 0 0 0 0 0 0.00148951702929448 0.00172691978695937 0.00147826056897083 0 0 0 0 0 0 0 0.00142090059911517 0 0.0011997696364407 0 0 0 0 0.0014557991705183 0.00115176501272366 0.00129706631785776 0.00119273253630364 0.00127344370334437 0.00123512133345041 0.00131103162098423 0.00123120779421862 0.00116669066221783 0.00119806221350567 0.00114868632122857 0.00117497150695883 0 0 0 0 0 0 0.00115069493087207 0 0.00120773772879392 0 0 0 0.00478283586807755 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gmfb" 0.00143835242818774 0 0.00124997681365567 0.00172149290967417 0.00203720956877876 0 0.00209926887534938 0 0 0 0.00149109169595583 0.00164837402393786 0 0.00166390430084439 0.001152522595317 0.00150078933272534 0 0.00157370325653899 0.00130870317544449 0 0 0 0 0 0 0.00117495971312081 0.00159100233307114 0.00185067766698966 0.00168010448813103 0.00117697438447532 0 0 0 0 0 0 0.00145923598727684 0 0.00130925407845439 0 0 0 0 0.00146436565661762 0.00123376201769803 0.00142324624452076 0.0014149408589975 0.00131750893547808 0.00136471790140663 0.00139666558128999 0.00132626750936323 0.00127567154441732 0.00134421922176249 0.00121914287643188 0.00129952860585796 0.00116014863973206 0 0 0 0 0.00114994905029895 0.00122988117256969 0 0.00116535071754077 0 0 0.00144407965791444 0 0.00113750651935355 0 0 0 0 0.00117554102132977 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00114613574826375 0
"Hmgb1" 0.00229718206526458 0.00173035830256951 0.00186646190700926 0.00512539730752171 0.00254898592522533 0.00140982099701559 0.00297002690844441 0.00133133735129286 0 0.00118181852554972 0.00242489808804238 0.00232338205558798 0.00135162933996022 0.00259420704894233 0.00168565905199732 0.00562016913687305 0 0.00225278350968699 0.0018819694242949 0.00125881169821278 0.00160599741967842 0 0 0 0 0.00165626645284002 0.00230314534335554 0.00254914583597354 0.0022101560164988 0.00527474463608968 0.00152339571230258 0.00147933563200255 0.0013546673719414 0 0.00166158195638594 0.00131901620705546 0.00202406805984557 0.00143966385420201 0.0019654610599727 0.00119683176680502 0.00476117588263312 0.00161330661735278 0 0.00224754285905749 0.00188763939567353 0.00244227739533442 0.00211550342687762 0.00201262613336578 0.00178120930363061 0.00508734033406866 0.00202998881384803 0.00199634558984161 0.00185336076421747 0.00186248949257956 0.00199640735340816 0.00157388860100157 0.00129323620020363 0.00123770760690362 0.00171007362969349 0.00134699904293759 0.00177637757815007 0.00183897263318099 0 0.00174174737190009 0.0046707086827051 0.00524403507165371 0.00177618973241603 0 0.00169405898401047 0.00150320191209134 0 0 0.00119227536509825 0.00163102194593023 0.00123743888613234 0.00160030831006446 0.00158259086059161 0 0 0 0 0.00141747211541946 0.00134096387112529 0 0 0.00115081922197121 0.00155897901025566 0.0011451582504443 0.00138018005215136 0.00172483801674523
