"Acta2" "Basp1" "Ccnd1" "Cdkn1a" "Col1a1" "Col1a2" "Col3a1" "Col4a1" "Col5a1" "Eln" "Fbn1" "Fn1" "Grem1" "Igf1" "Lox" "Loxl2" "Lpl" "Nme1" "Pdgfa" "Pdgfrb" "Postn" "Serpine1" "Serpine2" "Socs3" "Thbs1" "Thbs2" "Timp1" "Actb" "Cebpb" "Enc1" "Fbn2" "Myh9" "Ncam1" "Pfn1" "Runx1" "Sept9" "Spp1" "Tnc" "Tubb5" "Cd44" "Clic1" "Nrcam" "Adamts4" "Anxa2" "Bdnf" "Bgn" "Fmod" "Ptn" "Sdc1" "Sparc" "Col8a1" "Il13ra1" "Inhba" "Mmp14" "Fst" "Ranbp1" "Angptl4" "Fhl2" "Tpm1" "Eno1" "Tm4sf1" "Sfrp1" "Tnfrsf12a" "Lgals1" "Hbegf" "Adamts12" "Dkk2" "Pkm" "Rcan1" "Calm1" "Slc20a1"
"Pcdh1" 0 0 0.00153756139085828 0.00171059303509075 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00146443774054937 0 0 0 0 0 0.00130990616096732 0.00125475224821319 0 0 0 0 0 0.00117635266729357 0.00119712505988381 0 0.00107349084818532 0.00113651063837519 0.0010685380836137 0.0011633258894132 0 0 0 0.0011584582943162 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00120911185686436 0.0011140695316235 0.00108977746843222 0 0 0 0 0 0 0 0
"Gmfb" 0 0 0.00203720956877876 0.00209926887534938 0.00114054163702413 0 0 0 0 0 0 0.00130616209103307 0 0 0 0 0 0 0 0 0 0.00166968055547085 0 0.00131696037980448 0.0011375497307543 0 0 0.00146436565661762 0.00158981289595062 0.00117271966596214 0 0.00129952860585796 0 0.00132626750936323 0.00140041659020334 0.00145263552012441 0 0 0.00142819368202294 0.00114788365570801 0.00142324624452076 0 0 0.00112038644403343 0.00244818857042427 0 0 0 0.00106031660952218 0 0 0 0 0 0 0.00124056005856439 0.00107793570719328 0.00116579365831028 0.00121468668190827 0.00118274633882868 0.00119971916877171 0 0.00117495971312081 0 0 0 0 0 0 0 0.00106043679334676
"Copa" 0 0 0.00113718058342662 0.00119846050664446 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Yars" 0 0 0.00139265318762368 0.00169190123587818 0 0 0 0 0 0 0 0.00117306738261956 0 0 0 0 0 0 0 0 0 0.00130132172395418 0 0 0 0 0 0 0.00120217123136523 0 0 0 0 0 0.00116021126250794 0.00111767945265177 0 0 0.00112218224299495 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0011733813897788 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fn1" 0 0 0.00113878306186211 0.0014180315088664 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00355817317440741 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Vwf" 0.00376622506227698 0 0.00232862154106789 0.001610812123258 0.00384617150905376 0 0 0 0 0 0 0.00109901751747858 0 0 0 0 0 0 0 0 0 0.00128357640960157 0 0.00107546893625698 0 0 0 0 0.00115477784410669 0 0 0 0 0 0.00107191850919342 0 0 0 0 0 0.00106712646970571 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Itgb7" 0 0 0.00137562694571343 0.00149768513569796 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00109496086558617 0 0 0 0 0 0 0.00112191917558958 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Timp1" 0 0 0.0015123310283143 0.00176512062962605 0 0 0 0 0 0.00234889399957674 0.00219551364437295 0.00113296424283607 0 0 0 0 0 0 0 0 0 0.00141850176658058 0 0.00116533277946888 0.00106549809592081 0 0 0.0012025586558728 0.00146513380124183 0.00109185472556001 0 0.00116541313176359 0 0.00118860312839794 0.00116265672285394 0.00121392884924285 0 0 0.00115012204897536 0.00212927986684748 0.00123890036130094 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00107514851845182 0.00117778484898954 0.00139750291473094 0 0 0 0 0 0 0 0 0 0 0 0 0
"Itgb1" 0 0 0.00141891009476632 0.0023583641063619 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00107956227691662 0 0 0 0 0 0 0.00412477620277136 0 0 0 0 0 0 0 0 0 0 0 0.00106593535012395 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cxcl12" 0 0 0.00156572415511307 0.00367438744373611 0 0 0 0 0 0 0 0.00109018369767211 0 0 0 0 0 0 0 0 0 0.00239768186755723 0 0.00132478426710201 0 0 0 0 0.00411863755831926 0 0 0 0 0 0 0.0011601522073437 0 0 0.00106062466917011 0.00208044118254743 0.00107192451816511 0 0 0 0 0 0 0 0 0 0 0 0 0.00206926318512956 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bmp4" 0.00413856235093631 0 0.00282542400280105 0.00314605775773029 0.00121880167980661 0 0 0.00106492606322081 0.00107152754032733 0 0 0.00163746098150271 0.00690799655342899 0.00107114566288954 0 0 0.00116472789278228 0.00118394744879641 0 0 0 0.00195808310737064 0 0.00155748341012834 0.00126015879274672 0.00106091988451866 0 0.00167989700560281 0.00174087172220654 0.00134691948039916 0 0.00152267215616941 0.00125584733437903 0.00143300676592414 0.00168063057167453 0.00165073318849144 0 0.00116055854158314 0.00153711971467272 0.00128934031669421 0.0015725296573374 0 0 0.0014074570290259 0.00135094717175081 0 0 0 0.00122099266834853 0 0 0 0 0 0.00265253295966565 0.00146312650638173 0.00132389165359035 0.00134398007251094 0.00132923683457015 0.0014070999242616 0.00135069267171423 0.00125729377508016 0.00138586600501744 0 0 0 0 0.00124834876585614 0.00112203683314072 0.00124067792067049 0.00121405356346846
"Col4a1" 0 0 0.00131106101658828 0.00152308824586791 0 0 0 0 0 0 0 0.00106112244878979 0 0 0 0 0 0 0 0 0 0.00130493534145339 0 0.00108389834115251 0 0 0 0.00115017429167651 0.00111465056937979 0 0 0.00106085628965234 0 0 0.00122304405896842 0.0011243936873812 0 0 0 0 0 0 0 0.00108578841577469 0.0011268119656175 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Il1b" 0.00111144969690318 0 0.00296737219284813 0.00457889077460727 0.00432704969277202 0 0.00516287095521492 0 0 0.00695102019209374 0 0.00471508674511481 0.00519723694642411 0.00254724050239757 0 0 0.00124120563646759 0.00122259439481428 0.00441637455365975 0.00119534012454829 0 0.00582539956101891 0 0.00585863121138335 0.00145961489039303 0 0.00519880978995069 0.00174793447157904 0.00196843198131674 0.0012349335627712 0 0.00163078371143697 0.00122128181692812 0.00161909072056996 0.00171200553725626 0.001727476436862 0 0.00251226830862568 0.00158594809031943 0.00263537070462579 0.00169915715100238 0 0.0062124402077904 0.00261117992049089 0.0015607313062352 0.00556725311719056 0.00289194386681772 0 0.00123527964298185 0.00250634830949764 0.00551197772515991 0.00476765015397886 0.00511984124811278 0.00488326992590717 0.00265653439259913 0.00152966298144826 0.00144785826508979 0.00130487109056176 0.00131942486981391 0.00149459820693863 0.00132277137278516 0.0012130914051612 0.00254872960636661 0 0 0 0 0.00122595836165268 0.00128859572181452 0.00252160299925607 0.00453946315252407
"Fgf1" 0 0 0.00165517880547517 0.00172438615322352 0 0 0 0 0 0 0 0.0011457713304802 0 0 0 0 0 0 0.00203974471976682 0 0.00528132530414328 0.00240747099328217 0 0.001193556247153 0 0 0.00185060820883847 0.00126282497199686 0.00131221561249758 0 0 0.00110625333023813 0 0.00106913997913822 0.00115716925079297 0.00122988507862243 0.00405193709315663 0 0.00116920393796588 0 0.00121390140459223 0 0 0 0 0 0 0 0 0.00224052357432998 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fgf2" 0 0 0.00486015034403085 0.00301269652847111 0.00228653722799215 0.00225688661748847 0 0 0 0 0 0.0014337325430763 0 0.00236694655946615 0 0 0 0 0 0.00264716044747125 0 0.00561307382358825 0 0.00148323621566164 0.00246573601933631 0 0.00209778431201249 0.0014694956705675 0.00148806949830896 0.00112076820154975 0 0.00139511301299673 0.0010707139286358 0.00128777347451712 0.00263200187505393 0.00148156016694361 0.00213698915373628 0.00245508572184439 0.00145246228974306 0.00538651594954828 0.00157609138082823 0 0.00238793670167162 0.00238775461227508 0.00431512024873889 0.00244344294139355 0.00272894063036896 0.00256750309028565 0.00244069056694097 0 0 0 0 0 0.00110562309399546 0.00139379096363892 0.00116999279610799 0.00121363891391711 0.00115986129379706 0.00128235102553557 0.00123748167171438 0 0.00123904410968292 0 0 0 0 0.00107908739915419 0 0.00109276604038802 0.00115448112014735
"Spp1" 0 0 0.00158408372530799 0.00187530116358333 0.00111379146622818 0.00421524682203956 0.00495879526473618 0 0 0.0049989028848838 0 0.00125375186388455 0 0 0 0 0 0 0 0 0 0.00152723633884689 0 0.00112648257739227 0.00424683178350971 0 0.00377514477134519 0.0014557991705183 0.00147532636381718 0 0 0.00117497150695883 0 0.00123120779421862 0.00130539850736186 0.00133409872616051 0 0.00447159030759513 0.00133668505344441 0.0022846384445117 0.00129706631785776 0.00464786109374564 0 0.00106488429002455 0 0 0 0 0 0 0 0 0 0 0 0.00118698658189753 0 0.0010670974696588 0 0.00110317312324098 0 0 0 0 0 0 0 0 0 0 0
"Tgfb3" 0.00407582238883859 0 0.00162587704303284 0.00225560517487711 0.00123585671162163 0 0 0.00106760603302712 0.00110408354303471 0.00107851761243098 0 0.00446920500700439 0 0 0 0 0 0 0 0 0 0.00474246844207253 0 0.00123735984768195 0.00107998525785206 0 0 0.00171215492557961 0.00137053562748028 0.00143547050355449 0.00510989383621923 0.00145915110208982 0.00226850657271411 0.0013860823839256 0.00166748513061938 0.00143225240943012 0.00219667614821806 0.00642598074252033 0.00136146995552084 0.00131286794977783 0.00124604185718866 0 0 0.00134456078833214 0 0 0 0 0 0 0 0 0 0 0.00119830485356036 0.00113954184911647 0.00111470524778343 0.00123565249535399 0.00117458558665939 0 0.00131305082479475 0.00125646845831403 0.00118897882277208 0 0 0 0 0.00117160013313915 0.00115794050756343 0 0.00119779235237445
"Tgfb1" 0.00418218125163802 0.0044648967027366 0.0049155449618628 0.00548303347996596 0.00551568106052913 0.00782831487095467 0.00527727585757168 0.00485394028475774 0.00518054605732199 0.00698701226936435 0.00494533872999235 0.00583983968729012 0.00512348508486343 0.00566017293649168 0.00465483345413051 0.00519585533520799 0.0044763744617301 0.00433370091195563 0.00585914002902647 0.00697116831620746 0.00556543482970622 0.00587025025317145 0.00452512600179892 0.00567161006627657 0.00592596870735485 0.00762564350377563 0.00514659632818426 0.00296597953804268 0.00180393230118736 0.0013511796561731 0 0.00159500839792795 0.00267931776254805 0.00149627334430383 0.00173961119513968 0.00168793008127137 0.00220228850676684 0.00263948532009254 0.00163917850063023 0.00256008438291661 0.00164313488636811 0 0.00246276587944742 0.00136584088336789 0.00136493675130811 0.00255800440815857 0.00295418857773751 0 0.00259061551054549 0.002517570023229 0.00280551947762687 0 0 0 0.00268892497131888 0.00144999892443804 0.00266262670309782 0.0013901789619148 0.00278480975554596 0.00137383199363539 0.00130791091179883 0.00121121991813088 0.00264835032139451 0 0 0 0 0.00119245953389744 0.00120977130048633 0.00122107137240598 0.00258090535684484
