"Aldoa" "Flot1" "Gapdh" "Ier3" "Krt8" "Lmna" "Plec" "Rbpj" "Tnfrsf1a" "Zfp36l1" "Lrp1" "Sdc4" "Tspan3" "C3" "Cfb" "Trim47" "Sparc" "Timp1" "Sp1" "Angptl4" "Fth1" "Ifitm3" "Xbp1" "Atxn1" "Nupr1" "Col1a2" "Col4a1" "Tagln2" "Pak1ip1" "Krt18" "Tmem150a" "Cux1"
"Plat" 0.00114630449516654 0.00117237942492051 0.00126865777935597 0.0013966920440855 0.00124319350968537 0.00152412435804464 0.0015019181035966 0.00117572714416182 0.00110128651993705 0.00143200939086754 0.00107816340890951 0.00110863817563496 0 0.00109244428784732 0 0.00112503375704495 0 0.00376305192776554 0.00113094820832301 0.00114226988083267 0.00114070386657751 0 0 0.00108930459698708 0 0 0 0.00119455385018028 0 0.00103026729298685 0 0.00107923250875502
"Ptprf" 0 0.00119500309381047 0.00115929385767465 0.00140569912016991 0.0010984490764779 0.00125201437082661 0.00130615769487962 0 0 0.00122969992002016 0.00115507528456913 0 0 0 0 0.00106141173379479 0 0 0.00105874375036548 0 0.00107370080597722 0 0 0 0 0 0 0 0 0 0 0
"Fn1" 0 0 0 0.00107644335611784 0 0.00110613448404403 0.00108895245115285 0 0 0 0 0 0 0 0 0 0 0.00355817317440741 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"C3" 0 0 0 0.00110182053095711 0 0.00105378824076884 0.00107905579682562 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Agrn" 0 0.00108997251800811 0 0.00102540542207035 0 0.00110911004669379 0.00113416199901514 0.00114176357189549 0 0 0 0 0 0 0 0 0 0 0 0 0.00103687026973473 0.00109976302704622 0 0 0 0 0 0 0 0 0 0
"Mmp9" 0 0.00123968510073616 0.00117644706106746 0.00133525797695098 0.0012980459797124 0.00148103936851367 0.00153664953912658 0.00113955261290694 0.00107824706931961 0.00138375201827341 0.00103447361887898 0.00109875582641823 0 0.00105872192350149 0 0.00111324437917382 0 0.00379242755032811 0.00113498998591465 0.00101757388396891 0.00101936898664237 0 0 0.00109535227806937 0 0 0 0.00106017316969769 0 0 0 0
"Selplg" 0 0 0 0.0011329053881389 0 0.00101332493638517 0.00110895110080859 0 0 0.00102657898753813 0 0 0 0 0 0 0 0.00200429353834147 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Nectin1" 0 0.00118377479603172 0 0.00142345166114901 0.00114331666493793 0.0010985251074817 0.00124515983427148 0 0 0.00116533126731736 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fgf1" 0 0.00113540887855102 0.00108596591128406 0.00146725544984714 0.00111551779827115 0.00127898498401072 0.00137394906585776 0.00104892751784741 0 0.00121975017759147 0.00105217914561662 0 0 0 0 0 0.00224052357432998 0.00185060820883847 0.00103012525682734 0 0.00101393896695288 0 0 0 0 0 0 0.00106187338909939 0 0 0 0
"Serping1" 0 0 0 0.00108304563394432 0 0.00106004222357495 0.00112391408298451 0 0 0.00103353678027419 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tfpi" 0.00107521294343772 0.00115473442218762 0.00110771881586214 0.00139429377415847 0.00119035248336909 0.00153777385587905 0.00142620267332917 0.00114924410467323 0.00114099696107164 0.00146457773781045 0.00120884446390687 0.00120645447726766 0.00195311245494495 0 0 0.00112884398489396 0 0.00103119778966337 0.00104366073217455 0 0 0 0 0 0 0 0 0.00107378583903382 0 0 0 0
"Lgals3" 0 0 0.00108404011885786 0.00116760726142911 0.0010414688565103 0.00118340757477034 0.00121093869591213 0 0.0041169125117841 0.00109479641163856 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
