"Actb" "Dusp6" "Epha2" "Fam129b" "Ier2" "Ier3" "Junb" "Lmna" "Pfn1" "Serpine1" "Socs3" "Synpo" "Tubb5" "Vwf" "Cd34" "Cd38" "Ier5" "Pdgfb" "Snn" "Anxa2" "Flot1" "Gadd45g" "Gnas" "Ntn1" "Tgfbr2" "Vim" "Klf10" "Sox17" "Tagln2" "Aldoa" "Ranbp1" "Tnfrsf1a" "Prdx2" "Sema7a" "Pim3" "Ldha" "Gabarap" "Sparc" "Ntrk2" "Actn1" "Emp1" "Flnb" "Ddah1" "Col4a2" "Ace" "Ackr3" "Adamts1" "Clu" "Adamts9" "Cxcl12" "Sbno2" "Pkm" "Rps2" "Pcbp1"
"Vegfd" 0.00122379582036767 0.00102418823131028 0.0013133845591336 0.00102986078105812 0.001194075135584 0.00158322425384147 0.0013716705728421 0.0013085977446279 0 0.00150030888017588 0.0012461150561939 0.00111905846123063 0.00103689483084106 0 0 0 0 0.00133314020793532 0 0.00102925656855587 0.00114761218649177 0 0 0 0.00107735135971933 0 0 0 0.00101548255936024 0.00110039059966099 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Itga4" 0 0 0 0 0 0 0.00101172685483554 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pros1" 0.00169455534887847 0.0013398236554109 0.00173150113609308 0.00131922532580451 0.00176511544018939 0.00173011415414281 0.00196200935733886 0.001703242632478 0.00145359468187998 0.00163270343520858 0.00151509269512285 0.00140606894323363 0.00154819401092723 0 0 0 0.00149164521883155 0.00124456767256538 0 0.00130113046119239 0.00145970538630242 0.00137789976442722 0.00112466640388764 0.00105782849151738 0.00138995686369621 0.00134853246228343 0.00102908904245491 0 0.00111358776457353 0.00121703993002482 0.00129646224456047 0.00134496383462436 0.00144475987215355 0.0010203600073794 0 0.00106271103996772 0.00124401952689133 0 0 0.00111142716145926 0.00104605228780314 0.00113860596028966 0.0011492428936456 0 0 0 0 0.00101219441347068 0 0 0.00124907473543955 0 0.0010283720574803 0.00114933767627248
"Wnt4" 0.00147917445796823 0.00123728276887381 0.00177005206632065 0.00134483388761679 0.00148610908280602 0.00174788098222967 0.00179844433730401 0.00177882722230449 0.00136607040711604 0.0016414663877789 0.00134921969987296 0.00123238668692183 0.00146524361597771 0 0 0 0.0014130623664571 0.00127906444716262 0 0.0013155093364863 0.00142311560227045 0.00113623881393065 0.00118969723007182 0.001027106590842 0.00119962435110357 0.00103848418698024 0.00103530770667484 0 0.00125443769965013 0 0.001315561220027 0.00129339955177817 0.00135907324228933 0 0.00144257471481377 0 0.00132738960321784 0 0 0 0 0.00107195423158736 0.00131407216611959 0 0 0 0 0 0 0 0 0.00114967055433244 0.00106832409401989 0.0011653138611775
"C3" 0 0 0.00102640505689363 0 0 0.00110182053095711 0.00110605580282985 0.00105378824076884 0 0.00111300782215802 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Yars" 0.00103185817592897 0 0.00140205527682894 0 0.00114624926431142 0.00144648496867395 0.0013383410557954 0.00118747027906698 0 0.00130132172395418 0.00103032214014789 0.00119188367094706 0.00112218224299495 0 0 0 0.00101200316502565 0 0 0 0.0012113256328791 0 0 0.00124746467164829 0.0010141089585502 0 0 0 0.00101458346670644 0 0 0 0.00103008221985721 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Efnb1" 0 0 0.00105852607093831 0 0 0 0.00104657810762986 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hspg2" 0.00116983347447202 0.0011053770338204 0.00123489168672293 0 0.00115704031238879 0.00124322014947712 0.00130467250691669 0.00117739123508836 0 0.00118680581375888 0.00109900392966455 0.00100913110098426 0.00101616444103493 0 0 0 0 0 0 0 0.00109577682059016 0.00104605892674857 0 0 0 0.00106998959192149 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00106136280391356 0.00102034567401766 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bdnf" 0.001433808953727 0.00118318051693701 0.00173527647161518 0.0013005799507451 0.00154462627294532 0.00166672939054489 0.00175320046627822 0.00164804253843356 0.00126105317220516 0.00279349973283571 0.00141329022257912 0.00151052837664753 0.00139900486658574 0 0 0 0.00123473730448715 0.00129705162848095 0 0.00117531036815031 0.0014414076832837 0.00114669727855052 0.00126483326807193 0.00104260428324312 0.00131108902484401 0.00123276935318677 0.00108601043254777 0 0.00127092337343157 0.00115469653591547 0.00118504898540563 0.00125011083073089 0.00122499399878641 0 0.00105613127405085 0 0.00112227985666291 0 0.00598031173618679 0 0.00108305474756924 0.00110245535165393 0.00115112828533245 0 0 0 0 0 0 0 0.00102859751845163 0.00108106110568923 0 0.00105803184717005
"Fgf1" 0.00126282497199686 0.00109495261025366 0.00141576775432903 0.00112075831308228 0.00117405906567441 0.00146725544984714 0.00137970310019102 0.00127898498401072 0.00106913997913822 0.00240747099328217 0.001193556247153 0.00118225078281073 0.00116920393796588 0 0 0 0.0010702346143253 0 0 0.00100980569051848 0.00113540887855102 0 0 0 0.00111838813338809 0.00102300369378541 0 0 0.00106187338909939 0 0.00104347468283822 0.00101269287208169 0.00102399037399137 0 0 0 0 0.00224052357432998 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
