"test_ligand"	"auroc"	"aupr"	"aupr_corrected"	"pearson"	"rank"	"expressed_in"	"upregulated_in"
"69"	"Mif"	0.535422975674445	0.349474760216099	0.048242446204232	0.0659063535463007	69	"Alveolum, Fibroblasts, MNP"	"Alveolum, MNP"
"70"	"Hgf"	0.529489539417691	0.346594010563771	0.0453616965519042	0.0655140858105269	70	"Fibroblasts"	""
"71"	"Efnb1"	0.525616056053678	0.349050109850109	0.0478177958382426	0.065221764604769	71	"Capillary_ECs, Vascular_ECs"	""
"72"	"Sema3f"	0.529254992775568	0.344262457520494	0.0430301435086274	0.0641201785820891	72	"Capillary_ECs, Lymphatic_ECs, Vascular_ECs"	""
"73"	"Col4a1"	0.526545335787661	0.347203230583147	0.0459709165712799	0.0640431215616445	73	"Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC, Vascular_ECs"	"Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Mesothelium, Vascular_ECs"
"74"	"Efna1"	0.520370920174969	0.346434430150902	0.0452021161390354	0.0637901969095157	74	"Alveolum, Lymphatic_ECs"	"Alveolum"
"75"	"Nectin3"	0.524604635512539	0.345443784791343	0.0442114707794765	0.0629998823503773	75	"Airway, Alveolum, Fibroblasts"	"Alveolum"
"76"	"Mdk"	0.524853037230568	0.344405602409517	0.0431732883976506	0.0627884849525432	76	"Fibroblasts"	""
"77"	"Cdh1"	0.523071175504226	0.342633228041202	0.0414009140293353	0.0625412588002787	77	"Airway, Alveolum"	""
"78"	"Nts"	0.520963224669952	0.347088374427395	0.0458560604155279	0.0625012875966957	78	"Lymphatic_ECs"	"Lymphatic_ECs"
"79"	"Nectin2"	0.522899471527819	0.346418850577345	0.0451865365654783	0.0621674205731296	79	"Airway, Alveolum, Lymphatic_ECs"	"Lymphatic_ECs"
"80"	"Ptprm"	0.529095659402649	0.341228752324165	0.0399964383122984	0.0616943591106449	80	"Capillary_ECs, Lymphatic_ECs, Vascular_ECs"	""
"81"	"Dsg2"	0.52184747540724	0.348216505231117	0.0469841912192498	0.0613126771839009	81	"Airway"	""
"82"	"F11r"	0.52185786671417	0.346176120252782	0.0449438062409157	0.0611590376066988	82	"Airway, Alveolum, Capillary_ECs, Lymphatic_ECs, MNP, Mesothelium, Vascular_ECs"	"Alveolum"
"83"	"Sema3b"	0.521935554104071	0.346198049409006	0.0449657353971389	0.0609393368312558	83	"Alveolum"	"Alveolum"
"84"	"F7"	0.521115135680779	0.345840945214314	0.0446086312024471	0.0607568638491664	84	"MNP"	"MNP"
"85"	"Anxa1"	0.523549670447123	0.34687436798042	0.0456420539685535	0.0605557297181133	85	"Airway, Alveolum, Fibroblasts, Granulocytes, Lymphatic_ECs, MNP, Mesothelium, Pericytes, SMC"	"Airway, Alveolum, Fibroblasts, Lymphatic_ECs"
"86"	"Pkd1"	0.525585376957029	0.34481931790059	0.0435870038887228	0.0604161452487293	86	"Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC, Vascular_ECs"	"Lymphatic_ECs"
"87"	"Wnt4"	0.51605803297508	0.342631129080498	0.0413988150686311	0.0603705476738105	87	"Airway"	""
"88"	"Adam15"	0.522634245789046	0.340061635238261	0.0388293212263948	0.0601438141875461	88	"Capillary_ECs, Vascular_ECs"	"Capillary_ECs"
"89"	"Rps19"	0.523318092749836	0.347790620532317	0.0465583065204501	0.0600467975495603	89	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Granulocytes, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	"Capillary_ECs, Lymphatic_ECs, Vascular_ECs"
"90"	"Nampt"	0.523612018288701	0.343253910487412	0.0420215964755454	0.0600424060333148	90	"MNP, SMC"	"MNP"
"91"	"Copa"	0.522781703382618	0.345399071974007	0.04416675796214	0.0599750105568371	91	"Airway, Alveolum, Fibroblasts, Lymphatic_ECs, MNP, Pericytes, Vascular_ECs"	"Alveolum"
"92"	"Lamb1"	0.522804465293035	0.345042682812024	0.0438103688001576	0.0596941503247313	92	"Airway, Fibroblasts, Lymphatic_ECs, Pericytes"	"Lymphatic_ECs"
"93"	"Pcdh7"	0.521958316014488	0.34456002682258	0.043327712810713	0.0593306356261143	93	"Fibroblasts, Mesothelium, SMC"	"Fibroblasts"
"94"	"Robo2"	0.525201888248915	0.340853583292209	0.0396212692803425	0.0584383900969479	94	"Fibroblasts"	""
"95"	"Wnt5a"	0.52211517526671	0.343850071300037	0.0426177572881703	0.0584354493238242	95	"Fibroblasts"	""
"96"	"Ncam1"	0.518997288363715	0.346465156648514	0.0452328426366472	0.0573624526381386	96	"Fibroblasts, SMC"	"Fibroblasts"
"97"	"Lamb2"	0.518204580092235	0.346482222101707	0.0452499080898403	0.0571365650802824	97	"Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC, Vascular_ECs"	""
"98"	"Pcdh1"	0.519638580448508	0.344170537699912	0.0429382236880456	0.0570062396502339	98	"Capillary_ECs, Vascular_ECs"	""
"99"	"Manf"	0.526175702155453	0.335851588145274	0.0346192741334076	0.0565087540471578	99	"Airway, Alveolum, Fibroblasts, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	"Airway, Alveolum, Lymphatic_ECs"
"100"	"H2-T23"	0.5208172515488	0.342109688574916	0.0408773745630495	0.0564106049485605	100	"Capillary_ECs, Granulocytes, Lymphocytes, MNP, Vascular_ECs"	""
"101"	"Agrn"	0.527066880430696	0.338404011449174	0.037171697437307	0.0563198788112974	101	"Alveolum, Lymphatic_ECs, SMC, Vascular_ECs"	"Alveolum"
"102"	"Areg"	0.522142885418522	0.3405501073335	0.0393177933216333	0.0561122752873886	102	"Airway, Alveolum"	"Airway, Alveolum"
"103"	"Trf"	0.519972091918533	0.345284092543153	0.0440517785312866	0.0560470623146602	103	"Airway, Alveolum, Lymphatic_ECs, MNP, Mesothelium"	"Airway"
"104"	"Rtn4"	0.522347247788136	0.345909432010474	0.0446771179986073	0.0559758562145597	104	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Granulocytes, Lymphatic_ECs, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	"Alveolum"
"105"	"Pvr"	0.517236704075372	0.344027032424854	0.0427947184129873	0.0558539101990678	105	"Capillary_ECs, Vascular_ECs"	"Capillary_ECs, Vascular_ECs"
"106"	"Mapt"	0.529424222631277	0.346731111304089	0.0454987972922223	0.0556607836524688	106	"Capillary_ECs, Pericytes"	""
"107"	"Adam9"	0.515950161312669	0.343322661997223	0.0420903479853559	0.0553115176795555	107	"Fibroblasts, MNP, Pericytes, Vascular_ECs"	"MNP, Vascular_ECs"
"108"	"Adam12"	0.517219880054628	0.343729828019348	0.042497514007481	0.0552794795185308	108	"Fibroblasts, Lymphatic_ECs"	"Fibroblasts, Lymphatic_ECs"
"109"	"Jag2"	0.522256200146468	0.340010852539388	0.0387785385275213	0.0542347426134445	109	"Capillary_ECs, Vascular_ECs"	"Capillary_ECs, Vascular_ECs"
"110"	"Rspo1"	0.524590285612494	0.338400853253295	0.0371685392414283	0.0521419730918009	110	"Mesothelium"	""
"111"	"Tgfb2"	0.527144072996457	0.33732826456775	0.0360959505558831	0.0515096113290401	111	"Fibroblasts, Mesothelium, Pericytes, SMC"	""
"112"	"Plau"	0.523098390831898	0.329828543190877	0.0285962291790103	0.0506497243095962	112	"Lymphatic_ECs"	"Lymphatic_ECs"
