"Cbr3" "Cdkn1a" "Cirbp" "Elf3" "Epha2" "F3" "Gsto1" "Icam1" "Lcn2" "Srebf1" "Xbp1" "Bsg" "Flot1" "Gramd2" "Mcl1" "Muc1" "Synpo" "Trf" "Aqp4" "Cxadr" "Gapdh" "Pfn1" "Crybg3" "Gclc" "Cdk4" "P4hb" "Sdc1" "Anxa3" "Areg" "Gsr" "Abcc5" "Ager" "Akr1b8" "Ltf" "Capsl" "Eya2" "Gdpd2" "Zfp474" "Aqp5" "Aldoa" "Cd9" "C77080" "Lbp" "Clu" "Ldha" "Btg2" "Fth1" "Gpx1" "Tmem56" "Anxa1" "Hprt" "Osbpl5" "Tmem176b" "Ctsk" "Sdc2" "Hey1" "Prom1" "Gnas"
"Wnt5a" 0 0.00157387631446763 0 0.00117302865271576 0.00125936576289916 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00488738195361255 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Spp1" 0 0.00187530116358333 0.00139453074220996 0.00117075827913492 0.00148326489364376 0 0 0.00227822254511026 0 0 0 0 0.00133959162828033 0 0.00124234795235528 0 0.00118109736860657 0 0 0 0.00119273253630364 0.00123120779421862 0 0 0 0 0 0 0.00478283586807755 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Cxcl12" 0 0.00367438744373611 0 0 0.00119565846547445 0 0 0.00122619544728706 0 0 0 0 0 0 0 0.00119719415704238 0.00119450752342193 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tgfb2" 0 0.00242732066735023 0.00166932691121134 0.0014590997418729 0.00175504161094173 0.00141549206225053 0 0.00281671073832035 0 0.00147712845951084 0 0 0.00172826100479266 0 0.00161785063690861 0.00140520859584373 0.00163787760678518 0 0 0.00121258698942813 0.00142447777506072 0.00160496966216414 0 0 0.00123327751897711 0.00210587522167556 0 0 0 0.00455310242661243 0 0.00153592951449035 0 0 0.00620146546746957 0.00543953524049447 0.00591810918882198 0.00631904006824291 0 0.00140650589996203 0.00130784066780982 0 0.0012766580925056 0.00117019040478507 0.00117231517273391 0.00154623531331102 0.00144094797029008 0 0 0.00121349321674889 0 0 0 0 0 0.00248663495074127 0 0.00116652860960587
"Adam17" 0 0.00206911530949821 0.00148723392432611 0.00142255426229398 0.00150218821176013 0 0 0.00152664699934757 0 0 0 0 0.00137746827114527 0 0.00139312205183961 0.00258179189905994 0.00139699201939423 0 0 0 0.00127317639260921 0.0013662293519631 0 0 0 0 0 0 0 0 0 0 0 0.00259341144660778 0 0 0 0 0 0 0 0 0 0 0 0.00124032981018802 0 0 0 0 0 0 0 0 0 0 0 0.00117360891094602
"Hmgb1" 0 0.00297002690844441 0.00209947957000782 0.00192954454991842 0.00242489808804238 0.00160030831006446 0 0.00562016913687305 0 0.00167142730554444 0 0.00122013322635832 0.00208214105952824 0 0.0018819694242949 0.00182282846358807 0.00174852904090139 0.00129538079724044 0 0.0013393931720182 0.00211550342687762 0.00202998881384803 0 0.00164321951592603 0.00144936663862757 0 0.00168926760704688 0.00126096806440868 0 0.00120637139394434 0.0046707086827051 0.00527474463608968 0.00524403507165371 0 0 0.00149743050121773 0 0 0 0.00177637757815007 0.00141747211541946 0.00157347986838987 0.00144643939278668 0.00133133735129286 0.00134937039522869 0.00175901855350785 0.00161534775738233 0.00142887299203815 0 0.00140761513974262 0 0 0 0 0 0 0 0.00170276955605402
"Itgam" 0 0.00166340261824615 0 0 0.00127118773598424 0 0 0.00124723211845029 0 0 0 0 0 0 0 0 0.00121011541602748 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hgf" 0 0.00199003703539692 0.00129536387343351 0.00122637945337461 0.00154025643471059 0 0 0.00239676903278776 0 0 0 0 0.00130354576450227 0 0.00254599209435178 0.0012877413780898 0.00130070209824309 0 0 0 0.00138680289994871 0.00122693967190418 0 0.00241512356439931 0 0 0 0.00434826926707262 0.00252707471115603 0.00222833940292676 0 0 0 0 0 0 0 0 0 0.0012275773965861 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fgf2" 0 0.00301269652847111 0.0013818648305725 0.00137348816288632 0.00158488236944593 0 0 0.00248838117738215 0 0.00120475871725796 0 0 0.00140039492187465 0 0.00146154995099624 0.00140119870929737 0.0014643995320808 0.00248539730008674 0 0 0.00271055838891752 0.00128777347451712 0 0 0.0052417072095753 0.00201522497073303 0.00244069056694097 0 0 0 0 0.00120373918694814 0 0 0 0 0 0 0 0.00123526067489422 0 0 0 0 0 0.00121399052777393 0.00123130163907247 0 0 0 0 0 0 0 0 0 0 0
"Mmp9" 0 0.00177374486570155 0.00136204455984733 0.00120009186164615 0.00147147323090061 0 0 0.00117875673257323 0 0 0 0 0.00123968510073616 0 0.0042324033320783 0 0.00120711844938187 0 0 0 0.00117644706106746 0.00123962414145568 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fgf7" 0 0.00162696765585824 0 0 0.00117927515609857 0 0 0.00121223776378296 0 0.00516307885993885 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Nrtn" 0 0.00158842719286165 0 0 0.00126371664480382 0 0 0.00118096003064418 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Igf1" 0 0.0051766757167995 0.00145892548672386 0.00137272638985583 0.00158693845137238 0.00117440260852438 0 0.00235467193455899 0 0.00563209844236903 0.00420875752993359 0 0.0013830875334433 0 0.00133883235694241 0.0012291024707788 0.00132429090100908 0.00515341764086063 0 0.00447810852855616 0.00142385767763031 0.00131934841312655 0.00783493150899521 0.00448932606337847 0 0 0 0 0 0 0 0 0 0 0 0.00542567908602056 0 0 0 0.0012821579606429 0 0 0 0 0 0.00124706479108586 0 0 0 0.0050443347115709 0 0 0.00533784447808906 0 0 0 0 0
"Edn1" 0 0.00188972934016114 0 0.00118514565698407 0.00134148941713181 0 0 0.00229219060221284 0 0 0 0 0 0 0.00117905478120428 0 0.00122600200152277 0 0.00713866059941827 0.00429997558129845 0.00126633164836397 0.00120159539202971 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Il18" 0 0.00261924139629381 0.00168818934077886 0.00224472458833232 0.00196574575923994 0.00168699296148946 0 0.00638287737709559 0 0.00166367867506059 0.001172088135576 0.00435834499020918 0.00203712249702161 0.00211954555013714 0.00221063594764083 0.00219650554051816 0.00257245049960586 0.00260962355080773 0 0.00119506984423473 0.00183786614945843 0.00187844877868848 0 0.00163119140726268 0.00133645232971608 0 0.00132402343911044 0.00118104740434526 0 0.00124829363245109 0 0.00187508733897885 0 0 0 0 0 0 0 0.00160283894048459 0.00141815780642462 0.00162805983904815 0.00182423565213855 0 0 0.001618709886232 0.00197306727479522 0.00118239479437047 0 0.00140498851244316 0 0 0 0 0 0 0 0.00127368274954287
"Apoe" 0.00422249519559522 0.00160734617280627 0 0 0.00117551792616752 0.00451778443203498 0.00389719153625941 0.00362141283380819 0.00403771682999996 0.00408947478234445 0.00396342881260557 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
