"Actb" "Bhlhe40" "Ier3" "Jag2" "Sema7a" "Socs3" "Vim" "Card19" "Cavin3" "Col18a1" "Susd6" "Tcim" "Ccnd3" "Dusp1" "Eif5a" "Gapdh" "Pfn1" "Selp" "Aldoa" "Fam129b" "Fkbp5" "Tnfrsf1a" "Ier5" "Ntn1" "Trim47" "Vasp" "Anxa2" "Gadd45g" "Klf13" "Tgfbr2" "Cd34" "Kit" "Vegfc" "Ldha" "Rps2" "Hif1a" "Tagln2" "B4galt1" "Pim3" "Cd164" "Ltbr" "Pkm" "Il1r1" "Serpinb9" "Emp1" "Pcbp1" "St5"
"Itga4" 0 0 0.000987407534430331 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hspg2" 0.00116983347447202 0.00137597068690354 0.00124322014947712 0 0 0.00109900392966455 0.00106998959192149 0 0 0.000982167834995706 0 0 0.00102342177501746 0.00106077638424424 0 0.00103697127844957 0.000933892568175361 0 0 0.00100148430753062 0.000954667615591923 0 0.00097191072068736 0 0.000905836963056344 0.000964467184782326 0.00093359223201115 0.00104605892674857 0 0.000952784972844745 0 0 0 0 0 0.00091053820895753 0.000944913486726178 0 0 0 0 0.000973830363455549 0 0 0.00102034567401766 0 0
"Il1b" 0.00174793447157904 0.00203867131847956 0.00193742800508225 0.00091349350624289 0.00109253984950799 0.00585863121138335 0.00140556229643095 0 0 0.00140493659882632 0 0 0.00159917277814047 0.00188739807268301 0.0014349293522305 0.00162769845514528 0.00161909072056996 0.00255368933198285 0.00144601901035561 0.00151908690638467 0.00147210059049608 0.0028408585681371 0.00146733127762813 0.00122277554874208 0.00136860675650839 0.00156550817193479 0.00261117992049089 0.00152348202806054 0.00132260701504684 0.00482781127689751 0 0.000931219693683123 0.00650429901120388 0.00125830803449759 0.00112938496458181 0.00518861535750679 0.00135759262380025 0.00146743375583962 0.00126321088339768 0.00101583722350855 0.00121612212593192 0.00122595836165268 0.00694940989099363 0.0063523928756292 0.00111900767737437 0.00129885089812738 0.00122241907760394
"Rps19" 0.00100367974280875 0.00102367989052771 0.00105870505522464 0 0 0 0 0 0 0 0 0 0 0 0 0.00090740888216243 0 0 0 0.000920364956359387 0 0 0.000954105839617446 0 0.000907948435763161 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Il1rn" 0.00142414506818491 0.0016741537739437 0.00182630634617351 0 0 0.00154112690518722 0.00132334998866946 0 0 0.000949886691181122 0 0 0.00117984760690547 0.00156687162418983 0.00113707417792488 0.00117939336727249 0.00164624463949052 0 0.000969131089139157 0.00122634654688256 0.00147121974325394 0.00170077525032638 0.0013787304782195 0.00113457133284662 0.00126953301103643 0.00126090549892589 0.00118495064694029 0.00113370916560653 0.0011012235914886 0.00113831394716633 0 0.000909713130035592 0.00111350308095574 0.00100754047309543 0.00112331817473385 0.00130563674955787 0.00120573204417472 0.00124923307747795 0.00112856520303216 0 0.0010418313797102 0 0.00111294622128339 0 0 0.00104881433838806 0.000970635512394817
"Plxnb2" 0 0.000912628807058513 0.000954585277935469 0 0 0 0 0 0 0 0 0 0 0.000919826652591456 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Clec11a" 0.00123706477991163 0.00145567344382439 0.00147781930784152 0 0 0.00116241027846522 0.00106794581258685 0 0 0.00108525914207053 0 0 0.00102292402876864 0.00119810135342801 0.00116795973321501 0.00124054382036867 0.00135300265567966 0 0.00108830736977285 0.0011661939074185 0.00126815608354181 0.00103361343050889 0.00118147037383315 0.00106504281632917 0.0012763455516016 0.00118072025871411 0 0.000952361574599845 0 0.000937256244806519 0 0 0 0.00107805476991397 0.00105374748698206 0.00106967431570786 0.00105971126096457 0.00102578235156638 0.000906155248582152 0 0.000942696372529535 0 0 0 0 0.000995094521254158 0
"Itgb7" 0.00100823625689274 0.00111956870826202 0.00111638879194851 0 0 0.000924654603307252 0 0 0 0 0 0 0 0.000994798612226928 0 0 0 0 0 0.000920418138581388 0 0 0.00105132935200554 0 0.000916117428419834 0 0 0.000931779781856279 0 0.00108623383252812 0 0 0 0 0 0 0.000908151411878822 0 0 0 0 0 0 0 0 0 0
"Icam1" 0.00118513435505379 0.00129345089814636 0.00141859594051234 0 0 0.00120807737808542 0.00105634377404445 0 0 0 0 0 0.00103934012442807 0.00116102797854379 0.00102352819328454 0.00105518590961986 0.00121038777288525 0 0 0.00108321993521124 0.0010358136467394 0.000994214559060387 0.00109600325737871 0 0.00101332535012876 0.00100842390152386 0.000944296745217409 0.000996357294552037 0 0.000993829380250633 0 0 0 0 0 0.000960204856686694 0.000916108728016937 0.000993604386548263 0 0 0 0 0 0 0 0.00102350886413998 0
"Itgam" 0.00115234982413562 0.00131627315158071 0.00128710215959032 0 0 0.00112798956222543 0.00107999660187595 0 0 0 0 0 0.000987111030874856 0.00114632555088092 0.000927181637157721 0.00106662959338067 0.00105569737502626 0 0.000956810510215479 0.00112493920512581 0.00101583288835441 0.00101876574012982 0.00105046403627376 0 0.000997663693739401 0.00103944425349614 0.000927434730309721 0.00100430731014693 0 0.00104359627468903 0 0 0 0 0 0.000907530818519893 0.000970900777017894 0.000971709453367647 0 0 0 0 0 0 0 0 0
