"Ddit4" "Epha2" "Fam129b" "Fkbp5" "Ier2" "Ier3" "Ldha" "Lmna" "Rps2" "Serpine1" "Tubb5" "Aldoa" "Gnl3" "Klf10" "Bcl2l1" "Ablim1" "Ctnnb1" "Fas" "Fli1" "Flot1" "Nos3" "Ntn1" "Socs3" "Synpo" "Tagln2" "Ier5" "Vasp" "Cd34" "Cd38" "Pdgfb" "Snn" "Timp3" "Vegfc" "Tgfbr2" "Eef1a1" "Pkm" "Gadd45g" "Dusp6" "Tnfrsf1a" "Jag2" "Mafk" "Sema7a" "Pcbp1" "Anxa2" "Cxcl12" "Hif1a" "Mal" "Ntrk2" "Plaur" "Sox17" "Upp1" "Vwf" "Sparc" "Sparcl1" "Adam15" "Adamts1" "Emp1" "Col4a1"
"Nenf" 0 0.000929954494829208 0 0 0 0.000905373508468003 0 0.000905511112146815 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Itga4" 0.00094454277221798 0.000985923189085434 0 0 0 0.000987407534430331 0 0.000955221832747007 0 0.000972367212919405 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Dusp18" 0.0013415177122274 0.00145763195560894 0.00109250155861778 0.00102949045264347 0.00152242137544252 0.00160624002126808 0 0.00135759360487114 0.000950026260456814 0.00138480460269428 0.00112442306928093 0.00117987341067274 0.00101934729551141 0 0.0017100271428841 0.00103432645233739 0.00111622892327765 0.00132966941999058 0.00115517603272862 0.00131973444076525 0.00117063326365588 0 0.0013380680088355 0.00111087731962887 0.00099636056290712 0.00126666702298614 0.00122922874839264 0 0 0.00124444094785755 0 0 0 0.00115540147152484 0.000969334981621454 0.000935389529529863 0.00106997580095416 0.00108686251198182 0.00101200433015837 0 0.000924265162921707 0 0.00110777176352022 0.00103512003800386 0 0.00122080792418593 0 0 0 0 0 0 0 0 0 0 0 0
"Il1b" 0.00198793173317504 0.00187206197251635 0.00151908690638467 0.00147210059049608 0.00168409283124277 0.00193742800508225 0.00125830803449759 0.00185961464387552 0.00112938496458181 0.00582539956101891 0.00158594809031943 0.00144601901035561 0.000996292091328175 0.001280403841059 0.00574291384899857 0.00138599495325945 0.00535254945616374 0.00258825405817564 0.00153065030577391 0.00167759745533054 0.00310340599199174 0.00122277554874208 0.00585863121138335 0.0016238894128799 0.00135759262380025 0.00146733127762813 0.00156550817193479 0 0.000999133429601048 0.00150676698874385 0 0.00642038480425871 0.00650429901120388 0.00482781127689751 0.00130349768813734 0.00122595836165268 0.00152348202806054 0.00146855126881699 0.0028408585681371 0.00091349350624289 0.00123569441482193 0.00109253984950799 0.00129885089812738 0.00261117992049089 0.00473051781521624 0.00518861535750679 0 0 0.00102004735818039 0 0.000956340879395406 0.000963554808029678 0.00250634830949764 0 0.00498984755065295 0.00610819585501071 0.00111900767737437 0.000955354552276033
"Trf" 0.00144940946874807 0.00140492239089667 0.0012441649387228 0.001278907113207 0.00132804798835037 0.00153028712903923 0.00104451534945397 0.00150936697037243 0.000952184386883791 0.00155239816224433 0.00128055089710798 0.00121473854490868 0 0.00106488700975502 0.00148182989530103 0.00108839568585696 0.0011145452978771 0.000980009746113315 0.0011496611342795 0.00128357967373958 0.00134917630442088 0.00105937835544601 0.00118732573087166 0.00124912553627246 0.00122380914411356 0.0012265141725706 0.00125281425836679 0 0 0.00110712120502814 0 0 0 0.00118263728973649 0.00113651950972246 0.00101393142521181 0.00110775910678111 0.00119734107639188 0.00115099727155137 0 0.00102552911499732 0 0.00107263040395539 0.00113206805440037 0 0.00379232108141822 0 0 0 0 0 0 0 0 0 0 0.00105355869695867 0
"Igf1" 0.0028395028151749 0.00158693845137238 0.00125566994572014 0.00131762217363399 0.00145271030059026 0.00169908400695433 0.00107459727549911 0.00155503869696097 0.000997403443057027 0.00461330400646004 0.00141273719662633 0.0012821579606429 0 0.0011191071484932 0.00261760884223138 0.00115024799280441 0.00131773765326457 0.00109617296933589 0.00113521099695173 0.0013830875334433 0.00142361585626947 0.00111864924579912 0.00133940300151342 0.00132429090100908 0.00115418086721123 0.00121743009556164 0.00125469747305283 0 0 0.00127172472431874 0 0.000933627311777825 0.00246502725097955 0.00463305010200444 0.00441346747794287 0.000994984646446031 0.00124112894160645 0.00132755067004603 0.00121099207649208 0.00485457046979309 0.00110864233818253 0 0.00429905240014661 0.00117120110751367 0.000963783060790711 0.00503213568610677 0 0.00224134022859501 0.00221700531105268 0 0.00406692559201366 0.00537238923404355 0 0.00618964943592142 0.000941021546129593 0 0.000986582916454838 0
"Fgf1" 0.00142549440057687 0.00141576775432903 0.00112075831308228 0.00104485865072889 0.00117405906567441 0.00146725544984714 0 0.00127898498401072 0 0.00240747099328217 0.00116920393796588 0.00100498937628302 0 0 0.00143074188544829 0.00103310889300203 0.00104936503783929 0.000998834801891353 0.00103759860634921 0.00113540887855102 0.00120262870973659 0 0.001193556247153 0.00118225078281073 0.00106187338909939 0.0010702346143253 0.00108460354547928 0 0 0.000929134924869171 0 0 0 0.00111838813338809 0.000918883625024835 0 0.000960511404254664 0.00109495261025366 0.00101269287208169 0 0.000950889729115166 0 0.000951997346203683 0.00100980569051848 0 0.000973471576076741 0 0 0.00213267808733036 0 0 0 0.00224052357432998 0 0 0 0 0
"Ptprf" 0.00130075708066729 0.0013148531907902 0.00112010282211907 0.00113944885736706 0.00120224437976645 0.00140569912016991 0 0.00125201437082661 0.000910036044056982 0.00122533242559474 0.00111232546847081 0.000975448429615 0 0.000971069508737886 0.00130804193786653 0.000983779773087196 0.00102741222866503 0.000973342691797199 0.00094306571240567 0.00119500309381047 0.00107150177738133 0 0.00106147883327957 0.0011283799829617 0.000972972176070199 0.000975486330277919 0.000983139824935452 0 0 0.00107694256988255 0 0 0 0.00108470610483264 0.000976782418328564 0 0.000961794514337891 0.00100395668690283 0 0 0.001003452078039 0 0.00100039101604315 0.000948709081796685 0 0.00104683960479203 0 0 0 0 0 0 0 0 0 0 0 0
"Copa" 0 0.000908324666694299 0 0 0 0.000949178423003988 0 0.000916143079784097 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fgf2" 0.00171402362206595 0.00158488236944593 0.00129258483736188 0.00132397506182081 0.00147747778414523 0.00175304959895765 0.00110235189829532 0.00169109559965225 0.000989281511075052 0.00561307382358825 0.00145246228974306 0.00123526067489422 0 0.00108051758178908 0.00268257746042941 0.00120121931830251 0.00130585989494037 0.00125429501678053 0.00127412011136464 0.00140039492187465 0.00288342824117119 0.00104074384429448 0.00148323621566164 0.0014643995320808 0.00124360771361438 0.00134645097729705 0.00131994407984827 0 0 0.00126328034201917 0 0.000968667823336678 0.000929722686080069 0.00145358461488991 0.00113297713197124 0.00107908739915419 0.00123140884550477 0.00132063105351558 0.0012808240111231 0 0.00112074677643005 0 0.0010768416409514 0.00238775461227508 0.00241942277429492 0.00495312976158389 0.00533752414006096 0.00439570412645583 0.00236128514454744 0.00265382436598502 0.00211232064551137 0.00254171414286582 0 0 0.000955626659171701 0 0.00105707560603152 0
