"","Lrp6","Epha2","Fzd6","Itpr1","Ryk","Dsg2","Sec63","Lrp10","Dlg1","Lsr","Sdc4","Sdc1","Sdc2","Fgfr3","Glg1","Htr1b","Lpar3","Cckar","Tnfrsf21","Kremen1","Sorl1","Il6st","Osmr","Clstn1","Ebp","Nectin3","Nectin4","Calm1","Prnp","Anxa6","Cul5","Rrbp1","Agtrap","Ptprz1","Cadm1","Itgb4","Dag1","Itgb1","Tgfbr2","Tgfbr3","Acvr1b","Acvr1","Bmpr1a","Sorcs2","Sort1","Erbb3","F11r","Icam1","Amfr","Atp5b","Ryr2","Plxnb2","P2rx4","Ocln","Ltbr","Kcnj15","Il1r1","F3","Gfra1","Cdh1","Pigr","Il6ra","Notch1","Igf2r","Tfrc","Ptprk","M6pr","Scarb2","Cd151","Fat1","Igf1r","Cd36","Cd47","Ddr1","Ptprf","Pvr","Slc1a5","Ptpra","Rack1","Erbb2","Met"
"Npnt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142809967830446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Col4a1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124822975832743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Angpt2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223456102641836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Col18a1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0885726481273005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spp1",0,0,0,0,0,0,0,0,0,0,0,0.183918325582149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0923475211196466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Col1a1",0,0,0,0,0,0,0,0,0,0,0,0.128085562808906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.501195220221716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153325006806316,0,0.39986305116601,0,0,0,0,0,0,0
"Thbs1",0,0,0,0,0,0,0,0,0,0,0,0.132160674891922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215658962029843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0337589883617985,0.0340051521904172,0,0,0,0,0,0,0,0
"App",0,0.246813513631128,0,0,0,0,0,0,0,0,0,0.309864295175675,0,0,0,0.231739218985001,0,0.270245299577115,0.963564490298628,0,0.648204425236966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.441123409872093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.353895823618289,0,0,0,0,0,0,0,0.384483165441688,0.500673288537109,0,0,0,0,0,0,0,0,0
"Itgb1",0,0.152452050084342,0.0959148539700268,0,0,0,0,0,0,0,0,0.237679636545212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.254889308469711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114002546814698,0,0,0,0,0.031902423637437,0.141791862744207,0.346889627892154,0.0243952311250185,0.37047288854909,0,0,0,0.181837144648906,0,0.277758086884465,0,0
"Adam17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215323106219401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.481629489806837,0.481738340608718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
