"","Epha2","Lrp6","Itpr1","Ryk","Sec63","Lrp10","Dlg1","Lsr","Igf2r","Tfrc","M6pr","Antxr1","Scarb2","Nectin1","Tnfrsf12a","Nectin3","Nectin4","Cd151","Fat1","Cd36","Itga9","Itgav","Itgb1","Rpsa","Dag1","Itga7","Npr1","Plxna2","Plxna4","Sort1","Sorl1","Vldlr","Ldlr","Lrp2","Kcnj15","Kcnj2","Cadm1","Cftr","Slc1a5","Rack1","Rrbp1","Cdh1","Met","Ptprf","Sdc1","Sdc4","Glg1","Fgfr2","Nrp1","Acvr2a","Bmpr1a","Plxnb1","Plxnb2","Calm1","Prnp","Erbb3","F11r","Icam1","Amfr","Atp5b","Pigr","S1pr2","Osmr","Mylk","Ltbr","Il18r1","Esam","Derl1","Clstn1","Cd74","Ager","Anxa6"
"Col4a1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124822975832743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adam17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215323106219401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Angpt2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223456102641836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tgfb3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.261823137210641,0.206282774030582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.303450384357818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fbn1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250118959648434,0.193718678148794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.400739617905946,0,0,0
"Adam9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0270267039283965,0.0960889624155033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245716359142909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Col18a1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250218026267722,0.0885726481273005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hsp90b1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176622449563947,0,0,0,0,0,0,0,0,0,0.26896367930059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202553313069005,0,0,0,0,0,0,0,0.331750786878528,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jam2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177918065691644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.326519703374384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tgfb1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.398951336367493,0.206282774030582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.501397932791088,0,0,0,0,0,0.412821019974249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
