"Bhlhe40" "Clic1" "Cmip" "Ddit4" "Fam129b" "Fkbp5" "Gapdh" "Ier3" "Ldha" "Nr2f2" "Rps2" "Tubb5" "Ackr3" "Acvr1b" "Adamts1" "Anxa2" "Cd34" "Clu" "Cox5a" "Gpi1" "Grb10" "Hif1a" "Itgb3" "Nos3" "Plpp3" "Sparc" "Tsc22d3" "Aldoa" "Gnl3" "Hnrnpf" "Ipo7" "Klf10" "Jag2" "Sema7a" "Socs3" "Flot1" "Ier5" "Synpo" "Tagln2" "Vasp" "Ccnd3" "Ecscr" "Mal" "Upp1" "Tnfrsf1a" "Fas" "Ntn1" "Selp" "Fbln5" "Mustn1" "Akap13" "Igfbp5" "Nrp2" "Ssbp4" "Tcf3" "Pkm" "Actn1" "Zmiz1" "Pcbp1" "Npepps" "Smad1" "Emp1" "Rps6" "Col4a2"
"Grem1" 0.00137959711863568 0.00125767498701645 0.00122619416054164 0.00139949426329484 0.00111894111490941 0.00115685097860537 0.00120349849668967 0.00123554124374932 0.000973999319485499 0.00118875949805583 0.00102029793078208 0.00115446484457715 0 0 0 0.000908394185690415 0 0 0 0 0 0.00115717804265734 0 0.00123421675400132 0 0 0 0.00100897894417808 0 0.00100465203264588 0 0.00108799067759206 0 0.000870042485056878 0.00110713033732007 0.00104329423504691 0.00100176494120944 0.00127361019929744 0.000972273067409896 0.0010073506322073 0.00110275213933467 0 0 0 0.000931658428443003 0 0 0 0 0 0 0 0 0.00107349247144162 0 0 0 0.00102762558475631 0.000973503573256716 0 0.00385265921739506 0.000948590885480982 0 0
"Cxcl13" 0.000874910290703917 0 0 0.000955644499424827 0 0 0 0.000889818713372671 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00181598147075089 0 0 0 0
"Sema7a" 0 0 0 0 0 0 0 0.000905983142676586 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Itgam" 0.00131627315158071 0.00108973802830415 0.00105878633613633 0.0012890493648742 0.00112493920512581 0.00101583288835441 0.00106662959338067 0.00128710215959032 0 0.00111922900711559 0 0.00104286075015005 0 0 0 0.000927434730309721 0 0 0 0 0 0.000907530818519893 0 0.00118937329703565 0 0 0 0.000956810510215479 0 0 0 0.000925805704443288 0 0 0.00112798956222543 0.00103800763564107 0.00105046403627376 0.00121011541602748 0.000970900777017894 0.00103944425349614 0.000987111030874856 0 0 0 0.00101876574012982 0.000989583014928849 0.000891824470351805 0 0 0 0.000876312553871242 0 0 0 0 0 0 0.00093529130133613 0 0 0 0 0 0
"Nenf" 0.000875097272949188 0 0 0.000864828657120257 0 0 0 0.000905373508468003 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lamb1" 0.00135403749472132 0.00119537386418107 0.00106032325006428 0.00135234171579583 0.000996888030073611 0.00100818756366548 0.00113213055211194 0.00133311729502355 0 0.00119161309663787 0 0.00110893909376765 0 0 0 0.000906475047891872 0 0 0 0 0 0.000896994502962215 0 0.00126651058233633 0 0 0 0.000953121037499374 0 0.00091319277609044 0 0 0.000915375622218545 0 0.00105229548019358 0.00122282933119129 0.000990516144396443 0.000937452959544619 0.000903916508357487 0.000999986162413329 0.000986651121550898 0 0 0 0.000908310401375501 0 0 0 0 0 0 0 0 0.000956798522660559 0 0.000939222398681405 0.00104668645397798 0.00102973267648253 0 0 0 0.000938787457833429 0 0
"C3" 0.00105562083355485 0.000932101127838523 0.000874172100393333 0.0011054895450197 0 0.000874874122165845 0.000940773363022761 0.00110182053095711 0 0.000921190732072467 0 0.000878023560971022 0 0 0 0 0 0 0 0 0 0 0 0.000932600111695145 0 0 0 0 0 0 0 0 0 0 0.000890749336703241 0 0 0.000914584924465373 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Anxa1" 0 0 0 0 0 0 0 0.000897016614104019 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hc" 0.000918989991338214 0 0 0.000961175085631553 0 0 0 0.000935488359761155 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00086827017274362 0 0 0.00355269481186808 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ptprf" 0.00137864103066021 0.00116091215762288 0.00128452933641757 0.00130075708066729 0.00112010282211907 0.00113944885736706 0.00115929385767465 0.00140569912016991 0.000874885193117436 0.00117618957095023 0.000910036044056982 0.00111232546847081 0 0 0 0.000948709081796685 0 0 0 0 0 0.00104683960479203 0 0.00107150177738133 0 0 0 0.000975448429615 0 0 0 0.000971069508737886 0 0 0.00106147883327957 0.00119500309381047 0.000975486330277919 0.0011283799829617 0.000972972176070199 0.000983139824935452 0.00105131063789959 0 0 0 0.000879941193647324 0.000973342691797199 0.000875105369064614 0 0 0 0 0 0 0.000984935578023898 0 0 0 0.00088120477024467 0.00100039101604315 0 0 0 0 0.000935315951798121
