"Actb" "Ahnak" "Bax" "Bcl2l1" "Cdkn1a" "Epha2" "Gadd45b" "Gapdh" "Krt8" "Lmna" "Myh9" "Sparc" "Aldoa" "Lcn2" "Anxa2" "Clu" "Itgav" "Psmc6" "Tnfrsf12a" "Areg" "Gsta3" "Lamc2" "Ceacam1" "Anxa3" "Col4a1" "Itgb1" "Akr1b8" "Tef" "Arpc2" "Fth1" "Ftl1" "Tmem37" "Calm1"
"Efna1" 0 0 0 0.00112478329375643 0.0015095279291241 0.00114909314810378 0.00111649793605401 0 0 0.00116501560782698 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Itgb2" 0 0.00117271468946991 0 0.00123962524960061 0.00167196176542722 0.00128251529228418 0.00127059140788063 0 0 0.00122606362947247 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Plxnb2" 0 0 0 0 0.0012145878433982 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Itgb7" 0 0.00112857496804921 0 0.00112431966816715 0.00149768513569796 0.00118066947863899 0.00115165054774565 0 0 0.00112436239239381 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Bmp3" 0.0016226901881798 0.00145515764210616 0 0.00142628699119534 0.00212972092559107 0.00147769658661272 0.00168554977067833 0 0.00143539730488801 0.00136991743570898 0.00139779223561284 0 0 0 0.00126560357644877 0 0 0 0.00121276420753822 0 0 0.00124771060886154 0 0 0 0 0 0 0 0 0 0 0
"Selplg" 0 0 0 0 0.00133041601505317 0.00119232713735019 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hmgb1" 0.00224754285905749 0.00229718206526458 0.00186646190700926 0.00512539730752171 0.00297002690844441 0.00242489808804238 0.00232338205558798 0.00211550342687762 0.00178120930363061 0.00225278350968699 0.00199640735340816 0 0.00177637757815007 0 0.00173035830256951 0.00133133735129286 0.00112662541539527 0 0.00165626645284002 0 0 0.00147814041396281 0.00129323620020363 0.00126096806440868 0.0013546673719414 0.00166158195638594 0.00524403507165371 0.00163474179456357 0 0.00161534775738233 0.00185641533246214 0.00138252004872757 0.00176559653114774
"Itga4" 0 0 0 0 0.0013082501693038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pros1" 0.00169455534887847 0.00164073810206497 0.00124337906893848 0.00180991592613028 0.00296467644517818 0.00173150113609308 0.00168226934658771 0.00139754844491823 0.00145540154789745 0.001703242632478 0.0015607816818557 0 0.00121703993002482 0 0.00130113046119239 0 0 0 0.00123172057618832 0 0 0 0 0 0 0.0011635324479814 0 0.00126571041221393 0 0.0012793841595511 0.00122163920712198 0 0.00114034147494595
"Angpt2" 0.00149273164062777 0.00173147829178654 0.00141702622743424 0.00195589408144421 0.00480643361495988 0.00149150768103652 0.00165476050860902 0.00130594829431234 0.00138964995003973 0.00179335880126857 0.001453242382684 0 0.00149119568498676 0 0.00127674229655615 0 0 0 0 0 0 0 0 0 0 0 0 0.00134785631222616 0 0.00133139496128946 0.00116761410961441 0 0.00123845670923768
"Psen1" 0.00130739908867514 0.00128034304556131 0.00364218740992385 0.00121630304001807 0.00176551845424309 0.00141038802810611 0.00131686058613263 0.00119071900061439 0.00116936821816336 0.00126090722207593 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hc" 0.00197842523846087 0 0 0 0.00121904808611797 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tnfsf13b" 0.00118100036603681 0.00131670772846163 0 0.00248380239986209 0.00171852712084425 0.00132550126110563 0.0015205920151777 0 0.00112646108171369 0.00133827636679014 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lrpap1" 0.00119368533438377 0.00121734734781219 0 0.00117305108037101 0.00157956256806241 0.00131570357430475 0.00130179882185781 0.00112459739996234 0.00115029101068653 0.0012804303933304 0.00115876483452608 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Itgb1" 0 0 0 0.00111741936383508 0.0023583641063619 0.00115787128547419 0.00116470592654962 0 0 0.00115612719647975 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sema5a" 0 0 0 0 0.00138821599248424 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Vcam1" 0 0 0 0 0.00123732350505556 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pcdh1" 0.00130990616096732 0.00118856754804636 0 0.00126266641394776 0.00171059303509075 0.00126986069383774 0.00132310141670127 0 0.0012146726673669 0.00134707534433992 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gmfb" 0.00146436565661762 0.00143835242818774 0.00124997681365567 0.00172149290967417 0.00209926887534938 0.00149109169595583 0.00164837402393786 0.0014149408589975 0.00136471790140663 0.00157370325653899 0.00129952860585796 0 0.00114994905029895 0 0.00112038644403343 0 0 0 0.00117495971312081 0 0 0 0 0 0 0 0 0 0 0.00111603707042748 0.00119514821173289 0 0
"Hgf" 0.00134835715116902 0.00139070664011293 0.00118097719521049 0.00159802953429607 0.00199003703539692 0.00154025643471059 0.00161768617041083 0.00138680289994871 0.00123096453679451 0.00156171840435493 0.00121069804375481 0 0.0012275773965861 0 0 0 0 0 0 0.00252707471115603 0 0 0 0.00434826926707262 0.00466413216211115 0.00238400100279629 0 0 0 0 0 0 0
"Itgam" 0.00115234982413562 0.00129404308203525 0 0.00137713515200171 0.00166340261824615 0.00127118773598424 0.00142862833365383 0 0.00114668509097908 0.00125403050002514 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
