"Actb" "Ccnd1" "Cd44" "Clic1" "Col1a2" "Col3a1" "Eln" "Fn1" "Nrcam" "Pfn1" "Runx1" "Sept9" "Serpine1" "Thbs1" "Timp1" "Tnc" "Tubb5" "Vcan" "Adamts4" "Anxa2" "Bax" "Cdk6" "Col1a1" "Ecscr" "Fmod" "Gapdh" "Igf1" "Itgb5" "Mmp2" "P4hb" "Pdgfrb" "Sdc1" "Spp1" "Acta2" "Enc1" "Lama5" "Myh9" "Ncam1" "Pdgfa" "Postn" "Sparc" "Fst" "Grem1" "Adamts12" "Dkk2" "Fbn1" "Isyna1" "Mical2" "Vim" "Tpm1" "Hbegf" "Col8a1" "Inhba" "Itgb1" "Mmp14" "Ranbp1" "Tm4sf1" "Col4a1" "Lgals1" "Fkbp5" "Eno1" "Ldha" "Pcdh7" "Sfrp1" "Tnfrsf12a" "Slc20a1" "Arpc2"
"Hgf" 0.00134835715116902 0.00193237668822109 0.00106320803658146 0.00140439520914955 0.00421155205897465 0 0 0.00133088127579871 0 0.00122693967190418 0.00127580841504351 0.00131587886216393 0.0015821303266869 0.0010544189343148 0 0 0.00135900416273018 0.00107233857040556 0 0 0.00118097719521049 0.00110542307730418 0.00108112285435082 0 0 0.00138680289994871 0 0 0 0 0 0.00107179135596136 0 0.00398636721155085 0 0.00112939183323022 0.00121069804375481 0 0.00229382017097465 0 0 0 0 0 0 0 0.00224321017773921 0.00109434647576704 0.00116780812334888 0 0 0 0 0.00238400100279629 0 0.00132413756706772 0.00109792493053074 0.00466413216211115 0.00212741736301797 0.00120418944173977 0.00116425438761266 0.0010717228319416 0.00113683345769573 0 0.00108492938581448 0 0
"Copa" 0 0.00113718058342662 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Vcam1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00174132306296177 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Il1b" 0.00174793447157904 0.00296737219284813 0.00263537070462579 0.00169915715100238 0 0.00516287095521492 0.00695102019209374 0.00471508674511481 0 0.00161909072056996 0.00171200553725626 0.001727476436862 0.00582539956101891 0.00145961489039303 0.00519880978995069 0.00251226830862568 0.00158594809031943 0.00484051678696276 0.0062124402077904 0.00261117992049089 0.00511122867865246 0.001487069410112 0.00432704969277202 0 0.00289194386681772 0.00162769845514528 0.00254724050239757 0 0.00533183165843309 0 0.00119534012454829 0.00123527964298185 0 0.00111144969690318 0.0012349335627712 0.00136605249310601 0.00163078371143697 0.00122128181692812 0.00441637455365975 0 0.00250634830949764 0.00265653439259913 0.00519723694642411 0 0 0 0.00248824112780248 0.00130447341441824 0.00140556229643095 0.00131942486981391 0 0.00551197772515991 0.00511984124811278 0.00595807584773738 0.00488326992590717 0.00152966298144826 0.00132277137278516 0 0 0.00147210059049608 0.00149459820693863 0.00125830803449759 0.00118503728979018 0.0012130914051612 0.00254872960636661 0.00453946315252407 0
"Edn1" 0.00119186886368411 0.00166797816169625 0.0021558145226926 0.00124945330731138 0.00430284300218838 0.00507425261027675 0 0.00127971483878582 0 0.00120159539202971 0.00113317261631609 0.00119475334146133 0.00154295705737696 0.00107620731155021 0.00195713366293793 0 0.00125963308360365 0.00104965893652015 0 0 0.001098827752889 0.00105080936267404 0.00406632226576029 0 0 0.00126633164836397 0 0 0 0 0 0 0 0 0 0.00109789413576251 0.00112539673770424 0 0 0 0 0.00242602597592015 0 0 0 0 0.00210794094243877 0 0.00214614830596564 0 0.00214917490926885 0 0 0 0 0.0011497652090874 0 0 0 0.00117034149532683 0 0 0 0 0 0 0
"Itgb7" 0 0.00137562694571343 0 0 0 0 0 0 0 0 0 0 0.00109496086558617 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tnc" 0.00113302069762406 0.00147863837550371 0 0.00121301081116585 0 0 0 0.00118045399455545 0 0.00105781567602159 0.00116094684729201 0.00115109290302307 0.00123119974798745 0 0 0 0.00108704814104292 0 0.00215980689639087 0 0 0 0 0 0 0 0 0 0.00209476498652453 0 0 0 0 0 0 0 0.0011023572752852 0 0 0 0 0 0 0 0 0 0 0 0.00106477261900541 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Col4a1" 0.00115017429167651 0.00131106101658828 0 0 0 0 0 0.00106112244878979 0 0 0.00122304405896842 0.0011243936873812 0.00130493534145339 0 0 0 0 0 0 0.00108578841577469 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00106085628965234 0 0 0 0 0.00104663601668057 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Gdf2" 0.00213501201390166 0.00209329957199574 0.00171692883996291 0.00159620159056526 0.00141102417541464 0.00176590159296833 0.0013147337600873 0.002229523756892 0.00130025009004295 0.00147344931489927 0.0023219682234353 0.00178953995706207 0.00388867597674935 0.00164765829535665 0.00122490358246215 0.00214040677620223 0.00171924654215969 0.00185180258339064 0.00118053852461465 0.00191281566599148 0.00152199946790496 0.00180534059659179 0.00172018298971646 0 0.00161645632320073 0.00130290308017767 0.00131853527720032 0.00127884686796698 0.00130108332207392 0 0.0011386479030548 0.00130835300525966 0.00253395090052929 0.00144291438202527 0.00201925747769533 0.00167837585667959 0.00202130223343106 0.00142692058005066 0 0.00145483336875871 0 0.00168516625368235 0.0011971276414006 0.00116964359372291 0.00126665973984378 0.00115958955685576 0 0.00201769521976079 0.00167292497578037 0.00193406035625052 0.00119389057606209 0.00125259795513139 0 0.00145067757654125 0 0.00129371382662653 0.00192109708526484 0.001440032759185 0 0.00168171011270058 0.00150273207095106 0.00144311784038355 0.00133274678306488 0.00192937694657593 0.00172523660494674 0.00174269710512078 0
"Vwf" 0.00105613922150055 0.00232862154106789 0 0.00106712646970571 0 0 0 0.00109901751747858 0 0 0.00107191850919342 0.00104725817667612 0.00128357640960157 0 0 0 0 0 0 0 0 0 0.00384617150905376 0 0 0 0 0 0 0 0 0 0 0.00376622506227698 0 0 0 0 0 0 0 0 0 0 0 0 0.00204088956950176 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Timp1" 0.0012025586558728 0.0015123310283143 0.00212927986684748 0.00123890036130094 0 0 0.00234889399957674 0.00113296424283607 0 0.00118860312839794 0.00116265672285394 0.00121392884924285 0.00141850176658058 0.00106549809592081 0 0 0.00115012204897536 0 0 0 0.00192343441083086 0 0 0 0 0.00111531478825188 0 0 0 0.00192681678723294 0 0 0 0 0.00109185472556001 0.00108804645183508 0.00116541313176359 0 0 0 0 0 0 0 0 0.00219551364437295 0 0.00109693402180827 0.00108949603801968 0 0 0 0 0 0 0.00107514851845182 0 0 0 0.00105879971173012 0 0 0 0 0 0 0
"Tgfb2" 0.00183006461202542 0.00190805271786732 0.00151409785873996 0.0016894575952021 0.00577280511684245 0 0.00116495667700662 0.0048917055913293 0 0.00160496966216414 0.00183805797545813 0.0017420769136518 0.00604055454509207 0.00135638336781128 0.0021985662674196 0.00273951091521325 0.00159702134242239 0.00268711730380953 0 0.00459734569206122 0.00131379195162272 0.00136222668256863 0.00576007370235692 0.00660110650680246 0 0.00142447777506072 0.00143979714863163 0 0.00222230211950226 0.00210587522167556 0.00125990790145213 0.00113595229077733 0.00424300511753034 0.00426472021027771 0.00133378902592852 0.00135316385988649 0.0017211211321104 0.0026149651301924 0 0 0.00246844269781697 0.00145119148767289 0.00268969783792137 0.00594686423756322 0.00549724010344597 0.00500298343691173 0 0.00134096699738657 0.00167075884910359 0.00133878558905958 0 0 0 0.00261203029811569 0 0.00152969545739733 0.00142883319974461 0.00119178659875394 0 0.001254124168963 0.00151025745887755 0.00117231517273391 0.00113488233289715 0.00132432671418004 0.00129475943414214 0.00136455617745358 0
"Bmp4" 0.00167989700560281 0.00282542400280105 0.00128934031669421 0.0015725296573374 0 0 0 0.00163746098150271 0 0.00143300676592414 0.00168063057167453 0.00165073318849144 0.00195808310737064 0.00126015879274672 0 0.00116055854158314 0.00153711971467272 0.00135048907106763 0 0.0014074570290259 0.00234737228060848 0.0014844937412014 0.00121880167980661 0 0 0.00151062941428825 0.00107114566288954 0 0.00220162980644983 0 0 0.00122099266834853 0 0.00413856235093631 0.00134691948039916 0.0014082331578757 0.00152267215616941 0.00125584733437903 0 0 0 0.00265253295966565 0.00690799655342899 0 0 0 0 0.00133829317386808 0.00141076215863066 0.00132923683457015 0 0 0 0.00118552071791863 0 0.00146312650638173 0.00135069267171423 0.00106492606322081 0 0.00147033273510391 0.0014070999242616 0.00118719449753814 0.00122575088579345 0.00125729377508016 0.00138586600501744 0.00121405356346846 0
"Mmp9" 0.00136532258067635 0.00168013374448286 0 0.00143850333762942 0 0 0 0.00121538013297602 0 0.00123962414145568 0.00122463898826833 0.00131775964713932 0.00143870335246138 0 0.00379242755032811 0 0.00119742703413151 0 0 0 0.00364748249297431 0 0.00111111005972621 0 0 0.00117644706106746 0 0 0.00418784664305765 0 0 0 0 0.00387865172969125 0 0.00110725377784128 0.00114688291389529 0 0 0 0 0 0 0 0 0 0 0 0.00110554661017568 0 0 0 0 0 0 0.00112203972725607 0.00107465463928719 0 0 0.00109612075075737 0.00105630289271844 0 0 0 0.00113931068814894 0 0
"Fgf1" 0.00126282497199686 0.00165517880547517 0 0.00121390140459223 0 0 0 0.0011457713304802 0 0.00106913997913822 0.00115716925079297 0.00122988507862243 0.00240747099328217 0 0.00185060820883847 0 0.00116920393796588 0 0 0 0.00361100199031988 0 0 0 0 0.00108596591128406 0 0 0 0 0 0 0.00405193709315663 0 0 0 0.00110625333023813 0 0.00203974471976682 0.00528132530414328 0.00224052357432998 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tgfb3" 0.00171215492557961 0.00162587704303284 0.00131286794977783 0.00124604185718866 0 0 0.00107851761243098 0.00446920500700439 0 0.0013860823839256 0.00166748513061938 0.00143225240943012 0.00474246844207253 0.00107998525785206 0 0.00642598074252033 0.00136146995552084 0.00110097028905159 0 0.00134456078833214 0.00108816609677959 0.00113160037244122 0.00123585671162163 0 0 0.00110563178684529 0 0 0 0.00205980992087896 0 0 0.00219667614821806 0.00407582238883859 0.00143547050355449 0.00138792019126399 0.00145915110208982 0.00226850657271411 0 0 0 0.00119830485356036 0 0 0 0 0 0.0011831723457402 0.00132242544024724 0.00117458558665939 0 0 0 0.00111253882991598 0 0.00113954184911647 0.00131305082479475 0.00106760603302712 0 0.00111162962357845 0.00105809804941729 0.00109136303037504 0 0.00125646845831403 0.00118897882277208 0.00119779235237445 0
"Fgf2" 0.0014694956705675 0.00486015034403085 0.00538651594954828 0.00157609138082823 0.00225688661748847 0 0 0.0014337325430763 0 0.00128777347451712 0.00263200187505393 0.00148156016694361 0.00561307382358825 0.00246573601933631 0.00209778431201249 0.00245508572184439 0.00145246228974306 0.00120510441479467 0.00238793670167162 0.00238775461227508 0.00378760245227831 0.00425177820087254 0.00228653722799215 0.00277489061980416 0.00272894063036896 0.00271055838891752 0.00236694655946615 0.00214873896277155 0.00523830534998965 0.00201522497073303 0.00264716044747125 0.00244069056694097 0.00213698915373628 0 0.00112076820154975 0.00115776363504512 0.00139511301299673 0.0010707139286358 0 0 0 0.00110562309399546 0 0 0 0 0 0.00119593477047674 0.00121929254447143 0.00115986129379706 0 0 0 0.00110613305658622 0 0.00139379096363892 0.00123748167171438 0 0 0.00132397506182081 0.00128235102553557 0.00110235189829532 0.00107997566910548 0 0.00123904410968292 0.00115448112014735 0
"Spp1" 0.0014557991705183 0.00158408372530799 0.0022846384445117 0.00129706631785776 0.00421524682203956 0.00495879526473618 0.0049989028848838 0.00125375186388455 0.00464786109374564 0.00123120779421862 0.00130539850736186 0.00133409872616051 0.00152723633884689 0.00424683178350971 0.00377514477134519 0.00447159030759513 0.00133668505344441 0.00456373398953197 0 0.00106488429002455 0.00106784508842907 0 0.00111379146622818 0 0 0.00119273253630364 0 0 0 0 0 0 0 0 0 0.00115069493087207 0.00117497150695883 0 0 0 0 0 0 0 0 0 0 0.00105688228325408 0.00118931505083177 0 0 0 0 0 0 0.00118698658189753 0 0 0 0.00109218444612814 0.00110317312324098 0 0 0 0 0 0
