"","Cxcr4","Fpr2","C5ar1","Ccr1","Cxcr2","Clec7a","Fcgr3","Itgam","Itgal","Itgb2","Igf1r","Rack1","Plaur","Cd47","Csf2rb","Il1rap","Il1r2","Il6ra","Il18rap","Sorl1","Cd44","Rpsa","Selplg","Sell","Ptprc","Ptpn6","Notch2","Il4ra","Calm1","Csf3r"
"Serpine1",0,0,0,0,0,0,0,0,0,0,0,0,0.446749220205157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rspo1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.401141839870283,0,0,0,0,0,0,0,0,0,0
"Apoe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.699239598034586,0,0,0,0,0,0,0,0,0,0
"Lrpap1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182382624597654,0,0,0,0,0,0,0,0,0,0
"Il1b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.680062244361278,0.907593602261281,0,0,0,0,0,0,0,0,0,0,0,0,0
"Il1f9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.357238841206185,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Il33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.415869561346406,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sell",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07275115218733,0,0,0,0,0,0,0
"Selp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.865780030212094,0,0,0,0,0,0,0
"Edn1",0,0.193018975167152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nts",0,0.193018975167152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ceacam1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.436140145393916,0,0,0,0
"Kitl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0286522636258257,0,0,0,0
"Adam17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.473418683389112,0.481629489806837,0,0,0,0,0,0,0,0,0,0,0,0
"Il1rn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.577646766693521,0,0,0,0,0,0,0,0,0,0,0,0,0
"Robo2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238915999398858,0,0
"Mapt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0193483307384874,0
"Lgals3",0,0,0,0,0,0.298079959423935,0.0291577595094702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Il18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.63489914049311,0,0,0,0,0,0,0,0,0,0,0
"Cd2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110630458510842,0,0,0,0,0
"Csf1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.387925467376123
"Itgb2",0,0,0,0,0,0,0,0.106296720854717,0.48930312584536,0,0,0,0.0199413877581115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"F11r",0,0,0,0,0,0,0,0,0.037492178078916,0.284501553961801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Icam1",0,0,0,0,0,0,0,0.106296720854717,0.0654290373219354,0.0611300864894527,0,0,0,0,0.135522665839058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Icam2",0,0,0,0,0,0,0,0.0346754335212614,0.332445880271921,0.0611300864894527,0,0,0,0,0,0,0,0,0,0,0.131695303348695,0,0,0,0,0,0,0,0,0
"Cfh",0,0,0,0,0,0,0,0.122228008955487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0370438891889066,0,0,0,0,0,0
"Cd34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.440818641887195,0,0,0,0,0,0
"Col18a1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.426079571298829,0,0,0,0,0,0
"Thbs1",0,0,0,0,0,0,0,0.210422770078345,0,0,0,0,0,0.0340051521904172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clstn1",0,0,0,0,0,0,0,0,0,0,0,0,0,0.252443677350958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thbs2",0,0,0,0,0,0,0,0,0,0,0,0,0,0.2422404431704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
