"Actb" "Ahnak" "Bax" "Bcl2l1" "Capn2" "Ccnd1" "Cdkn1a" "Clic1" "Epha2" "Flot1" "Gadd45b" "Gapdh" "Icam1" "Krt8" "Lmna" "Mbnl1" "Mcl1" "Nek6" "Pfn1" "S100a10" "Sema3b" "Socs3" "Trib1" "Ubc" "Vegfa" "Anxa2" "Clu" "Cox5a" "Gja1" "Gpi1" "Msn" "Nme1" "Psmc6" "Sod2" "Sparc" "Tnfrsf12a" "Aldoa" "Lama5" "Lcn2" "Mdm2" "Ranbp1" "Slc25a25" "Slc3a2" "Myh9" "Cd14" "Ilk" "Ndst1" "Ager" "Col4a1" "Cryab" "Fkbp1a" "Hspb1" "Itgb6" "Krt18" "Sqstm1" "Elob" "Ceacam1" "Rcan1" "Slc9a3r1" "Tmbim1" "Ybx1" "Fth1" "Ftl1" "Hist1h2bc" "Lasp1" "Pcbp1" "Tmem37" "Akr1b8" "Pkm" "Gnas" "Timp3" "Isyna1" "Hcfc1r1" "Mif"
"Pdgfb" 0.00134724812981761 0.00144905231401009 0.00377692683710619 0.00173584731928376 0.00111060214007007 0.00397971566562292 0.00419351935735484 0.00127832106437133 0.00149809507474456 0.00136496490897051 0.00161798752627548 0.00126895285760113 0.00156042085065272 0.00130758285203048 0.00153110703459295 0.00109547899265882 0.00131028157414491 0.0013483791058674 0.00118626414954706 0.00122996419558952 0.00123115473834787 0.00154618258854575 0.00157487736412739 0.00170006561193559 0.00169163076759744 0.00105436861818193 0 0 0 0 0 0 0 0.00384315562232967 0 0.00104917703515875 0.00106508640355763 0.00118737509160926 0 0.0011476893123666 0.00130261490045116 0.00117169532525871 0.0011483186033682 0.00123530278212532 0 0 0.00105807557206944 0.00109549301184856 0 0 0 0.00109982803244807 0 0 0.00113417971356201 0 0 0 0 0 0.00226788633488266 0.00111597042922231 0 0.0010450518914891 0.00116975328185497 0 0 0 0.00104480783019093 0.00104280472467621 0 0 0.00104629396145962 0
"Nectin1" 0.0011018438391654 0.00118519249823681 0 0.00122810378241218 0 0.00156986577337499 0.00150300544457211 0.00104837504423276 0.00120013234042198 0.00118377479603172 0.00122338698503827 0 0.00121411407376731 0.00114331666493793 0.0010985251074817 0 0.00107592143389203 0.00108075074814758 0 0.00106573905102779 0 0.00106215063710386 0.00112631851990228 0.00123798158762503 0.00148187893367509 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00110523474411096 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lrpap1" 0.00119368533438377 0.00121734734781219 0 0.00117305108037101 0 0.00136080936965118 0.00157956256806241 0.00127754871955826 0.00131570357430475 0.00105204116358687 0.00130179882185781 0.00112459739996234 0.00112397723786745 0.00115029101068653 0.0012804303933304 0 0 0.00114011302595117 0.00113528030734008 0 0.00104376849699133 0 0.00110745258648651 0.00149484761016432 0.00118729708905031 0 0 0 0 0 0 0 0 0 0 0 0 0.00105119475429857 0 0.00108045959085792 0 0 0 0.00115876483452608 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00105067171843884 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pecam1" 0.00121796562353523 0.00136738750926704 0 0.00143730442326052 0.00111063405444707 0.00174813253088666 0.00188044658787928 0.00123388280103664 0.0013434363341481 0.00123659048526005 0.00130393379050722 0.00109454971541497 0.00127681993639204 0.00118725210810313 0.00133913952023012 0 0.00123272139760409 0.00119213296254547 0.00106841336048243 0.0011326389704001 0 0.00127793938704284 0.00133954145899324 0.00143843750617272 0.00156776997326893 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00110136167528919 0.00114124479472566 0.00104577814537647 0.00106184148777484 0.00122331004441365 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00208057750040458 0.00105665516767871 0 0 0.00105805874719248 0 0 0 0 0 0 0 0 0 0 0 0
"Plxnb2" 0 0 0 0 0 0.00121401005760754 0.0012145878433982 0 0 0 0.00107458397284476 0 0 0 0 0 0 0 0 0 0 0 0 0.00110832964843125 0.00114940431200135 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00107630605802295 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hc" 0.00197842523846087 0 0 0 0 0.00128801837798495 0.00121904808611797 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.001994648367245 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Yars" 0 0.00123382642040779 0 0.00112025741578378 0.0010679639474917 0.00139265318762368 0.00169190123587818 0 0.00140205527682894 0.0012113256328791 0.00129126032055829 0 0.00105607319778282 0.00110519005352786 0.00118747027906698 0 0 0.0011882952098628 0 0.0011168099708566 0.00109230067713069 0 0.00112996519035683 0.00134268522608456 0.00128673657073765 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00118003192422298 0 0 0 0 0 0 0.0012806832304884 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tnfsf13b" 0.00118100036603681 0.00131670772846163 0 0.00248380239986209 0 0.00158421183865339 0.00171852712084425 0.00113552301876614 0.00132550126110563 0.00114725578863451 0.0015205920151777 0.00108957201095851 0.00140725078539295 0.00112646108171369 0.00133827636679014 0 0.00111310586304653 0.00132835077757469 0.00117966156174943 0.00111828095464868 0.00106778652696337 0.00117949642551493 0.0011624352409784 0.00135886320410839 0.00139692631819452 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00111529853584931 0.00116330358440472 0.0010627396136959 0 0.00110440920299505 0 0 0.00109572776956268 0.00110153608103979 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hbegf" 0.00120974304173577 0.00127227455205067 0.00369077923673185 0.00418890746463193 0 0.00177694186991293 0.00189441420720381 0.00117347248888774 0.00132573586962643 0.00111160319934282 0.00136802792326024 0.00123157553889115 0.00139941167804101 0.00111313392523414 0.00133157129618624 0.00108501418900687 0.00123561062762319 0.00118637513650956 0.00107034063255234 0.00107148696761835 0 0.00124169901990256 0.00128697811236744 0.00149707275928332 0.0014459434880895 0 0 0 0 0 0 0 0 0 0 0 0.00111639282333904 0 0 0.00116144189648196 0.00111792143406219 0.00106657114493718 0 0.00113111695695788 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00104482005405841 0 0 0 0 0 0 0 0 0 0 0 0
"Cxcl12" 0 0.00110652417012041 0 0.00126837164302806 0.00105367335817976 0.00156572415511307 0.00367438744373611 0.00107192451816511 0.00119565846547445 0.00109040988550145 0.00129663054851378 0 0.00122619544728706 0.00105204124380248 0.00120144145401988 0 0 0.00107576355527578 0 0 0 0.00132478426710201 0.00124290281847455 0.00139512043561346 0.00430544677916095 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00108239877347202 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00200304387493873 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
