"","P2ry14","Adora1","S1pr3","Epha2","Lrp6","Sec63","Ddr2","Ryk","Antxr1","Lrp1","Cd47","Igf2r","Dag1","Cd151","Itga1","Itgb1","Rpsa","Ptch1","Itgb5","Itga8","Itga9","Acvr2a","Bmpr2","Eng","Tgfbr3","Glg1","Sdc2","Sdc3","Sdc4","Il6st","Osmr","Ednra","F2r","Cul5","Rrbp1","Dlg4","Atp5b","Pkd2","Ptpra","Rack1","Pkd1","Igf1r","Ncstn","Mylk","Tnfrsf1a","Nrp2","Lepr","Pdgfrb","Nptn","Tgfbr2","Tnfrsf19","Il1r1","Derl1","Calm1","Clstn1"
"Lama2",0,0,0,0,0,0,0,0,0,0,0,0,0.656016895771603,0,0,0.124822975832743,0.0161365689282064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lamb2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206282774030582,0.0942608801914102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fn1",0,0,0,0,0,0,0,0,0,0,0,0.279071604509027,0,0,0,0.433977464142074,0.161194146517752,0,0.330575519955274,0.175693105238792,0,0,0,0,0,0,0.022254232864487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vcam1",0,0,0,0,0,0,0,0,0,0,0,0.172377264120606,0,0,0,0.471078651730058,0.0995665826262429,0,0,0,0.497441251210475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.270708918618151,0,0,0,0,0,0,0,0,0,0
"Adam17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215323106219401,0,0.283058777114957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.316229024583641,0,0,0,0,0,0,0,0,0,0
"Ltb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103295647788543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.497927069078418,0,0,0,0,0,0,0,0,0,0
"Fbn1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193718678148794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.400739617905946
"Tnfsf13b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22224896526865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Angpt2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223456102641836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
