"","P2ry14","Adora1","S1pr3","Epha2","Lrp6","Sec63","Ddr2","Ryk","Antxr1","Lrp1","Cd47","Igf2r","Dag1","Cd151","Itga1","Itgb1","Rpsa","Ptch1","Itgb5","Itga8","Itga9","Acvr2a","Bmpr2","Eng","Tgfbr3","Glg1","Sdc2","Sdc3","Sdc4","Il6st","Osmr","Ednra","F2r","Cul5","Rrbp1","Dlg4","Atp5b","Pkd2","Ptpra","Rack1","Pkd1","Igf1r","Ncstn","Mylk","Tnfrsf1a","Nrp2","Lepr","Pdgfrb","Nptn","Tgfbr2","Tnfrsf19","Il1r1","Derl1","Calm1","Clstn1"
"Tgfb2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0510099975313336,0.851029970167089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.660688731698517,0,0,0,0,0
"Lgals3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.389762463748047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.547610032751441,0.122725096059797,0,0,0,0,0
"F11r",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148904140717913,0,0,0,0,0
"Pik3cb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123384427692326,0,0.260441779516884,0,0,0,0,0
"Anxa1",0.244236085159607,0,0,0,0,0,0.305320581126258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.236673256810363,0.247914621699294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Edn1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.558372303083979,0.141681218869175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nts",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.236673256810363,0.247914621699294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Col5a3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0297807589246952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ptn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.643863024299541,0,0,0,0,0,0,0,0,0,0,0,0.156101134643496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ptprf",0,0,0,0,0,0,0,0.14180455506854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12295207530075,0.120180317200094,0,0,0,0,0,0,0,0,0,0.260441779516884,0,0,0,0,0
"Ptprm",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.404202850108732,0.202074381921627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aimp1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0842613245102126,0.11057176403559,0,0,0,0,0.0742070699219637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Igf1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223158605958851,0,0.831915644489336,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nampt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168603502331089,0,0,0,0,0,0,0,0.422350320898565,0,0,0,0,0,0,0,0,0,0,0,0,0
"Calm1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162086214185983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.359634844152914,0.286159054193741,0,0,0,0,0,0,0,0,0,0
"Arf1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165787332845869,0,0,0,0,0,0,0,0,0,0,0
"Calm2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0458417051574741,0,0,0,0,0,0,0,0,0,0,0
"Copa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0831994139349206,0,0,0,0,0,0.237261166904442,0,0,0,0,0.137835038374445,0,0,0,0,0,0,0
"Pkd1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137781251203572,0.904228089071809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Itgb1",0,0,0,0.152452050084342,0,0,0,0,0,0,0.37047288854909,0.114002546814698,0.254889308469711,0.031902423637437,0.0191046837392178,0,0,0.115631332489491,0,0.0242793729773577,0.129840183075448,0,0,0.805847413407606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.277758086884465,0,0.346889627892154,0.122558943309606,0,0,0,0,0.123843448479777,0,0,0,0,0,0,0
"App",0.244236085159607,0,0,0.246813513631128,0,0,0,0,0,0.511968726300922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13525686895266,0.141681218869175,0,0,0,0,0,0,0,0,0.384483165441688,0.136405412329659,0,0,0,0,0,0,0.441123409872093,0,0,0,0,0
"Calr",0,0,0,0,0,0,0,0,0,0.510877418586597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237261166904442,0.18456192444073,0,0,0,0,0,0,0,0,0,0,0
"Cdh1",0,0,0,0,0.306471879579081,0,0.230756591247301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22526283440201,0.635170243331014,0,0.021703188734823,0,0,0,0,0,0,0,0,0,0,0,0
"Fgf7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2911276527612,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pcdh1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224430445841333,0,0
"Mapt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0193483307384874,0
"Osm",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.540864262754444,0.759289350533282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
