"Anxa2" "Cxcl12" "Ddit4" "Hif1a" "Ier3" "Mal" "Nos3" "Ntrk2" "Serpine1" "Upp1" "Vwf" "Ahnak" "Xbp1" "Abcg2" "Adam15" "Adamts1" "Gbp2" "Ifngr1" "Fkbp5" "Ldha" "Rps2" "Jcad" "Sema7a" "Tmem252" "Pmaip1" "Synpo" "Col4a1" "Fas" "Cavin3" "Dusp6" "Susd6" "Ackr3" "Cd34" "Sparc" "Sparcl1" "Actn1" "Myrip" "Aldoa" "Lrrfip1" "Pim3" "Emp1" "Flnb" "Gadd45g" "Fam107a" "Eef1a1" "Pkm" "Lpl" "Picalm"
"Pgf" 0.0011951632580276 0 0.00186095098900815 0.00268630549914874 0.0017075441764861 0 0.00153878461392988 0 0.00298476130021424 0 0 0.00152197987412888 0 0 0 0 0 0 0.00132447180236221 0.00126471674064846 0 0 0 0 0.00137166186848913 0.00149911701584414 0 0.0013008563014057 0 0.00130474945614967 0 0 0 0 0 0 0 0.00134512398909773 0 0 0 0.00113423842811798 0.00124232936810067 0 0.00113070294999345 0.0011349566432881 0 0
"C3" 0 0 0.0011054895450197 0 0.00110182053095711 0 0 0 0.00111300782215802 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hspg2" 0 0 0.00137031756694388 0 0.00124322014947712 0 0.00119741344223596 0 0.00118680581375888 0 0 0.00114884256069435 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0011053770338204 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Col1a1" 0.00123641513317193 0 0.00174718468208684 0.00114965533500126 0.00154697020220672 0 0.00131005054732561 0 0.00163313611661382 0 0 0.00162707381338442 0 0 0 0 0 0 0.00114071815932327 0 0 0 0 0 0.00110704902251083 0.00138155603525327 0 0.00111804035406983 0 0.00126359266532628 0 0 0 0 0 0.00108265168226433 0 0.00135785385354049 0.00131625400256107 0.00132754963775339 0 0.00124593578244914 0.00120490897322715 0 0.00108232402947191 0.00116154321749254 0 0.00129028686531741
"Spp1" 0 0 0.00147567261882673 0.00109791002016398 0.00153292593991244 0 0.00124176839256727 0 0.00152723633884689 0 0 0.00142865745316068 0 0 0 0 0 0 0.00109218444612814 0 0 0 0 0 0.00121328289273727 0.00118109736860657 0 0 0 0.00116411643016552 0 0 0 0 0 0 0.00482048737084215 0.00109019690662193 0 0 0 0 0 0 0.00112531244598047 0 0 0
"Fgf1" 0 0 0.00142549440057687 0 0.00146725544984714 0 0.00120262870973659 0 0.00240747099328217 0 0 0.00128970280557901 0 0 0 0 0 0 0 0 0 0 0 0 0.00111191998657541 0.00118225078281073 0 0 0 0.00109495261025366 0 0 0 0.00224052357432998 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fgf7" 0 0 0.00128524232057812 0 0.00130741887800563 0 0 0 0.00114885337188146 0 0 0.00114191896243643 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00113254344306767 0 0.00519764221138315 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lamb1" 0 0 0.00135234171579583 0 0.00133311729502355 0 0.00126651058233633 0 0.00117619661952761 0 0 0.00118242712874221 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Igf1" 0.00117120110751367 0 0.0028395028151749 0.00503213568610677 0.00169908400695433 0 0.00142361585626947 0.00224134022859501 0.00461330400646004 0.00406692559201366 0.00537238923404355 0.00151574007721881 0.00420875752993359 0 0 0 0 0 0.00131762217363399 0 0 0 0 0 0.00121551900856601 0.00132429090100908 0 0.00109617296933589 0 0.00132755067004603 0 0 0 0 0.00618964943592142 0 0 0.0012821579606429 0.00111816417181117 0.00113619519853345 0 0.0011357484358023 0.00124112894160645 0 0.00441346747794287 0 0 0.00444313687017658
"Trf" 0.00113206805440037 0 0.00144940946874807 0.00379232108141822 0.00153028712903923 0 0.00134917630442088 0 0.00155239816224433 0 0 0.00150449191624229 0 0 0 0 0 0 0.001278907113207 0 0 0 0 0 0.00109747762656427 0.00124912553627246 0 0 0 0.00119734107639188 0 0 0 0 0 0 0 0.00121473854490868 0.00109557097124997 0 0 0 0.00110775910678111 0 0.00113651950972246 0 0 0.00109118911953192
"Vegfa" 0.00240318969403861 0 0.00165546803371112 0.00387769051653293 0.00160320559239241 0 0.00284044703400125 0 0.00276794155300118 0 0.00251029795733475 0.00147252459272457 0 0 0.00237618191372868 0.00212347510472588 0 0 0.00119254421227772 0.0024203298334835 0 0 0 0 0.00113981540034248 0.00143050603226441 0 0.00117739631953542 0 0.00112697675508823 0 0.00223136204419753 0.00258382754283819 0.00237301976242974 0 0 0 0.00122503156799166 0 0 0 0 0.0010924350923482 0 0 0 0 0
"Bmp5" 0.00161609411245662 0 0.00200162481544074 0.00118484323316278 0.00192664670296883 0 0.00143427882523884 0 0.0021444234285971 0.00129730850387692 0 0.00180441129497414 0.00117855769779946 0 0 0 0 0.00111019127152853 0.00145815354990321 0.00132086141429189 0 0.00319761460829553 0 0 0.00161966634204647 0.00168451624693657 0.00136662232336151 0.00128998099045659 0.00201806875611834 0.00181658930431355 0.00326083274138628 0.00109243827528387 0 0 0 0.00140038446748763 0 0 0.0016779099626114 0 0.00148676255632756 0.00148108094776808 0.00158710233152191 0 0.00137928448598854 0.00131265090450713 0.00118495932950721 0.00150547884757393
"Hgf" 0 0 0.0015963198371996 0.00117093206118782 0.00152173838182139 0 0.00276596438538609 0.002114527158599 0.0015821303266869 0 0 0.00139070664011293 0 0 0 0 0 0 0.00120418944173977 0 0 0 0 0 0.00114326472282991 0.00130070209824309 0.00466413216211115 0.00235802665943484 0 0.00116275496431329 0 0 0 0 0 0 0 0.0012275773965861 0 0 0 0 0.00115056805644858 0 0.0011012674913601 0 0 0
