"","Dab2","Itpr1","Pcdh7","Sec63","Lrp10","Dlg1","Lsr","Lrp6","Ryk","Ddr2","Ptprf","Cdh3","Boc","Cdon","Ddr1","Pkd1","Sfrp1","Fzd7","Scarb2","Ghr","Il6ra","Ltbr","Tnfrsf1a","Ncam1","Lrp1","Lrp2","Ephb3","Glg1","Sdc2","Sdc4","Acvr1","Bmpr1a","Tgfbr2","Tgfbr3","F11r","Icam1","Ptpra","Ptprd","Il6st","Osmr","Agtrap","Ar","Amfr","Atp5b","Pkd2","Calm1","Prnp","Npr1","Plxna4","Kdr","Nrp2","Neo1","Mst1r","Ptch1","Rrbp1","Plxnb2","Gabra3","Esam","Derl1","Chrm2","Alcam","Cd34","Colec12","Nptn","Igf1r","Rack1","Slc1a5","Dag1","Cd151","Cd47","Rpsa","Itgb1","Itga3","Itgav"
"Vwf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.261531623989958
"Itgb1",0.289019313410645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115631332489491,0,0,0,0,0,0,0,0,0,0,0.346889627892154,0.277758086884465,0.181837144648906,0.254889308469711,0.031902423637437,0.37047288854909,0,0,0.0226293407959748,0.0195302857364874
"Calr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.510877418586597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.571322010817375,0.122748629768268
"Thbs1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625241979369739,0.249269432711507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0340051521904172,0,0.215658962029843,0.355356505541166,0.436259787263686
"Adam9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0960889624155033,0.142226315208262,0.0270267039283965
"Col18a1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.459120340765483,0,0,0,0.283058777114957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0885726481273005,0.289922485830812,0.250218026267722
"Lamb1",0,0,0,0,0,0,0,0,0,0,0.420540616819208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181684131596002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.419159861160115,0,0,0,0.124822975832743,0.289922485830812,0.250218026267722
"Col1a1",0,0,0,0,0,0,0,0,0,0.0373982870766781,0,0,0,0,0.39986305116601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.501195220221716,0.173491723290324,0.240972063677946
"Fn1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.303173791281193,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022254232864487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161194146517752,0.433977464142074,0.132437671906698,0.114300526821933
"Jam2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.326519703374384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177918065691644,0,0
